,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,KO,20201125,52.93,53.07,53.28,52.79,53.22,-0.54,10168098,538907180.72,53.0
1,KO,20201124,53.22,53.14,53.59,53.02,52.68,1.03,13290481,707579812.5,53.24
2,KO,20201123,52.68,52.95,53.17,52.2,52.67,0.02,13184915,693728205.46,52.62
3,KO,20201120,52.67,53.19,53.25,52.59,53.13,-0.87,15064575,796721699.55,52.89
4,KO,20201119,53.13,52.49,53.23,51.95,52.61,0.99,17056180,899870445.97,52.76
5,KO,20201118,52.61,53.75,54.02,52.56,53.68,-1.99,15061590,801049263.42,53.18
6,KO,20201117,53.68,53.66,53.75,53.02,53.85,-0.32,13152176,703654673.39,53.5
7,KO,20201116,53.85,54.5,54.62,53.28,53.45,0.75,14885516,800086050.25,53.75
8,KO,20201113,53.45,53.25,53.5,52.89,53.01,0.83,12429653,661611797.14,53.23
9,KO,20201112,53.01,53.05,53.21,52.6,53.58,-1.06,14781321,782126890.87,52.91
10,KO,20201111,53.58,53.93,54.3,53.33,53.98,-0.74,15969086,858624203.17,53.77
11,KO,20201110,53.98,52.57,54.28,52.45,52.57,2.68,28493879,1529506005.48,53.68
12,KO,20201109,52.57,52.5,53.26,52.07,49.45,6.31,32705118,,
13,KO,20201106,49.45,49.65,49.99,49.25,49.44,0.02,9265844,459496854.7,49.59
14,KO,20201105,49.44,49.76,50.21,49.34,49.17,0.55,12369473,614954534.93,49.72
15,KO,20201104,49.17,49.43,50.21,49.08,49.35,-0.36,12857778,637628744.45,49.59
16,KO,20201102,48.62,48.75,48.95,48.24,48.06,1.17,15088290,733542868.44,48.62
17,KO,20201030,48.06,47.81,48.12,47.37,48.02,0.08,15767270,753599775.8,47.8
18,KO,20201029,48.02,47.73,48.48,47.3,47.96,0.13,15342946,736815860.74,48.02
19,KO,20201028,47.96,49.0,49.15,47.78,49.9,-3.89,19769184,952904480.73,48.2
20,KO,20201027,49.9,49.81,50.29,49.55,49.8,0.2,12369848,617575843.74,49.93
21,KO,20201026,49.8,50.34,50.51,49.2,50.52,-1.43,13840028,687258463.92,49.66
22,KO,20201023,50.52,51.0,51.18,50.46,50.68,-0.32,13276110,673485058.7,50.73
23,KO,20201022,50.68,51.17,51.2,50.38,49.99,1.38,20006668,1015408324.3,50.75
24,KO,20201021,49.99,49.96,50.43,49.77,50.25,-0.52,12468625,624035891.03,50.05
25,KO,20201020,50.25,49.89,50.62,49.79,49.62,1.27,10930536,549373188.09,50.26
26,KO,20201019,49.62,50.03,50.48,49.46,50.03,-0.82,9922699,494694154.26,49.85
27,KO,20201016,50.03,49.99,50.35,49.87,49.99,0.08,13252676,664256020.31,50.12
28,KO,20201015,49.99,49.4,50.13,49.3,50.12,-0.26,9907934,494266155.19,49.89
29,KO,20201014,50.12,50.05,50.49,49.65,50.22,-0.2,10582934,529844147.1,50.07
30,KO,20201013,50.22,50.99,50.99,49.9,51.09,-1.7,13182555,662795123.62,50.28
31,KO,20201012,51.09,50.84,51.52,50.83,50.81,0.55,11374290,581965479.6,51.16
32,KO,20201009,50.81,50.67,51.23,50.6,50.46,0.69,11278493,573847547.09,50.88
33,KO,20201008,50.46,49.71,50.54,49.54,49.56,1.82,12105778,608716009.43,50.28
34,KO,20201007,49.56,49.02,49.76,48.95,48.94,1.27,10105575,499794515.08,49.46
35,KO,20201006,48.94,49.55,49.73,48.83,49.38,-0.89,9804496,483051860.14,49.27
36,KO,20201005,49.38,49.43,49.55,49.12,49.36,0.04,10228950,504521549.56,49.32
37,KO,20201002,49.36,48.76,49.58,48.55,49.18,0.37,13599774,669624312.23,49.24
38,KO,20201001,49.18,49.44,49.66,48.59,49.37,-0.38,17510118,859605031.88,49.09
39,KO,20200930,49.37,49.27,49.62,48.89,48.92,0.92,15670028,773154590.2,49.34
