,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,PEP,20201125,144.16,144.45,144.92,143.7,144.03,0.09,2276974,328331248.77,144.2
1,PEP,20201124,144.03,143.19,144.36,142.82,143.02,0.71,4452805,639828893.82,143.69
2,PEP,20201123,143.02,143.31,143.65,141.88,143.42,-0.28,3438122,490842455.89,142.76
3,PEP,20201120,143.42,143.65,144.64,143.0,143.32,0.07,3467210,498479741.54,143.77
4,PEP,20201119,143.32,142.88,143.7,142.34,143.38,-0.04,4247399,608158771.41,143.18
5,PEP,20201118,143.38,145.49,146.57,143.3,145.24,-1.28,4265731,616914325.61,144.62
6,PEP,20201117,145.24,144.27,146.1,144.11,145.76,-0.36,2905031,421507796.97,145.1
7,PEP,20201116,145.76,145.0,146.26,144.69,144.71,0.73,3348769,487070079.13,145.45
8,PEP,20201113,144.71,143.77,144.89,143.27,143.84,0.6,2544001,366644756.76,144.12
9,PEP,20201112,143.84,144.25,144.74,142.76,143.9,-0.04,2561889,367821189.28,143.57
10,PEP,20201111,143.9,142.86,144.24,141.61,141.72,1.54,4386000,629480035.8,143.52
11,PEP,20201110,141.72,136.99,142.44,136.19,138.45,2.36,5248805,740967503.28,141.17
12,PEP,20201109,138.45,142.0,143.65,138.17,138.38,0.05,6062106,,
13,PEP,20201106,138.38,138.56,139.77,137.33,138.05,0.24,2863843,396463580.34,138.44
14,PEP,20201105,138.05,139.35,140.27,137.47,137.86,0.14,3665054,508208115.81,138.66
15,PEP,20201104,137.86,139.0,141.7,137.66,137.04,0.6,4566074,635305728.67,139.14
16,PEP,20201102,135.15,135.61,136.23,133.78,133.29,1.4,2979767,402552218.82,135.1
17,PEP,20201030,133.29,132.93,133.84,131.71,133.99,-0.52,4292590,570485211.0,132.9
18,PEP,20201029,133.99,133.76,135.63,132.26,134.17,-0.13,3843825,515621832.59,134.14
19,PEP,20201028,134.17,137.15,137.71,133.94,139.12,-3.56,5048984,681081737.37,134.89
20,PEP,20201027,139.12,138.57,139.89,138.3,138.06,0.77,3363541,468042784.52,139.15
21,PEP,20201026,138.06,138.74,139.08,136.41,139.56,-1.07,3406093,468185228.59,137.46
22,PEP,20201023,139.56,140.22,140.53,139.04,139.61,-0.04,2686152,374980909.67,139.6
23,PEP,20201022,139.61,139.8,140.2,139.01,139.6,0.01,2791874,389684217.09,139.58
24,PEP,20201021,139.6,139.68,140.48,139.1,139.71,-0.08,2556952,357343272.6,139.75
25,PEP,20201020,139.71,141.0,141.22,139.41,139.68,0.02,2709799,380187265.62,140.3
26,PEP,20201019,139.68,141.34,142.53,139.25,141.73,-1.45,3195256,448896083.5,140.49
27,PEP,20201016,141.73,141.75,142.82,141.13,141.43,0.21,5039789,715463112.23,141.96
28,PEP,20201015,141.43,141.16,141.97,140.62,142.52,-0.76,3306692,467245499.68,141.3
29,PEP,20201014,142.52,143.55,144.11,141.63,143.54,-0.71,3641327,519880994.97,142.77
30,PEP,20201013,143.54,142.22,144.0,141.91,142.13,0.99,4289672,613949438.75,143.12
31,PEP,20201012,142.13,141.12,143.49,139.78,138.44,2.67,6161277,875120120.95,142.04
32,PEP,20201009,138.44,138.7,139.26,137.9,137.85,0.43,3173194,439701876.91,138.57
33,PEP,20201008,137.85,137.28,138.13,136.76,137.01,0.61,2816482,387930147.97,137.74
34,PEP,20201007,137.01,135.94,137.52,135.76,135.7,0.97,4181117,571420758.85,136.67
35,PEP,20201006,135.7,138.0,138.82,135.15,137.93,-1.62,4982758,681999056.42,136.87
36,PEP,20201005,137.93,138.11,138.38,136.98,138.06,-0.09,4015595,552501740.61,137.59
37,PEP,20201002,138.06,139.28,139.91,136.2,140.8,-1.95,5115891,707196778.31,138.24
38,PEP,20201001,140.8,139.44,140.85,137.49,138.6,1.59,6400863,893343549.55,139.57
39,PEP,20200930,138.6,137.99,139.19,136.9,137.16,1.05,6677410,924033417.39,138.38
40,PEP,20200929,137.16,138.66,139.54,137.13,137.97,-0.59,4321399,596094210.2,137.94
41,PEP,20200928,137.97,136.04,138.58,135.67,133.55,3.31,7446109,1024550346.3,137.6
42,PEP,20200925,133.55,130.89,133.83,130.51,131.58,1.5,4543375,601795052.75,132.46
43,PEP,20200924,131.58,131.44,132.31,129.92,131.0,0.44,4237781,557096613.75,131.46
44,PEP,20200923,131.0,132.7,132.82,129.85,132.15,-0.87,5846262,764768824.88,130.81
45,PEP,20200922,132.15,131.0,132.89,130.45,131.24,0.69,3850216,509030935.52,132.21
46,PEP,20200921,131.24,130.37,131.31,129.36,131.47,-0.17,4367723,569449311.25,130.38
47,PEP,20200918,131.47,133.71,134.79,130.01,133.2,-1.3,8451738,1117145657.8,132.18
48,PEP,20200917,133.2,133.39,134.55,131.69,134.98,-1.32,5182481,688193571.7,132.79
49,PEP,20200916,134.98,136.28,136.6,134.78,135.62,-0.47,3344166,453701997.97,135.67
50,PEP,20200915,135.62,136.48,137.24,135.41,136.67,-0.77,4079788,555255515.79,136.1
