,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,PG,20201125,138.68,138.16,139.39,138.04,138.31,0.27,8411238,1166258606.75,138.65
1,PG,20201124,138.31,138.83,139.84,138.07,138.76,-0.32,7085879,981974574.99,138.58
2,PG,20201123,138.76,139.32,139.95,137.86,139.3,-0.39,4762637,660683053.8,138.72
3,PG,20201120,139.3,139.53,140.35,138.63,139.53,-0.16,4675508,652524696.9,139.56
4,PG,20201119,139.53,139.87,140.12,138.45,139.7,-0.12,5112910,712403224.52,139.33
5,PG,20201118,139.7,141.99,142.1,139.66,141.88,-1.54,6057563,852485081.28,140.73
6,PG,20201117,141.88,141.89,143.47,141.75,142.43,-0.39,6393297,910991758.13,142.49
7,PG,20201116,142.43,144.78,144.78,141.26,144.28,-1.28,7965996,1136123971.37,142.62
8,PG,20201113,144.28,142.21,144.48,141.88,142.15,1.5,6448426,926057232.66,143.61
9,PG,20201112,142.15,142.29,142.55,141.07,142.07,0.06,5627703,797541805.1,141.72
10,PG,20201111,142.07,141.85,143.0,140.65,140.26,1.29,5540262,786796429.75,142.01
11,PG,20201110,140.26,138.1,140.62,137.15,137.99,1.65,7717336,1078590314.03,139.76
12,PG,20201109,137.99,146.15,146.92,137.6,143.23,-3.66,12248325,,
13,PG,20201106,143.23,142.67,144.07,142.38,142.38,0.6,4485988,642455836.83,143.21
14,PG,20201105,142.38,142.44,143.53,141.78,140.64,1.24,5658684,807791344.3,142.75
15,PG,20201104,140.64,140.46,143.0,140.27,141.22,-0.41,5801527,822561383.56,141.78
16,PG,20201102,138.5,138.51,140.0,137.44,137.1,1.02,6665914,923710434.65,138.57
17,PG,20201030,137.1,137.18,137.99,134.68,137.57,-0.34,6402457,873800288.66,136.48
18,PG,20201029,137.57,137.35,139.09,135.8,137.66,-0.07,5425742,746560938.81,137.6
19,PG,20201028,137.66,140.45,140.94,137.31,142.36,-3.3,8153469,1128511126.31,138.41
20,PG,20201027,142.36,141.94,143.34,141.65,141.3,0.75,6473121,922922121.42,142.58
21,PG,20201026,141.3,141.5,142.05,140.01,142.38,-0.76,4913801,692605656.13,140.95
22,PG,20201023,142.38,141.76,142.88,141.76,141.45,0.66,4246121,604953393.57,142.47
23,PG,20201022,141.45,141.49,142.75,141.08,143.25,-1.26,4453344,631320786.01,141.76
24,PG,20201021,143.25,142.49,144.34,142.47,142.48,0.54,5621117,806293584.59,143.44
25,PG,20201020,142.48,145.61,145.69,141.9,141.91,0.4,7564574,1086652643.66,143.65
26,PG,20201019,141.91,144.47,145.39,141.13,144.39,-1.72,6328203,904324951.97,142.9
27,PG,20201016,144.39,144.42,145.87,143.92,143.83,0.39,6299000,911836311.1,144.76
28,PG,20201015,143.83,143.06,144.39,142.89,144.04,-0.15,4823238,693664101.77,143.82
29,PG,20201014,144.04,144.18,145.1,143.08,144.21,-0.12,3860801,556005573.02,144.01
30,PG,20201013,144.21,143.82,144.84,143.46,144.49,-0.19,4467598,643724133.31,144.09
31,PG,20201012,144.49,143.33,145.33,143.33,142.92,1.1,5783641,836427847.96,144.62
32,PG,20201009,142.92,141.84,143.64,141.7,141.65,0.9,6493055,927644652.23,142.87
33,PG,20201008,141.65,140.56,141.93,140.36,140.7,0.68,4540313,642565572.57,141.52
34,PG,20201007,140.7,140.08,141.39,139.37,139.61,0.78,4626520,650181048.42,140.53
35,PG,20201006,139.61,139.42,140.77,138.81,139.39,0.16,5940098,830127566.88,139.75
36,PG,20201005,139.39,138.72,139.65,138.3,138.12,0.92,6306188,877222281.74,139.1
37,PG,20201002,138.12,137.93,139.12,136.95,139.24,-0.8,6059559,836996583.42,138.13
38,PG,20201001,139.24,139.58,139.99,138.21,138.99,0.18,5708363,795192718.91,139.3
39,PG,20200930,138.99,138.16,139.85,137.81,137.26,1.26,8688445,1207176979.41,138.94
40,PG,20200929,137.26,138.39,138.42,136.66,138.01,-0.54,4465391,613105373.58,137.3
41,PG,20200928,138.01,138.56,139.94,137.78,137.62,0.28,5729508,795072939.09,138.77
42,PG,20200925,137.62,135.89,137.99,135.89,136.92,0.51,4924524,676109075.41,137.29
43,PG,20200924,136.92,136.66,137.15,135.71,136.31,0.45,5687527,776820068.99,136.58
44,PG,20200923,136.31,138.42,138.42,136.09,137.96,-1.2,6346223,869297376.45,136.98
45,PG,20200922,137.96,136.49,139.03,136.24,136.71,0.91,4707246,650350800.81,138.16
46,PG,20200921,136.71,137.0,137.47,134.7,137.37,-0.48,6343254,863018165.57,136.05
47,PG,20200918,137.37,136.91,137.93,136.26,137.52,-0.11,10010071,1373346806.05,137.2
48,PG,20200917,137.52,137.06,137.88,136.19,137.7,-0.13,4600992,630602761.54,137.06
49,PG,20200916,137.7,139.57,140.17,137.6,138.63,-0.67,6030649,836203216.93,138.66
50,PG,20200915,138.63,138.79,139.77,138.39,138.63,0.0,4039650,560913522.2,138.85
51,PG,20200914,138.63,138.44,139.58,138.33,138.14,0.35,4578852,636045171.91,138.91
52,PG,20200911,138.14,137.69,138.66,137.16,136.7,1.05,4367645,603072192.19,138.08
53,PG,20200910,136.7,138.12,138.72,136.51,138.15,-1.05,4795981,659550021.49,137.52
54,PG,20200909,138.15,136.42,139.56,136.27,135.94,1.63,5935742,821255076.7,138.36
55,PG,20200908,135.94,138.52,138.64,135.04,137.96,-1.46,6773484,921269009.67,136.01
56,PG,20200904,137.96,137.81,139.19,136.12,138.26,-0.22,7370578,1014429602.47,137.63
57,PG,20200903,138.26,140.74,141.7,137.09,140.51,-1.6,7196516,999603340.88,138.9
58,PG,20200902,140.51,138.11,141.44,137.61,138.18,1.69,7884149,1103919621.02,140.02
59,PG,20200901,138.18,137.86,138.22,137.07,138.33,-0.11,5369734,739822619.48,137.78
60,PG,20200831,138.33,138.19,138.73,137.82,138.77,-0.32,5535156,765509307.22,138.3
61,PG,20200828,138.77,138.32,138.91,136.95,138.21,0.41,3799017,524749100.57,138.13
