,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,PM,20201125,76.89,77.81,78.21,76.87,78.02,-1.45,3487004,270263721.56,77.51
1,PM,20201124,78.02,77.04,78.3,76.93,76.63,1.81,4405844,342849571.36,77.82
2,PM,20201123,76.63,76.04,76.82,75.71,76.73,-0.13,3970956,303126893.25,76.34
3,PM,20201120,76.73,77.08,77.51,76.52,77.51,-1.01,4872395,374600904.87,76.88
4,PM,20201119,77.51,76.76,77.83,76.39,77.47,0.05,3661795,282497238.55,77.15
5,PM,20201118,77.47,78.73,79.21,77.29,78.38,-1.16,3700359,289153108.84,78.14
6,PM,20201117,78.38,78.09,78.96,77.5,78.63,-0.32,3938940,308787269.26,78.39
7,PM,20201116,78.63,77.37,78.72,76.63,75.89,3.61,5335984,415893529.74,77.94
8,PM,20201113,75.89,75.0,76.04,74.75,74.5,1.87,4883520,368739441.64,75.51
9,PM,20201112,74.5,74.47,74.7,73.17,75.11,-0.81,4854832,359482841.91,74.05
10,PM,20201111,75.11,74.86,75.18,73.55,74.75,0.48,4578149,342219851.61,74.75
11,PM,20201110,74.75,72.64,74.97,72.13,71.63,4.36,6643277,492353234.8,74.11
12,PM,20201109,71.63,72.8,73.31,71.58,70.45,1.67,8296223,,
13,PM,20201106,70.45,71.02,71.43,70.13,70.9,-0.63,5455609,385089109.5,70.59
14,PM,20201105,70.9,72.12,72.48,70.81,71.54,-0.89,5802781,414447361.93,71.42
15,PM,20201104,71.54,72.24,73.2,71.45,71.82,-0.39,4586410,331849259.84,72.35
16,PM,20201102,71.63,71.94,72.25,70.92,71.02,0.86,4261004,305251500.43,71.64
17,PM,20201030,71.02,70.12,71.15,69.93,70.64,0.54,6131133,433345445.53,70.68
18,PM,20201029,70.64,69.66,71.11,68.93,70.04,0.86,6359711,447936043.31,70.43
19,PM,20201028,70.04,70.04,71.12,69.54,71.33,-1.81,5632063,395796634.72,70.28
20,PM,20201027,71.33,73.35,73.53,71.19,73.65,-3.15,5244547,376886757.02,71.86
21,PM,20201026,73.65,73.86,73.92,72.81,74.45,-1.07,4213918,309118688.73,73.36
22,PM,20201023,74.45,75.26,75.37,74.31,74.86,-0.55,3597919,268731434.05,74.69
23,PM,20201022,74.86,74.76,75.08,73.92,73.82,1.41,4652375,346933177.3,74.57
24,PM,20201021,73.82,73.93,75.21,73.68,73.33,0.67,7239203,537807637.31,74.29
25,PM,20201020,73.33,77.75,77.85,73.3,77.84,-5.79,9369285,701310629.64,74.85
26,PM,20201019,77.84,78.98,79.36,77.69,79.27,-1.8,4063312,317879021.17,78.23
27,PM,20201016,79.27,79.35,79.87,79.03,79.14,0.16,2983297,236939408.37,79.42
28,PM,20201015,79.14,77.87,79.32,77.85,78.91,0.29,2396588,189085769.95,78.9
29,PM,20201014,78.91,78.56,79.89,77.83,79.21,-0.38,3494455,275700642.81,78.9
30,PM,20201013,79.21,79.29,79.58,78.07,79.32,-0.14,4406590,348076099.03,78.99
