,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,WMT,20201125,151.83,151.25,152.39,151.21,151.36,0.31,4595582,697671847.52,151.81
1,WMT,20201124,151.36,151.74,151.98,150.27,150.93,0.28,5708094,863717389.56,151.31
2,WMT,20201123,150.93,150.37,151.4,149.37,150.24,0.46,6146160,924155117.54,150.36
3,WMT,20201120,150.24,151.17,152.76,149.81,152.12,-1.24,7231828,1091376858.96,150.91
4,WMT,20201119,152.12,149.46,152.45,149.32,149.09,2.03,6118301,926656455.41,151.46
5,WMT,20201118,149.09,149.86,151.67,149.05,149.37,-0.19,8258148,1239645543.53,150.11
6,WMT,20201117,149.37,150.5,153.24,149.18,152.44,-2.01,14070000,2125110428.7,151.04
7,WMT,20201116,152.44,150.53,153.4,149.28,150.54,1.26,11254122,1713407550.09,152.25
8,WMT,20201113,150.54,148.94,150.94,147.52,148.23,1.56,6544504,979245625.66,149.63
9,WMT,20201112,148.23,148.48,148.71,147.1,147.98,0.17,4156762,614861210.11,147.92
10,WMT,20201111,147.98,146.92,148.96,146.4,145.56,1.66,6237067,923102132.37,148.0
11,WMT,20201110,145.56,143.75,146.44,143.53,143.54,1.41,5997910,872514168.33,145.47
12,WMT,20201109,143.54,148.0,148.2,143.48,145.77,-1.53,9340305,,
13,WMT,20201106,145.77,144.36,146.22,143.55,143.47,1.6,5359172,778365605.36,145.24
14,WMT,20201105,143.47,144.0,144.23,142.94,141.96,1.06,4720801,677888140.4,143.6
15,WMT,20201104,141.96,141.57,144.39,141.34,142.78,-0.57,5961688,851465628.67,142.82
16,WMT,20201102,140.4,140.59,140.81,139.03,138.75,1.19,5498211,770064587.49,140.06
17,WMT,20201030,138.75,139.18,140.09,137.37,139.92,-0.84,6178328,855342556.31,138.44
18,WMT,20201029,139.92,140.0,141.11,138.7,140.04,-0.09,5032774,705243123.9,140.13
19,WMT,20201028,140.04,140.96,142.13,139.88,142.87,-1.98,5508449,775530733.88,140.79
20,WMT,20201027,142.87,142.05,143.7,141.97,142.16,0.5,3935745,562513992.68,142.92
21,WMT,20201026,142.16,142.84,143.12,140.94,143.85,-1.17,5358027,760664090.71,141.97
22,WMT,20201023,143.85,143.97,144.14,142.85,143.55,0.21,3505333,503277168.93,143.57
23,WMT,20201022,143.55,144.19,144.56,142.69,144.4,-0.59,4422887,635069119.9,143.59
24,WMT,20201021,144.4,143.84,145.73,143.84,143.9,0.35,4362324,631458657.13,144.75
25,WMT,20201020,143.9,144.11,145.53,143.62,142.95,0.66,4833035,698248430.22,144.47
26,WMT,20201019,142.95,145.1,145.37,142.75,144.71,-1.22,4874043,701299288.77,143.88
27,WMT,20201016,144.71,145.4,146.15,144.47,144.53,0.12,5634820,817841155.69,145.14
28,WMT,20201015,144.53,143.09,144.96,142.84,143.94,0.41,4557422,657663339.13,144.31
29,WMT,20201014,143.94,146.4,146.53,143.76,146.23,-1.57,6574109,949977815.42,144.5
30,WMT,20201013,146.23,144.68,146.6,144.36,144.25,1.37,7916289,1153342431.04,145.69
31,WMT,20201012,144.25,143.02,145.39,143.02,142.78,1.03,6096004,880804363.72,144.49
32,WMT,20201009,142.78,141.66,143.34,141.56,141.36,1.0,4802887,685467120.09,142.72
33,WMT,20201008,141.36,141.51,142.09,141.12,140.89,0.33,4878012,690464110.93,141.55
34,WMT,20201007,140.89,141.26,141.55,140.25,140.63,0.18,5618996,792399244.41,141.02
35,WMT,20201006,140.63,141.87,142.94,140.25,141.8,-0.83,7132824,1009173409.32,141.48
36,WMT,20201005,141.8,141.29,142.19,141.07,140.5,0.93,4642738,657991114.5,141.72
37,WMT,20201002,140.5,142.34,143.1,140.13,143.08,-1.8,8148375,1149673051.5,141.09
38,WMT,20201001,143.08,140.8,144.38,140.26,139.91,2.27,14377641,2055032172.23,142.93
39,WMT,20200930,139.91,137.39,141.74,137.2,137.14,2.02,11582184,1622095408.99,140.05
40,WMT,20200929,137.14,137.25,138.14,136.39,137.25,-0.08,9224035,1266526510.79,137.31
41,WMT,20200928,137.25,137.16,138.05,136.72,137.27,-0.01,6876969,944491862.52,137.34
42,WMT,20200925,137.27,136.52,137.54,135.96,136.7,0.42,7485520,1023601518.84,136.74
43,WMT,20200924,136.7,135.73,137.79,135.07,135.99,0.52,9734785,1330148464.53,136.64
44,WMT,20200923,135.99,139.0,139.24,135.82,138.31,-1.68,7686836,1057222902.43,137.54
45,WMT,20200922,138.31,137.07,138.99,136.57,137.07,0.9,11013243,1518100767.63,137.84
46,WMT,20200921,137.07,136.5,137.24,135.29,135.29,1.32,15700247,2140176186.76,136.31
47,WMT,20200918,135.29,136.44,137.53,134.75,136.69,-1.02,18124286,2461299787.94,135.8
48,WMT,20200917,136.69,135.43,137.57,135.02,136.26,0.32,12291907,1678345586.11,136.54
49,WMT,20200916,136.26,138.41,138.68,136.05,137.36,-0.8,9273406,1269988315.0,136.95
50,WMT,20200915,137.36,138.23,139.08,136.68,137.32,0.03,10065153,1386523239.14,137.75
51,WMT,20200914,137.32,136.14,141.1,135.88,136.7,0.45,15187067,2096817592.42,138.07
52,WMT,20200911,136.7,137.05,138.44,135.55,136.81,-0.08,9588879,1312450101.26,136.87
53,WMT,20200910,136.81,140.06,140.54,136.59,139.89,-2.2,11196375,1549414944.89,138.39
54,WMT,20200909,139.89,140.09,142.61,139.45,138.45,1.04,11168450,1576775173.14,141.18
55,WMT,20200908,138.45,141.41,141.9,138.26,142.83,-3.07,11232657,1566550152.58,139.46
56,WMT,20200904,142.83,144.02,145.04,140.1,144.54,-1.18,11246618,1599434517.35,142.21
57,WMT,20200903,144.54,146.7,149.6,141.81,147.68,-2.13,15761696,2288670920.62,145.2
58,WMT,20200902,147.68,151.25,151.33,145.61,147.59,0.06,17042512,2516771876.79,147.68
59,WMT,20200901,147.59,141.2,149.59,140.05,138.85,6.29,35197348,5146704053.42,146.22
60,WMT,20200831,138.85,137.48,138.89,135.53,140.3,-1.03,14876407,2041026676.35,137.2
61,WMT,20200828,140.3,141.0,141.07,137.84,136.63,2.69,21229446,2962853876.17,139.56
62,WMT,20200827,136.63,131.08,139.35,130.9,130.7,4.54,39123071,,
63,WMT,20200826,130.7,130.21,130.88,129.7,130.63,0.05,6231981,812396119.9,130.36
64,WMT,20200825,130.63,130.8,131.24,129.67,131.33,-0.53,7220754,940897461.67,130.3
65,WMT,20200824,131.33,132.25,132.48,130.33,131.63,-0.23,6521383,853714900.67,130.91
66,WMT,20200821,131.63,130.55,132.67,130.1,130.57,0.81,8122047,1069561586.87,131.69
67,WMT,20200820,130.57,131.21,132.07,130.05,132.41,-1.39,8884402,1160975539.28,130.68
68,WMT,20200819,132.41,134.21,134.66,131.85,134.71,-1.71,12664141,1681591625.94,132.78
69,WMT,20200818,134.71,136.17,137.63,133.17,135.6,-0.66,26662891,3602682099.68,135.12
70,WMT,20200817,135.6,134.35,136.13,133.85,132.6,2.26,12721575,1722148867.37,135.37
71,WMT,20200814,132.6,132.34,132.97,131.63,131.85,0.57,6671008,883749189.62,132.48
72,WMT,20200813,131.85,131.21,131.96,130.73,131.89,-0.03,6588367,866313007.59,131.49
73,WMT,20200812,131.89,130.47,132.23,129.08,130.2,1.3,6334738,832421948.15,131.41
