Day,location,new_cases,new_deaths,total_cases,total_deaths
2020/1/22,United States,,,1,
2020/1/23,United States,0,0,1,
2020/1/24,United States,1,0,2,
2020/1/25,United States,0,0,2,
2020/1/26,United States,3,0,5,
2020/1/27,United States,0,0,5,
2020/1/28,United States,0,0,5,
2020/1/29,United States,1,0,6,
2020/1/30,United States,0,0,6,
2020/1/31,United States,2,0,8,
2020/2/1,United States,0,0,8,
2020/2/2,United States,0,0,8,
2020/2/3,United States,3,0,11,
2020/2/4,United States,0,0,11,
2020/2/5,United States,0,0,11,
2020/2/6,United States,1,0,12,
2020/2/7,United States,0,0,12,
2020/2/8,United States,0,0,12,
2020/2/9,United States,0,0,12,
2020/2/10,United States,0,0,12,
2020/2/11,United States,1,0,13,
2020/2/12,United States,0,0,13,
2020/2/13,United States,1,0,14,
2020/2/14,United States,0,0,14,
2020/2/15,United States,0,0,14,
2020/2/16,United States,0,0,14,
2020/2/17,United States,0,0,14,
2020/2/18,United States,0,0,14,
2020/2/19,United States,0,0,14,
2020/2/20,United States,0,0,14,
2020/2/21,United States,2,0,16,
2020/2/22,United States,0,0,16,
2020/2/23,United States,0,0,16,
2020/2/24,United States,0,0,16,
2020/2/25,United States,0,0,16,
2020/2/26,United States,0,0,16,
2020/2/27,United States,1,0,17,
2020/2/28,United States,0,0,17,
2020/2/29,United States,8,1,25,1
2020/3/1,United States,7,0,32,1
2020/3/2,United States,23,5,55,6
2020/3/3,United States,19,1,74,7
2020/3/4,United States,33,4,107,11
2020/3/5,United States,77,1,184,12
2020/3/6,United States,53,2,237,14
2020/3/7,United States,166,3,403,17
2020/3/8,United States,116,4,519,21
2020/3/9,United States,75,1,594,22
2020/3/10,United States,188,6,782,28
2020/3/11,United States,365,5,1147,33
2020/3/12,United States,439,10,1586,43
2020/3/13,United States,633,8,2219,51
2020/3/14,United States,759,7,2978,58
2020/3/15,United States,234,12,3212,70
2020/3/16,United States,1467,27,4679,97
2020/3/17,United States,1833,35,6512,132
2020/3/18,United States,2657,59,9169,191
2020/3/19,United States,4494,73,13663,264
2020/3/20,United States,6367,101,20030,365
2020/3/21,United States,5995,99,26025,464
2020/3/22,United States,8830,110,34855,574
2020/3/23,United States,11231,188,46086,762
2020/3/24,United States,10612,241,56698,1003
2020/3/25,United States,12075,326,68773,1329
2020/3/26,United States,17840,412,86613,1741
2020/3/27,United States,18680,518,105293,2259
2020/3/28,United States,19607,633,124900,2892
2020/3/29,United States,18879,592,143779,3484
2020/3/30,United States,22082,696,165861,4180
2020/3/31,United States,26316,1092,192177,5272
2020/4/1,United States,25883,1180,218060,6452
2020/4/2,United States,30387,1503,248447,7955
2020/4/3,United States,31970,1393,280417,9348
2020/4/4,United States,33015,1541,313432,10889
2020/4/5,United States,28197,1568,341629,12457
2020/4/6,United States,30173,1776,371802,14233
2020/4/7,United States,31410,2570,403212,16803
2020/4/8,United States,32195,2154,435407,18957
2020/4/9,United States,34582,2219,469989,21176
2020/4/10,United States,33485,2227,503474,23403
2020/4/11,United States,29308,2124,532782,25527
2020/4/12,United States,26927,1815,559709,27342
2020/4/13,United States,25809,1938,585518,29280
2020/4/14,United States,28564,2454,614082,31734
2020/4/15,United States,30165,2603,644247,34337
2020/4/16,United States,31401,2169,675648,36506
2020/4/17,United States,32669,2093,708317,38599
2020/4/18,United States,27927,1969,736244,40568
2020/4/19,United States,25689,1931,761933,42499
2020/4/20,United States,28420,2180,790353,44679
2020/4/21,United States,26060,2542,816413,47221
2020/4/22,United States,29314,2438,845727,49659
2020/4/23,United States,33184,2466,878911,52125
2020/4/24,United States,33751,2160,912662,54285
2020/4/25,United States,31572,1703,944234,55988
2020/4/26,United States,26844,1334,971078,57322
2020/4/27,United States,23187,1465,994265,58787
2020/4/28,United States,24661,2241,1018926,61028
2020/4/29,United States,27811,2527,1046737,63555
2020/4/30,United States,29487,2416,1076224,65971
2020/5/1,United States,34240,1877,1110464,67848
2020/5/2,United States,27764,1687,1138228,69535
2020/5/3,United States,24457,1103,1162685,70638
2020/5/4,United States,23382,1318,1186067,71956
2020/5/5,United States,24510,2299,1210577,74255
2020/5/6,United States,25089,2344,1235666,76599
2020/5/7,United States,27736,1924,1263402,78523
2020/5/8,United States,26749,1752,1290151,80275
2020/5/9,United States,24948,1542,1315099,81817
2020/5/10,United States,18871,900,1333970,82717
2020/5/11,United States,19427,1002,1353397,83719
2020/5/12,United States,22725,1614,1376122,85333
2020/5/13,United States,20963,1749,1397085,87082
2020/5/14,United States,27158,1774,1424243,88856
2020/5/15,United States,25255,1664,1449498,90520
2020/5/16,United States,24016,1272,1473514,91792
2020/5/17,United States,18315,755,1491829,92547
2020/5/18,United States,21987,1167,1513816,93714
2020/5/19,United States,21055,1526,1534871,95240
2020/5/20,United States,23062,1518,1557933,96758
2020/5/21,United States,25865,1211,1583798,97969
2020/5/22,United States,23311,1245,1607109,99214
2020/5/23,United States,21103,1134,1628212,100348
2020/5/24,United States,19946,616,1648158,100964
2020/5/25,United States,18347,557,1666505,101521
2020/5/26,United States,19451,664,1685956,102185
2020/5/27,United States,18533,1508,1704489,103693
2020/5/28,United States,22868,1183,1727357,104876
2020/5/29,United States,24255,1155,1751612,106031
2020/5/30,United States,23816,954,1775428,106985
2020/5/31,United States,19037,689,1794465,107674
2020/6/1,United States,16928,777,1811393,108451
2020/6/2,United States,21389,1049,1832782,109500
2020/6/3,United States,20006,994,1852788,110494
2020/6/4,United States,21368,1005,1874156,111499
2020/6/5,United States,25349,906,1899505,112405
2020/6/6,United States,21405,697,1920910,113102
2020/6/7,United States,17662,441,1938572,113543
2020/6/8,United States,17492,497,1956064,114040
2020/6/9,United States,18361,930,1974425,114970
2020/6/10,United States,20951,899,1995376,115869
2020/6/11,United States,23042,854,2018418,116723
2020/6/12,United States,24914,820,2043332,117543
2020/6/13,United States,25268,773,2068600,118316
2020/6/14,United States,19019,313,2087619,118629
2020/6/15,United States,19456,383,2107075,119012
2020/6/16,United States,23693,821,2130768,119833
2020/6/17,United States,26499,731,2157267,120564
2020/6/18,United States,27867,708,2185134,121272
2020/6/19,United States,30981,662,2216115,121934
2020/6/20,United States,31917,606,2248032,122540
2020/6/21,United States,25968,293,2274000,122833
2020/6/22,United States,30676,384,2304676,123217
2020/6/23,United States,36208,842,2340884,124059
2020/6/24,United States,34426,756,2375310,124815
2020/6/25,United States,40356,545,2415666,125360
2020/6/26,United States,45353,621,2461019,125981
2020/6/27,United States,41359,502,2502378,126483
2020/6/28,United States,40409,278,2542787,126761
2020/6/29,United States,40057,378,2582844,127139
2020/6/30,United States,45980,648,2628824,127787
2020/7/1,United States,51488,692,2680312,128479
2020/7/2,United States,55588,720,2735900,129199
2020/7/3,United States,51841,659,2787741,129858
2020/7/4,United States,45549,269,2833290,130127
2020/7/5,United States,49580,289,2882870,130416
2020/7/6,United States,44162,361,2927032,130777
2020/7/7,United States,60755,1207,2987787,131984
2020/7/8,United States,59740,863,3047527,132847
2020/7/9,United States,62567,998,3110094,133845
2020/7/10,United States,67859,821,3177953,134666
