Year,Month,Day,Day_num,Last_day_value,C1
2015,1,2015/1/2,42006,,-15.77676034
2015,1,2015/1/5,42009,-15.77676034,-16.49633038
2015,1,2015/1/6,42010,-16.49633038,-16.54855084
2015,1,2015/1/7,42011,-16.54855084,-13.48959019
2015,1,2015/1/8,42012,-13.48959019,-10.82468074
2015,1,2015/1/9,42013,-10.82468074,-12.40596842
2015,1,2015/1/12,42016,-12.40596842,-12.34954477
2015,1,2015/1/13,42017,-12.34954477,-12.65100814
2015,1,2015/1/14,42018,-12.65100814,-14.53931372
2015,1,2015/1/15,42019,-14.53931372,-14.10647882
2015,1,2015/1/16,42020,-14.10647882,-13.4545341
2015,1,2015/1/20,42024,-13.4545341,-13.37990131
2015,1,2015/1/21,42025,-13.37990131,-13.69953767
2015,1,2015/1/22,42026,-13.69953767,-11.37137166
2015,1,2015/1/23,42027,-11.37137166,-12.30808344
2015,1,2015/1/26,42030,-12.30808344,-12.4731471
2015,1,2015/1/27,42031,-12.4731471,-15.8844941
2015,1,2015/1/28,42032,-15.8844941,-17.60800826
2015,1,2015/1/29,42033,-17.60800826,-16.54668786
2015,1,2015/1/30,42034,-16.54668786,-20.26758035
2015,2,2015/2/2,42037,-20.26758035,-18.23186744
2015,2,2015/2/3,42038,-18.23186744,-17.05606242
2015,2,2015/2/4,42039,-17.05606242,-16.65448357
2015,2,2015/2/5,42040,-16.65448357,-15.69418866
2015,2,2015/2/6,42041,-15.69418866,-16.2693437
2015,2,2015/2/9,42044,-16.2693437,-17.89800072
2015,2,2015/2/10,42045,-17.89800072,-15.76614717
2015,2,2015/2/11,42046,-15.76614717,-15.23807472
2015,2,2015/2/12,42047,-15.23807472,-15.40282436
2015,2,2015/2/13,42048,-15.40282436,-16.04177002
2015,2,2015/2/17,42052,-16.04177002,-16.5223014
2015,2,2015/2/18,42053,-16.5223014,-15.45270767
2015,2,2015/2/19,42054,-15.45270767,-18.15877421
2015,2,2015/2/20,42055,-18.15877421,-17.68680792
2015,2,2015/2/23,42058,-17.68680792,-17.03321928
2015,2,2015/2/24,42059,-17.03321928,-16.90518947
2015,2,2015/2/25,42060,-16.90518947,-17.65374682
2015,2,2015/2/26,42061,-17.65374682,-17.80135959
2015,2,2015/2/27,42062,-17.80135959,-17.68289608
2015,3,2015/3/2,42065,-17.68289608,-17.26805584
2015,3,2015/3/3,42066,-17.26805584,-18.09782614
2015,3,2015/3/4,42067,-18.09782614,-19.59174197
2015,3,2015/3/5,42068,-19.59174197,-18.82451897
2015,3,2015/3/6,42069,-18.82451897,-21.15847821
2015,3,2015/3/9,42072,-21.15847821,-20.78776926
2015,3,2015/3/10,42073,-20.78776926,-22.98602978
2015,3,2015/3/11,42074,-22.98602978,-24.42182466
2015,3,2015/3/12,42075,-24.42182466,-22.25279104
2015,3,2015/3/13,42076,-22.25279104,-23.0703314
2015,3,2015/3/16,42079,-23.0703314,-20.61599156
2015,3,2015/3/17,42080,-20.61599156,-22.01954405
2015,3,2015/3/18,42081,-22.01954405,-21.3431663
2015,3,2015/3/19,42082,-21.3431663,-22.5374014
2015,3,2015/3/20,42083,-22.5374014,-19.99215446
2015,3,2015/3/23,42086,-19.99215446,-19.66001244
2015,3,2015/3/24,42087,-19.66001244,-20.38032485
2015,3,2015/3/25,42088,-20.38032485,-22.33626973
2015,3,2015/3/26,42089,-22.33626973,-22.28407456
2015,3,2015/3/27,42090,-22.28407456,-22.45378038
2015,3,2015/3/30,42093,-22.45378038,-21.12421204
2015,3,2015/3/31,42094,-21.12421204,-22.13947635
2015,4,2015/4/1,42095,-22.13947635,-23.60217883
2015,4,2015/4/2,42096,-23.60217883,-23.26777754
2015,4,2015/4/6,42100,-23.26777754,-22.35211765
2015,4,2015/4/7,42101,-22.35211765,-23.18748749
2015,4,2015/4/8,42102,-23.18748749,-22.70160735
2015,4,2015/4/9,42103,-22.70160735,-22.60829318
2015,4,2015/4/10,42104,-22.60829318,-22.56135026
2015,4,2015/4/13,42107,-22.56135026,-23.07030276
2015,4,2015/4/14,42108,-23.07030276,-22.676694
2015,4,2015/4/15,42109,-22.676694,-22.95905136
2015,4,2015/4/16,42110,-22.95905136,-23.36200621
2015,4,2015/4/17,42111,-23.36200621,-25.14679561
2015,4,2015/4/20,42114,-25.14679561,-24.44080777
2015,4,2015/4/21,42115,-24.44080777,-24.26362375
2015,4,2015/4/22,42116,-24.26362375,-23.71186231
2015,4,2015/4/23,42117,-23.71186231,-25.11538806
2015,4,2015/4/24,42118,-25.11538806,-24.88438818
2015,4,2015/4/27,42121,-24.88438818,-25.73080974
2015,4,2015/4/28,42122,-25.73080974,-26.05349545
2015,4,2015/4/29,42123,-26.05349545,-27.25601169
2015,4,2015/4/30,42124,-27.25601169,-27.00537202
2015,5,2015/5/1,42125,-27.00537202,-25.28410837
