Year,Month,Day,Day_num,Last_day_value,Today_value
2015,1,2015/1/2,42006,,4.915455343
2015,1,2015/1/5,42009,,5.16797743
2015,1,2015/1/6,42010,,5.513747026
2015,1,2015/1/7,42011,,4.621325994
2015,1,2015/1/8,42012,,4.108397128
2015,1,2015/1/9,42013,,4.281400758
2015,1,2015/1/12,42016,,4.684851573
2015,1,2015/1/13,42017,,4.59353098
2015,1,2015/1/14,42018,,3.927239962
2015,1,2015/1/15,42019,,4.122206062
2015,1,2015/1/16,42020,,3.736305871
2015,1,2015/1/20,42024,,3.450064832
2015,1,2015/1/21,42025,,3.41839788
2015,1,2015/1/22,42026,,2.99333532
2015,1,2015/1/23,42027,,3.269491968
2015,1,2015/1/26,42030,,3.286442481
2015,1,2015/1/27,42031,,4.001086828
2015,1,2015/1/28,42032,,4.385809024
2015,1,2015/1/29,42033,,4.394768325
2015,1,2015/1/30,42034,,5.062456592
2015,2,2015/2/2,42037,,8.283727269
2015,2,2015/2/3,42038,,8.008921618
2015,2,2015/2/4,42039,,7.900893972
2015,2,2015/2/5,42040,,8.024428101
2015,2,2015/2/6,42041,,8.040583098
2015,2,2015/2/9,42044,,8.131140056
2015,2,2015/2/10,42045,,7.195718308
2015,2,2015/2/11,42046,,5.948244791
2015,2,2015/2/12,42047,,5.986449003
2015,2,2015/2/13,42048,,6.524457679
2015,2,2015/2/17,42052,,6.931685641
2015,2,2015/2/18,42053,,6.612790235
2015,2,2015/2/19,42054,,6.199936656
2015,2,2015/2/20,42055,,6.226144657
2015,2,2015/2/23,42058,,6.162320473
2015,2,2015/2/24,42059,,6.026867897
2015,2,2015/2/25,42060,,5.886276771
2015,2,2015/2/26,42061,,6.002499057
2015,2,2015/2/27,42062,,5.840333797
2015,3,2015/3/2,42065,,7.834428277
2015,3,2015/3/3,42066,,8.045048656
2015,3,2015/3/4,42067,,8.446298324
2015,3,2015/3/5,42068,,8.73634988
2015,3,2015/3/6,42069,,9.181950039
2015,3,2015/3/9,42072,,9.348153231
2015,3,2015/3/10,42073,,10.0403341
2015,3,2015/3/11,42074,,10.28062459
2015,3,2015/3/12,42075,,9.487103709
2015,3,2015/3/13,42076,,10.27725535
2015,3,2015/3/16,42079,,10.00675816
2015,3,2015/3/17,42080,,10.37993408
2015,3,2015/3/18,42081,,10.14333483
2015,3,2015/3/19,42082,,10.32910204
2015,3,2015/3/20,42083,,9.993036976
2015,3,2015/3/23,42086,,9.791173624
2015,3,2015/3/24,42087,,9.7410502
2015,3,2015/3/25,42088,,9.641107006
2015,3,2015/3/26,42089,,9.582482505
2015,3,2015/3/27,42090,,9.411981679
2015,3,2015/3/30,42093,,9.288124185
2015,3,2015/3/31,42094,,9.595937101
2015,4,2015/4/1,42095,,5.618735701
2015,4,2015/4/2,42096,,5.358322101
2015,4,2015/4/6,42100,,4.946562857
2015,4,2015/4/7,42101,,4.990022821
2015,4,2015/4/8,42102,,5.221188556
2015,4,2015/4/9,42103,,5.002022882
2015,4,2015/4/10,42104,,5.094774119
2015,4,2015/4/13,42107,,5.375317026
2015,4,2015/4/14,42108,,4.975868134
2015,4,2015/4/15,42109,,4.858988397
2015,4,2015/4/16,42110,,4.786992294
2015,4,2015/4/17,42111,,4.850895416
2015,4,2015/4/20,42114,,4.5088702
2015,4,2015/4/21,42115,,4.337454629
2015,4,2015/4/22,42116,,4.049813161
2015,4,2015/4/23,42117,,4.907985334
2015,4,2015/4/24,42118,,5.306234496
2015,4,2015/4/27,42121,,5.519407404
2015,4,2015/4/28,42122,,5.50715321
2015,4,2015/4/29,42123,,5.3396275
2015,4,2015/4/30,42124,,5.010412708
2015,5,2015/5/1,42125,,10.86270717
2015,5,2015/5/4,42128,,10.79092342
2015,5,2015/5/5,42129,,10.86795061
2015,5,2015/5/6,42130,,10.7833618
2015,5,2015/5/7,42131,,10.98742549
2015,5,2015/5/8,42132,,10.41211076
2015,5,2015/5/11,42135,,10.4021961
2015,5,2015/5/12,42136,,10.6937504
2015,5,2015/5/13,42137,,10.33625077
2015,5,2015/5/14,42138,,9.645979426
2015,5,2015/5/15,42139,,9.662198285
2015,5,2015/5/18,42142,,9.914228686
2015,5,2015/5/19,42143,,9.279361536
2015,5,2015/5/20,42144,,9.267738907
2015,5,2015/5/21,42145,,9.557969363
2015,5,2015/5/22,42146,,9.91766847
2015,5,2015/5/26,42150,,9.968488602
2015,5,2015/5/27,42151,,9.735757856
2015,5,2015/5/28,42152,,9.355136559
2015,5,2015/5/29,42153,,9.53853429
2015,6,2015/6/1,42156,,4.877075685
2015,6,2015/6/2,42157,,4.776963474
2015,6,2015/6/3,42158,,5.216339614
2015,6,2015/6/4,42159,,5.650163688
2015,6,2015/6/5,42160,,6.028981549
2015,6,2015/6/8,42163,,6.028779157
2015,6,2015/6/9,42164,,5.931911454
2015,6,2015/6/10,42165,,5.733683742
2015,6,2015/6/11,42166,,5.613859047
2015,6,2015/6/12,42167,,5.687886511
2015,6,2015/6/15,42170,,6.153619577
2015,6,2015/6/16,42171,,5.733387793
2015,6,2015/6/17,42172,,5.569617785
2015,6,2015/6/18,42173,,5.015908305
2015,6,2015/6/19,42174,,5.191271284
2015,6,2015/6/22,42177,,4.845096488
2015,6,2015/6/23,42178,,4.804253702
2015,6,2015/6/24,42179,,4.946418569
2015,6,2015/6/25,42180,,5.091427786
2015,6,2015/6/26,42181,,5.110246208
2015,6,2015/6/29,42184,,5.64233081
2015,6,2015/6/30,42185,,5.745509789
2015,7,2015/7/1,42186,,6.430675707
2015,7,2015/7/2,42187,,6.374628525
2015,7,2015/7/6,42191,,6.645925802
2015,7,2015/7/7,42192,,5.837086152
2015,7,2015/7/8,42193,,6.125076088
2015,7,2015/7/9,42194,,6.497945751
2015,7,2015/7/10,42195,,6.019318904
2015,7,2015/7/13,42198,,5.384432134
2015,7,2015/7/14,42199,,5.274351925
2015,7,2015/7/15,42200,,5.610701164
2015,7,2015/7/16,42201,,5.311214197
2015,7,2015/7/17,42202,,5.338236505
2015,7,2015/7/20,42205,,5.007227162
2015,7,2015/7/21,42206,,5.13688217
2015,7,2015/7/22,42207,,5.160413032
2015,7,2015/7/23,42208,,5.17826729
2015,7,2015/7/24,42209,,5.396839893
2015,7,2015/7/27,42212,,5.551314198
2015,7,2015/7/28,42213,,5.498425495
2015,7,2015/7/29,42214,,5.339799155
2015,7,2015/7/30,42215,,5.169087495
2015,7,2015/7/31,42216,,5.093092866
2015,8,2015/8/3,42219,,4.825594396
2015,8,2015/8/4,42220,,4.57644926
2015,8,2015/8/5,42221,,4.128568242
2015,8,2015/8/6,42222,,4.057817712
2015,8,2015/8/7,42223,,3.808393726
2015,8,2015/8/10,42226,,3.915842399
2015,8,2015/8/11,42227,,4.262493396
2015,8,2015/8/12,42228,,4.563218901
2015,8,2015/8/13,42229,,4.30786597
2015,8,2015/8/14,42230,,4.117652276
2015,8,2015/8/17,42233,,3.713138348
2015,8,2015/8/18,42234,,3.27458169
2015,8,2015/8/19,42235,,3.547355853
2015,8,2015/8/20,42236,,4.02591603
2015,8,2015/8/21,42237,,4.626515191
2015,8,2015/8/24,42240,,6.304681539
2015,8,2015/8/25,42241,,7.195828468
2015,8,2015/8/26,42242,,6.153472315
2015,8,2015/8/27,42243,,5.778444892
2015,8,2015/8/28,42244,,5.527206705
2015,8,2015/8/31,42247,,5.76932685
2015,9,2015/9/1,42248,,12.33621164
2015,9,2015/9/2,42249,,12.31277629
2015,9,2015/9/3,42250,,12.1104329
2015,9,2015/9/4,42251,,12.5901963
2015,9,2015/9/8,42255,,12.37364432
2015,9,2015/9/9,42256,,12.92099913
2015,9,2015/9/10,42257,,12.58332016
2015,9,2015/9/11,42258,,12.51881625
2015,9,2015/9/14,42261,,12.62871269
2015,9,2015/9/15,42262,,12.19573216
2015,9,2015/9/16,42263,,11.66550636
2015,9,2015/9/17,42264,,11.43126627
2015,9,2015/9/18,42265,,11.44910545
2015,9,2015/9/21,42268,,11.19830232
2015,9,2015/9/22,42269,,11.86299294
2015,9,2015/9/23,42270,,11.88580704
2015,9,2015/9/24,42271,,11.81191952
