Day,Year,Month,Day_num,Last_day_value,Today_value
2015/1/2,2015,1,42006,,4.9154553430000005
2015/1/5,2015,1,42009,,5.16797743
2015/1/6,2015,1,42010,,5.513747026
2015/1/7,2015,1,42011,,4.621325993999999
2015/1/8,2015,1,42012,,4.108397128
2015/1/9,2015,1,42013,,4.281400758
2015/1/12,2015,1,42016,,4.684851573
2015/1/13,2015,1,42017,,4.59353098
2015/1/14,2015,1,42018,,3.927239962
2015/1/15,2015,1,42019,,4.122206062
2015/1/16,2015,1,42020,,3.7363058710000003
2015/1/20,2015,1,42024,,3.450064832
2015/1/21,2015,1,42025,,3.41839788
2015/1/22,2015,1,42026,,2.99333532
2015/1/23,2015,1,42027,,3.269491968
2015/1/26,2015,1,42030,,3.2864424810000004
2015/1/27,2015,1,42031,,4.001086828
2015/1/28,2015,1,42032,,4.385809023999999
2015/1/29,2015,1,42033,,4.394768325
2015/1/30,2015,1,42034,,5.062456592
2015/2/2,2015,2,42037,,8.283727269
2015/2/3,2015,2,42038,,8.008921617999999
2015/2/4,2015,2,42039,,7.900893972
2015/2/5,2015,2,42040,,8.024428101
2015/2/6,2015,2,42041,,8.040583097999999
2015/2/9,2015,2,42044,,8.131140056
2015/2/10,2015,2,42045,,7.195718307999999
2015/2/11,2015,2,42046,,5.9482447910000005
2015/2/12,2015,2,42047,,5.986449003
2015/2/13,2015,2,42048,,6.524457679
2015/2/17,2015,2,42052,,6.9316856410000005
2015/2/18,2015,2,42053,,6.612790235
2015/2/19,2015,2,42054,,6.199936656
2015/2/20,2015,2,42055,,6.226144657000001
2015/2/23,2015,2,42058,,6.162320472999999
2015/2/24,2015,2,42059,,6.026867897000001
2015/2/25,2015,2,42060,,5.886276771
2015/2/26,2015,2,42061,,6.0024990570000005
2015/2/27,2015,2,42062,,5.840333797
2015/3/2,2015,3,42065,,7.834428277000001
2015/3/3,2015,3,42066,,8.045048656
2015/3/4,2015,3,42067,,8.446298323999999
2015/3/5,2015,3,42068,,8.73634988
2015/3/6,2015,3,42069,,9.181950039
2015/3/9,2015,3,42072,,9.348153231
2015/3/10,2015,3,42073,,10.0403341
2015/3/11,2015,3,42074,,10.28062459
2015/3/12,2015,3,42075,,9.487103709
2015/3/13,2015,3,42076,,10.27725535
2015/3/16,2015,3,42079,,10.00675816
2015/3/17,2015,3,42080,,10.37993408
2015/3/18,2015,3,42081,,10.14333483
2015/3/19,2015,3,42082,,10.32910204
2015/3/20,2015,3,42083,,9.993036976
