Day,Year,Month,Last_day_value,Today_value
2015/1/2,2015,1,,-435.9
2015/1/5,2015,1,,-435.9
2015/1/6,2015,1,,-435.9
2015/1/7,2015,1,,-435.9
2015/1/8,2015,1,,-435.9
2015/1/9,2015,1,,-435.9
2015/1/12,2015,1,-435.9,-435.9
2015/1/13,2015,1,-435.9,-435.9
2015/1/14,2015,1,-435.9,-435.9
2015/1/15,2015,1,-435.9,-435.9
2015/1/16,2015,1,-435.9,-435.9
2015/1/20,2015,1,-435.9,-435.9
2015/1/21,2015,1,-435.9,-435.9
2015/1/22,2015,1,-435.9,-435.9
2015/1/23,2015,1,-435.9,-435.9
2015/1/26,2015,1,-435.9,-435.9
2015/1/27,2015,1,-435.9,-435.9
2015/1/28,2015,1,-435.9,-435.9
2015/1/29,2015,1,-435.9,-435.9
2015/1/30,2015,1,-435.9,-435.9
2015/2/2,2015,2,-428.6857143,-385.4
2015/2/3,2015,2,-421.4714286,-385.4
2015/2/4,2015,2,-414.2571429,-385.4
2015/2/5,2015,2,-407.0428571,-385.4
2015/2/6,2015,2,-399.8285714,-385.4
2015/2/9,2015,2,-392.6142857,-385.4
2015/2/10,2015,2,-385.4,-385.4
2015/2/11,2015,2,-385.4,-385.4
2015/2/12,2015,2,-385.4,-385.4
2015/2/13,2015,2,-385.4,-385.4
2015/2/17,2015,2,-385.4,-385.4
2015/2/18,2015,2,-385.4,-385.4
2015/2/19,2015,2,-385.4,-385.4
2015/2/20,2015,2,-385.4,-385.4
2015/2/23,2015,2,-385.4,-385.4
2015/2/24,2015,2,-385.4,-385.4
2015/2/25,2015,2,-385.4,-385.4
2015/2/26,2015,2,-385.4,-385.4
2015/2/27,2015,2,-385.4,-385.4
2015/3/2,2015,3,-404.8571429,-521.6
2015/3/3,2015,3,-424.3142857,-521.6
2015/3/4,2015,3,-443.7714286,-521.6
2015/3/5,2015,3,-463.2285714,-521.6
2015/3/6,2015,3,-482.6857143,-521.6
2015/3/9,2015,3,-502.1428571,-521.6
2015/3/10,2015,3,-521.6,-521.6
2015/3/11,2015,3,-521.6,-521.6
2015/3/12,2015,3,-521.6,-521.6
2015/3/13,2015,3,-521.6,-521.6
2015/3/16,2015,3,-521.6,-521.6
2015/3/17,2015,3,-521.6,-521.6
2015/3/18,2015,3,-521.6,-521.6
2015/3/19,2015,3,-521.6,-521.6
2015/3/20,2015,3,-521.6,-521.6
2015/3/23,2015,3,-521.6,-521.6
2015/3/24,2015,3,-521.6,-521.6
2015/3/25,2015,3,-521.6,-521.6
2015/3/26,2015,3,-521.6,-521.6
2015/3/27,2015,3,-521.6,-521.6
2015/3/30,2015,3,-521.6,-521.6
2015/3/31,2015,3,-521.6,-521.6
2015/4/1,2015,4,-509.0428571,-433.7
2015/4/2,2015,4,-496.4857143,-433.7
2015/4/6,2015,4,-483.9285714,-433.7
2015/4/7,2015,4,-471.3714286,-433.7
2015/4/8,2015,4,-458.8142857,-433.7
2015/4/9,2015,4,-446.2571429,-433.7
2015/4/10,2015,4,-433.7,-433.7
2015/4/13,2015,4,-433.7,-433.7
2015/4/14,2015,4,-433.7,-433.7
2015/4/15,2015,4,-433.7,-433.7
2015/4/16,2015,4,-433.7,-433.7
2015/4/17,2015,4,-433.7,-433.7
2015/4/20,2015,4,-433.7,-433.7
2015/4/21,2015,4,-433.7,-433.7
2015/4/22,2015,4,-433.7,-433.7
2015/4/23,2015,4,-433.7,-433.7
2015/4/24,2015,4,-433.7,-433.7
2015/4/27,2015,4,-433.7,-433.7
2015/4/28,2015,4,-433.7,-433.7
2015/4/29,2015,4,-433.7,-433.7
2015/4/30,2015,4,-433.7,-433.7
2015/5/1,2015,5,-433.8,-434.4
2015/5/4,2015,5,-433.9,-434.4
2015/5/5,2015,5,-434,-434.4
2015/5/6,2015,5,-434.1,-434.4
2015/5/7,2015,5,-434.2,-434.4
2015/5/8,2015,5,-434.3,-434.4
2015/5/11,2015,5,-434.4,-434.4
2015/5/12,2015,5,-434.4,-434.4
2015/5/13,2015,5,-434.4,-434.4
2015/5/14,2015,5,-434.4,-434.4
2015/5/15,2015,5,-434.4,-434.4
2015/5/18,2015,5,-434.4,-434.4
2015/5/19,2015,5,-434.4,-434.4
2015/5/20,2015,5,-434.4,-434.4
2015/5/21,2015,5,-434.4,-434.4
2015/5/22,2015,5,-434.4,-434.4
2015/5/26,2015,5,-434.4,-434.4
2015/5/27,2015,5,-434.4,-434.4
2015/5/28,2015,5,-434.4,-434.4
2015/5/29,2015,5,-434.4,-434.4
2015/6/1,2015,6,-438.4285714,-462.6
2015/6/2,2015,6,-442.4571429,-462.6
