,0
0,1062455529850.3688
1,946110246343.0946
2,582842582021.0629
3,290556461990.3776
4,285877529378.1037
5,265730077539.08484
6,289557655689.70184
7,240664117841.6582
8,301563042701.9421
9,293663803915.9449
10,298468051811.551
11,262472970646.94855
12,252704773464.02567
13,239907703879.78464
14,300643000747.71246
15,286121246235.4674
16,285878789562.94
17,270780002326.57352
18,290417871573.87933
19,383103153357.0359
20,361255920255.0828
21,298837898568.7468
22,299670830307.90247
23,300557720983.19666
24,246408077224.36523
25,251635802831.51486
26,270279624963.2739
27,250703414160.18274
28,234923680782.76175
29,281819453804.8385
30,279206428780.5361
31,294382647691.4637
32,267845249814.0871
33,238925503543.14755
34,284098880629.0968
35,252606197481.27686
36,267449240558.02975
37,267288150986.24902
38,288737468443.46045
39,263148783636.42633
40,240980853977.13318
41,250183885989.10104
42,244666131991.2411
43,282422613744.2973
44,295174212573.1898
45,270550388507.43604
46,258719054274.74866
47,277168109642.4345
48,267144600932.1443
49,239278384807.57288
50,272683725788.56284
51,253693043888.66202
52,290123143081.68134
53,262494241397.81757
54,272968000031.74832
55,242248558438.9323
56,246204420306.06638
57,258885639604.72028
58,286540206191.38934
59,275497208830.43164
60,296051304025.0885
61,281065460967.90063
62,242889946143.7716
63,251597670076.10428
64,238709695781.58255
65,284822173404.51605
66,249344370859.02945
67,261498187707.781
68,248903792079.6105
69,277727668056.87634
70,237924511636.95834
71,272781193181.93698
72,296385448209.47577
73,297186205973.9887
74,280518055288.8976
75,235064167314.88602
76,234307514347.09686
77,257785470489.65152
78,241656925388.1781
79,277403908264.3548
80,300758339848.83514
81,252326652197.0479
82,289871544171.5882
83,266893540828.8022
84,284496520167.4056
85,245161506253.98575
86,251095701381.06146
87,273253363682.11142
88,251847234308.13568
89,245182083201.2703
90,298772741999.1587
91,261771355874.9449
92,250166990527.86957
93,237041690264.97275
94,234751208553.83884
95,238007643520.1929
96,251673465061.17535
97,284999515076.60004
98,256135160905.7021
99,265577414459.00574
100,278286296267.65076
101,291047270759.8802
102,268032807409.7071
103,296849626209.45374
104,240521615214.66202
105,275695547152.89124
106,234785871513.79163
107,256326242534.77704
108,242566492918.03217
109,245568425864.18832
110,240357609321.57977
111,292315019616.2421
112,266226251683.17062
113,300472101266.3337
114,237659523132.9634
115,288132030181.4353
116,287718740411.82477
