Day,C1,I,G,NX,new_cases,GDP
2015-01-02,-15.77676034,76270000.0,1214.892,-435.9,2.8449465006019636e-16,261000000000.0
2015-01-05,-16.49633038,116160000.0,1214.892,-435.9,0.0,268000000000.0
2015-01-06,-16.54855084,101870000.0,1214.892,-435.9,3.469446951953614e-18,265000000000.0
2015-01-07,-13.48959019,91030000.0,1214.892,-435.9,3.469446951953614e-18,268000000000.0
2015-01-08,-10.82468074,114890000.0,1214.892,-435.9,3.469446951953614e-18,267000000000.0
2015-01-09,-12.40596842,93390000.0,1214.892,-435.9,3.469446951953614e-18,265000000000.0
2015-01-12,-12.34954477,92500000.0,1214.892,-435.9,3.469446951953614e-18,262000000000.0
2015-01-13,-12.65100814,99360000.0,1214.892,-435.9,3.469446951953614e-18,270000000000.0
2015-01-14,-14.53931372,109180000.0,1214.892,-435.9,3.469446951953614e-18,264000000000.0
2015-01-15,-14.10647882,94520000.0,1214.892,-435.9,3.469446951953614e-18,263000000000.0
2015-01-16,-13.4545341,140480000.0,1214.892,-435.9,3.469446951953614e-18,263000000000.0
2015-01-20,-13.37990131,119600000.0,1214.892,-435.9,3.469446951953614e-18,258000000000.0
2015-01-21,-13.69953767,95530000.0,1214.892,-435.9,3.469446951953614e-18,270000000000.0
2015-01-22,-11.37137166,111980000.0,1214.892,-435.9,3.469446951953614e-18,260000000000.0
2015-01-23,-12.30808344,97110000.0,1214.892,-435.9,3.469446951953614e-18,264000000000.0
2015-01-26,-12.4731471,87220000.0,1214.892,-435.9,3.469446951953614e-18,270000000000.0
2015-01-27,-15.8844941,135940000.0,1214.892,-435.9,3.469446951953614e-18,268000000000.0
2015-01-28,-17.60800826,115980000.0,1214.892,-435.9,3.469446951953614e-18,253000000000.0
2015-01-29,-16.54668786,111690000.0,1214.892,-435.9,3.469446951953614e-18,258000000000.0
2015-01-30,-20.26758035,168560000.0,1214.892,-435.9,3.469446951953614e-18,262000000000.0
2015-02-02,-18.23186744,108090000.0,1214.892,-385.4,3.469446951953614e-18,268000000000.0
