,Predictions,GDP_per_day
0,247801380000.0,284000000000.0
1,245805800000.0,289000000000.0
2,248509830000.0,293000000000.0
3,251076660000.0,298000000000.0
4,252173320000.0,290000000000.0
5,249008600000.0,291000000000.0
6,249213850000.0,299000000000.0
7,252904000000.0,295000000000.0
8,251652420000.0,293000000000.0
9,250743930000.0,299000000000.0
10,254098210000.0,286000000000.0
11,247839640000.0,299000000000.0
12,254036980000.0,301000000000.0
13,255242040000.0,293000000000.0
14,251844440000.0,297000000000.0
15,253194440000.0,294000000000.0
16,251677570000.0,296000000000.0
17,252737030000.0,292000000000.0
18,251784360000.0,297000000000.0
19,253932540000.0,309000000000.0
20,260237620000.0,296000000000.0
21,253850620000.0,303000000000.0
22,257639070000.0,297000000000.0
23,254341920000.0,294000000000.0
24,252836200000.0,308000000000.0
25,259669880000.0,302000000000.0
26,257815150000.0,303000000000.0
27,258458030000.0,313000000000.0
28,262661520000.0,298000000000.0
29,255666540000.0,311000000000.0
30,261642110000.0,298000000000.0
31,255617140000.0,310000000000.0
32,261039010000.0,298000000000.0
33,255050120000.0,303000000000.0
34,257783600000.0,309000000000.0
35,261408570000.0,300000000000.0
36,255735890000.0,310000000000.0
37,259939000000.0,295000000000.0
38,252344730000.0,294000000000.0
39,252221420000.0,308000000000.0
40,258201440000.0,310000000000.0
41,259217200000.0,298000000000.0
42,253776720000.0,313000000000.0
43,260952260000.0,298000000000.0
44,253869970000.0,299000000000.0
45,254273910000.0,315000000000.0
46,262653460000.0,311000000000.0
47,260597400000.0,317000000000.0
48,264113930000.0,314000000000.0
49,262934100000.0,303000000000.0
50,257349660000.0,312000000000.0
51,261464690000.0,304000000000.0
52,260690130000.0,318000000000.0
53,263737950000.0,312000000000.0
54,259669920000.0,317000000000.0
55,262841250000.0,320000000000.0
56,264575000000.0,313000000000.0
57,261152670000.0,319000000000.0
58,264135210000.0,339000000000.0
59,276748600000.0,322000000000.0
60,267918500000.0,333000000000.0
61,273502700000.0,339000000000.0
62,276594400000.0,338000000000.0
63,276341160000.0,336000000000.0
64,275517800000.0,330000000000.0
65,271975740000.0,327000000000.0
66,270393800000.0,343000000000.0
67,278845200000.0,338000000000.0
68,275639000000.0,333000000000.0
69,273173870000.0,334000000000.0
70,274018170000.0,328000000000.0
71,271151510000.0,326000000000.0
72,269718550000.0,341000000000.0
73,277176650000.0,329000000000.0
74,271751580000.0,320000000000.0
75,267511280000.0,323000000000.0
76,269162920000.0,332000000000.0
77,273195830000.0,332000000000.0
78,273259900000.0,330000000000.0
79,272716900000.0,320000000000.0
80,270617410000.0,341000000000.0
81,281717280000.0,347000000000.0
82,285467840000.0,344000000000.0
83,282872640000.0,344000000000.0
84,282520550000.0,334000000000.0
85,277119760000.0,345000000000.0
86,282821750000.0,346000000000.0
87,283719600000.0,346000000000.0
88,284048650000.0,330000000000.0
89,275417100000.0,336000000000.0
90,279337700000.0,331000000000.0
91,276273630000.0,338000000000.0
92,280568370000.0,327000000000.0
93,275311660000.0,331000000000.0
94,278503800000.0,319000000000.0
95,272639510000.0,309000000000.0
96,266918350000.0,299000000000.0
97,263134360000.0,295000000000.0
98,263271650000.0,307000000000.0
99,269357610000.0,296000000000.0
100,263421970000.0,309000000000.0
101,268668550000.0,303000000000.0
102,266132830000.0,290000000000.0
103,261409360000.0,279000000000.0
104,257887940000.0,289000000000.0
105,262479600000.0,270000000000.0
106,251846440000.0,243000000000.0
107,239877390000.0,266000000000.0
108,252266300000.0,239000000000.0
109,238901990000.0,249999999999.99997
110,246172160000.0,233000000000.0
111,240446160000.0,230999999999.99997
112,238234040000.0,218000000000.0
113,232684620000.0,218000000000.0
114,231905920000.0,243000000000.0
115,243149050000.0,249999999999.99997
116,245022650000.0,258000000000.0
117,248278580000.0,251000000000.0
118,244546000000.0,260000000000.0
119,249692300000.0,254000000000.0
120,247068400000.0,170000000000.0
121,240726440000.0,180000000000.0
122,246632810000.0,175000000000.0
123,243958270000.0,192000000000.0
124,254072160000.0,185999999999.99997
125,249829690000.0,194000000000.0
126,252676500000.0,192000000000.0
127,252385230000.0,191000000000.0
128,251376940000.0,202000000000.0
129,258088810000.0,194000000000.0
130,254341790000.0,198000000000.0
131,257417350000.0,199000000000.0
132,258533880000.0,197000000000.00003
133,256003880000.0,185000000000.0
134,250832100000.0,199000000000.0
135,256952420000.0,197000000000.00003
136,256221870000.0,196000000000.0
137,255356010000.0,200999999999.99997
138,256844230000.0,196000000000.0
139,254318850000.0,200999999999.99997
140,256830600000.0,199000000000.0
141,256148960000.0,190000000000.0
142,243590370000.0,200000000000.0
143,247118000000.0,195000000000.0
144,245162440000.0,194000000000.0
145,244374910000.0,197000000000.00003
146,245433340000.0,199000000000.0
147,246276540000.0,194000000000.0
148,243888500000.0,199000000000.0
149,246584050000.0,196000000000.0
150,246009950000.0,197000000000.00003
151,246819440000.0,200000000000.0
152,248609110000.0,202000000000.0
153,249779770000.0,204000000000.0
154,249240580000.0,202000000000.0
155,248516210000.0,199000000000.0
156,247042670000.0,204999999999.99997
157,248894440000.0,202000000000.0
158,248623900000.0,212000000000.00003
159,252953230000.0,203000000000.0
160,249050300000.0,212000000000.00003
161,254798280000.0,209000000000.0
162,251431760000.0,215000000000.0
163,254820450000.0,215999999999.99997
164,255486600000.0,222000000000.0
165,257921220000.0,226000000000.0
166,261437720000.0,224000000000.0
167,259083450000.0,221000000000.0
168,257240270000.0,226000000000.0
169,260401050000.0,211000000000.0
170,255312700000.0,215000000000.0
171,255640100000.0,213000000000.0
172,253980360000.0,222000000000.0
173,259142100000.0,215999999999.99997
174,254954770000.0,217000000000.0
175,255346520000.0,210000000000.0
176,255570890000.0,208000000000.00003
177,252392850000.0,219999999999.99997
178,258680210000.0,207000000000.0
179,252836280000.0,207000000000.0
180,252517480000.0,207000000000.0
181,254690210000.0,214000000000.0
182,249138840000.0,213000000000.0
183,,254000000000.0
184,279118220000.0,253000000000.00003
185,278603600000.0,256000000000.0
186,279398900000.0,253000000000.00003
187,280914300000.0,259000000000.0
188,283445040000.0,252000000000.0
189,281424630000.0,248000000000.0
190,279705100000.0,258000000000.0
191,285133670000.0,259000000000.0
192,286646800000.0,268000000000.00003
193,291528300000.0,255000000000.0
194,284176320000.0,254000000000.0
195,283248360000.0,258000000000.0
196,285077400000.0,267000000000.0
197,290705080000.0,270000000000.0
198,293249220000.0,266000000000.0
199,290646850000.0,257000000000.00003
200,286812500000.0,255000000000.0
201,283553630000.0,262000000000.0
202,288051300000.0,259000000000.0
203,286487380000.0,255000000000.0
204,284447100000.0,251000000000.0
205,283557270000.0,253000000000.00003
206,284610720000.0,253000000000.00003
207,285317070000.0,267000000000.0
208,292633870000.0,272000000000.00003
209,295141180000.0,269000000000.0
210,293532960000.0,272000000000.00003
211,295658750000.0,270000000000.0
212,294735220000.0,276000000000.0
213,298214360000.0,274000000000.0
214,296977700000.0,267000000000.0
215,293282970000.0,271000000000.0
216,294416320000.0,263000000000.0
217,290426650000.0,260999999999.99997
218,289585000000.0,274000000000.0
219,296159900000.0,275000000000.0
220,298182080000.0,275000000000.0
221,297378300000.0,280000000000.0
222,299930940000.0,270000000000.0
223,294423070000.0,277000000000.0
224,300578180000.0,283000000000.0
225,304354620000.0,269000000000.0
226,296870480000.0,286000000000.0
227,308046330000.0,277000000000.0
228,303669500000.0,279000000000.0
229,305720520000.0,273000000000.0
230,302799260000.0,273000000000.0
231,299277700000.0,279000000000.0
232,302391800000.0,268000000000.00003
233,295601340000.0,267000000000.0
234,295751000000.0,269000000000.0
235,295534720000.0,264999999999.99997
236,294210470000.0,266000000000.0
237,294474150000.0,278000000000.0
238,302277330000.0,271000000000.0
239,301152440000.0,267000000000.0
240,297972330000.0,260999999999.99997
241,293003430000.0,255000000000.0
242,289575340000.0,264999999999.99997
243,295678540000.0,271000000000.0
244,298610430000.0,264999999999.99997
245,293752270000.0,266000000000.0
246,294079900000.0,262000000000.0
247,294002230000.0,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
