word,frequency
the,465
to,332
and,288
a,220
of,193
in,176
i,159
you,149
that,115
we,106
be,87
have,86
it,84
is,81
for,72
what,69
not,69
going,68
biden:,61
but,59
they,54
was,53
if,53
on,51
do,50
people,49
with,43
it's,43
as,42
from,41
are,41
this,40
he,38
my,38
get,37
so,37
by,37
president,35
able,34
or,34
about,33
i'm,33
can,32
all,31
we're,31
when,30
there's,30
out,29
go,29
one,29
your,29
who,29
that's,28
you're,28
how,27
think,27
should,26
don't,26
got,25
things,25
because,24
would,24
make,24
had,23
up,23
more,23
there,22
at,22
where,21
will,21
our,20
it.,20
an,20
"say,",20
they're,20
didn't,18
lot,18
number,18
every,18
has,18
first,17
them,17
being,17
been,17
right,17
like,16
just,16
"so,",15
"now,",15
down,15
what's,15
now,15
million,15
me,15
making,14
say,14
than,14
tax,14
were,13
"that,",13
take,13
time,13
their,13
sure,13
"said,",13
know,12
way,12
trump,12
said,12
into,12
very,12
can't,12
same,12
black,12
"president,",11
those,11
then,11
these,11
"is,",11
no,11
well,10
school,10
need,10
i've,10
"example,",10
really,10
thing,10
"you,",10
made,10
did,9
doing,9
could,9
went,9
provide,9
come,9
some,9
united,9
everything,9
state,9
new,9
another,9
change,9
deal,9
any,9
much,9
vote,9
see,9
other,9
fact,8
back,8
that.,8
long,8
he's,8
his,8
open,8
happened,8
i'd,8
there.,8
between,8
"look,",8
four,8
us,8
which,8
last,8
billion,8
let,8
great,8
believe,8
"well,",8
home,8
we've,8
world,8
carbon,8
never,7
came,7
took,7
"no,",7
plan,7
most,7
money,7
many,7
"way,",7
"know,",7
states,7
want,7
through,7
three,7
actually,7
whether,7
doesn't,7
here,7
i'll,7
year,7
one.,7
coming,7
young,7
two,7
crime,7
find,7
energy,7
you.,6
hold,6
addition,6
him,6
even,6
on.,6
point,6
still,6
things.,6
end,6
laid,6
'cyou,6
"to,",6
"do,",6
kind,6
dollars,6
government,6
question,6
she,6
gone,6
talking,6
me.,6
"two,",6
under,6
own,6
old,6
republican,6
eight,6
also,6
move,6
only,6
law,6
community,6
after,6
well.,5
set,5
within,5
vice,5
best,5
"home,",5
wrote,5
"this,",5
passed,5
"people,",5
"'cwell,",5
"fact,",5
down.,5
help,5
significant,5
mean,5
around,5
vaccine,5
answer,5
getting,5
save,5
you'll,5
hope,5
over,5
exact,5
good,5
reason,5
billion.,5
put,5
america,5
bring,5
ourselves,5
constitution,5
election,5
justice,5
wealth.,5
"school,",5
terms,5
drug,5
billions,5
man,5
off,5
this.,5
called,5
bill,5
guy,5
time.,5
cops,5
court,5
hear,5
cancer,5
moved,5
"all,",4
thought,4
"saying,",4
serious,4
learned,4
business,4
kept,4
saying,4
away,4
wearing,4
instead,4
remember,4
done,4
unless,4
schools,4
trillion,4
"country,",4
six,4
ever,4
house,4
together.,4
"schools,",4
happening,4
senator,4
situation,4
talks,4
until,4
next,4
depending,4
depends,4
mask.,4
everybody,4
out.,4
"me,",4
before,4
major,4
university,4
cuts,4
single,4
raise,4
"jobs,",4
whatever,4
friends,4
votes,4
general,4
humphrey:,4
system,4
women,4
position,4
happens,4
years,4
use,4
less,4
home.,4
involved,4
tell,4
"delaware,",4
behind,4
"remember,",4
they'd,4
already,4
rights,4
biden,4
working,4
world.,4
better,4
transgender,4
was.,3
beginning,3
"administration,",3
office,3
white,3
asked,3
problem.,3
piece,3
'cthis,3
denied,3
start,3
institute,3
"time,",3
science,3
"on,",3
started,3
national,3
needed,3
"view,",3
talked,3
allow,3
businesses,3
stay,3
"money,",3
off.,3
lock,3
why,3
social,3
"again,",3
"out,",3
wasn't,3
exactly,3
create,3
scientists,3
"year,",3
everyone,3
work.,3
"500,000",3
real,3
giving,3
thing.,3
figure,3
problem,3
ability,3
yet,3
american,3
others,3
"about,",3
',3
wear,3
local,3
folks,3
left,3
studies,3
estimated,3
reduced,3
corporate,3
solitary,3
act.,3
goes,3
invest,3
life,3
send,3
"years,",3
"trump,",3
moves.,3
do.,3
may,3
growing,3
electric,3
"days,",3
international,3
including,3
10%,3
executive,3
ensure,3
shall,3
center,3
look,3
won't,3
determine,3
dealing,3
americans,3
federal,3
background,3
small,3
$30,3
little,3
him.,3
became,3
against,3
happened?,3
'cno.',3
"bill,",3
voted,3
across,3
turned,3
good.,3
jail,3
anybody,3
second,3
before.,3
"policing,",3
"elected,",3
violent,3
late,3
call,3
something,3
high,3
police,3
"community,",3
handle,3
supreme,3
work,3
thinks,3
constitutional,3
who's,3
is.,3
makeup,3
be.,3
day,3
"mean,",3
stand,3
foreign,3
another.,3
infrastructure,3
elected,3
relating,3
department,3
represent,3
