Year,Month,Day,Day_num,Last_day_value,Today_value
2015,1,2015/1/5,42009 ,,-464.5798581
2015,1,2015/1/6,42010 ,-464.5798581,-469.069098
2015,1,2015/1/7,42011 ,-469.069098,-473.9310867
2015,1,2015/1/8,42012 ,-473.9310867,-474.9822079
2015,1,2015/1/9,42013 ,-474.9822079,-476.5124469
2015,1,2015/1/12,42016 ,-476.5124469,-480.5853208
2015,1,2015/1/13,42017 ,-480.5853208,-482.1518404
2015,1,2015/1/14,42018 ,-482.1518404,-483.9680885
2015,1,2015/1/15,42019 ,-483.9680885,-481.0755794
2015,1,2015/1/16,42020 ,-481.0755794,-480.8789146
2015,1,2015/1/19,42023 ,-480.8789146,-491.958221
2015,1,2015/1/20,42024 ,-491.958221,-489.3019664
2015,1,2015/1/21,42025 ,-489.3019664,-484.753836
2015,1,2015/1/22,42026 ,-484.753836,-485.9214246
2015,1,2015/1/23,42027 ,-485.9214246,-486.3198302
2015,1,2015/1/26,42030 ,-486.3198302,-484.3286515
2015,1,2015/1/27,42031 ,-484.3286515,-486.9967413
2015,1,2015/1/28,42032 ,-486.9967413,-489.823047
2015,1,2015/1/29,42033 ,-489.823047,-491.2578307
2015,1,2015/1/30,42034 ,-491.2578307,-490.2018959
2015,2,2015/2/2,42037 ,-490.2018959,-492.623811
2015,2,2015/2/3,42038 ,-492.623811,-488.9952733
2015,2,2015/2/4,42039 ,-488.9952733,-490.042882
2015,2,2015/2/5,42040 ,-490.042882,-493.2985317
2015,2,2015/2/6,42041 ,-493.2985317,-493.0294046
2015,2,2015/2/9,42044 ,-493.0294046,-483.1784866
2015,2,2015/2/10,42045 ,-483.1784866,-484.4787705
2015,2,2015/2/11,42046 ,-484.4787705,-484.2293352
2015,2,2015/2/12,42047 ,-484.2293352,-483.7191759
2015,2,2015/2/13,42048 ,-483.7191759,-484.7680958
2015,2,2015/2/16,42051 ,-484.7680958,-483.9140481
2015,2,2015/2/17,42052 ,-483.9140481,-485.0803384
2015,2,2015/2/25,42060 ,-485.0803384,-483.5492918
2015,2,2015/2/26,42061 ,-483.5492918,-480.649034
2015,2,2015/2/27,42062 ,-480.649034,-476.2075245
2015,3,2015/3/2,42065 ,-476.2075245,-476.5904821
2015,3,2015/3/3,42066 ,-476.5904821,-481.4524905
2015,3,2015/3/4,42067 ,-481.4524905,-480.077724
2015,3,2015/3/5,42068 ,-480.077724,-481.8060506
2015,3,2015/3/6,42069 ,-481.8060506,-483.7199598
2015,3,2015/3/9,42072 ,-483.7199598,-475.6620869
