Day,Year,Month,Day_num,Last_day_value,Today_value
2015/1/5,2015,1,42009,,-464.5798581
2015/1/6,2015,1,42010,,-469.06909800000005
2015/1/7,2015,1,42011,,-473.9310867
2015/1/8,2015,1,42012,,-474.9822079
2015/1/9,2015,1,42013,,-476.51244689999993
2015/1/12,2015,1,42016,,-480.58532080000003
2015/1/13,2015,1,42017,,-482.1518404
2015/1/14,2015,1,42018,,-483.96808849999996
2015/1/15,2015,1,42019,,-481.0755794
2015/1/16,2015,1,42020,,-480.8789146000001
2015/1/19,2015,1,42023,,-491.958221
2015/1/20,2015,1,42024,,-489.30196639999997
2015/1/21,2015,1,42025,,-484.75383600000004
2015/1/22,2015,1,42026,,-485.9214246
2015/1/23,2015,1,42027,,-486.3198302
2015/1/26,2015,1,42030,,-484.3286515
2015/1/27,2015,1,42031,,-486.9967413
2015/1/28,2015,1,42032,,-489.823047
2015/1/29,2015,1,42033,,-491.2578307
2015/1/30,2015,1,42034,,-490.20189589999995
2015/2/2,2015,2,42037,,-492.62381100000005
2015/2/3,2015,2,42038,,-488.9952733
2015/2/4,2015,2,42039,,-490.042882
2015/2/5,2015,2,42040,,-493.29853169999996
2015/2/6,2015,2,42041,,-493.0294046
2015/2/9,2015,2,42044,,-483.17848660000004
2015/2/10,2015,2,42045,,-484.4787705
2015/2/11,2015,2,42046,,-484.2293352
2015/2/12,2015,2,42047,,-483.7191759
2015/2/13,2015,2,42048,,-484.7680958000001
2015/2/16,2015,2,42051,,-483.91404810000006
2015/2/17,2015,2,42052,,-485.08033839999996
2015/2/25,2015,2,42060,,-483.54929180000005
2015/2/26,2015,2,42061,,-480.649034
2015/2/27,2015,2,42062,,-476.20752450000003
2015/3/2,2015,3,42065,,-476.59048210000003
2015/3/3,2015,3,42066,,-481.4524905
2015/3/4,2015,3,42067,,-480.07772400000005
2015/3/5,2015,3,42068,,-481.8060506
2015/3/6,2015,3,42069,,-483.7199598
2015/3/9,2015,3,42072,,-475.6620869
2015/3/10,2015,3,42073,,-479.40580159999996
2015/3/11,2015,3,42074,,-475.3550546
2015/3/12,2015,3,42075,,-474.42680199999995
2015/3/13,2015,3,42076,,-477.21496210000004
2015/3/16,2015,3,42079,,-473.0761041999999
2015/3/17,2015,3,42080,,-469.78614100000004
2015/3/18,2015,3,42081,,-466.96328339999997
2015/3/19,2015,3,42082,,-471.2252607
2015/3/20,2015,3,42083,,-473.2482727
2015/3/23,2015,3,42086,,-471.2043642
2015/3/24,2015,3,42087,,-470.4470518
2015/3/25,2015,3,42088,,-473.21109850000005
2015/3/26,2015,3,42089,,-466.9953716
2015/3/27,2015,3,42090,,-471.06637530000006
2015/3/30,2015,3,42093,,-468.7273773
2015/3/31,2015,3,42094,,-469.7066161
2015/4/1,2015,4,42095,,-470.06718550000005
2015/4/2,2015,4,42096,,-470.8922173
2015/4/3,2015,4,42097,,-468.67017689999994
2015/4/7,2015,4,42101,,-465.25757639999995
2015/4/8,2015,4,42102,,-461.17638200000005
2015/4/9,2015,4,42103,,-466.0285027
2015/4/10,2015,4,42104,,-465.5642361000001
2015/4/13,2015,4,42107,,-461.80621569999994
2015/4/14,2015,4,42108,,-459.5289578
2015/4/15,2015,4,42109,,-460.17119610000003
2015/4/16,2015,4,42110,,-439.0180153
2015/4/17,2015,4,42111,,-432.9410821000001
2015/4/20,2015,4,42114,,-431.8325444
2015/4/21,2015,4,42115,,-407.86726580000004
2015/4/22,2015,4,42116,,-401.4301999
2015/4/23,2015,4,42117,,-409.3415508
2015/4/24,2015,4,42118,,-407.1861652
2015/4/27,2015,4,42121,,-409.7361323
2015/4/28,2015,4,42122,,-417.2009903
2015/4/29,2015,4,42123,,-415.39162339999996
2015/4/30,2015,4,42124,,-412.19094010000003
2015/5/4,2015,5,42128,,-409.9953736
2015/5/5,2015,5,42129,,-424.2439136
2015/5/6,2015,5,42130,,-422.76425250000005
2015/5/7,2015,5,42131,,-420.7960652
2015/5/8,2015,5,42132,,-411.44415739999994
2015/5/11,2015,5,42135,,-407.9871809
2015/5/12,2015,5,42136,,-411.0722579
2015/5/13,2015,5,42137,,-409.0205227
2015/5/14,2015,5,42138,,-414.116307
2015/5/15,2015,5,42139,,-420.4836443
2015/5/18,2015,5,42142,,-424.13473650000003
2015/5/19,2015,5,42143,,-415.092963
2015/5/20,2015,5,42144,,-411.1724631
2015/5/21,2015,5,42145,,-405.9956807
2015/5/22,2015,5,42146,,-388.7030445
2015/5/25,2015,5,42149,,-377.47448149999997
2015/5/26,2015,5,42150,,-378.3869329
2015/5/27,2015,5,42151,,-386.9753648
2015/5/28,2015,5,42152,,-403.6541482
2015/5/29,2015,5,42153,,-401.0808978
2015/6/1,2015,6,42156,,-392.759205
2015/6/2,2015,6,42157,,-397.26851600000003
2015/6/3,2015,6,42158,,-400.975888
2015/6/4,2015,6,42159,,-406.0294965
2015/6/5,2015,6,42160,,-409.9566732
2015/6/8,2015,6,42163,,-399.0358485
2015/6/9,2015,6,42164,,-404.6922466
2015/6/10,2015,6,42165,,-404.02114680000005
2015/6/11,2015,6,42166,,-405.01354460000005
2015/6/12,2015,6,42167,,-398.5262653
2015/6/15,2015,6,42170,,-403.4409221
2015/6/16,2015,6,42171,,-410.944289
2015/6/17,2015,6,42172,,-409.5370848
2015/6/18,2015,6,42173,,-422.7264897
2015/6/19,2015,6,42174,,-432.0202024
2015/6/23,2015,6,42178,,-414.5484419
2015/6/24,2015,6,42179,,-404.9398275
2015/6/25,2015,6,42180,,-414.3147738
2015/6/26,2015,6,42181,,-424.4925805
2015/6/29,2015,6,42184,,-420.0684206
2015/6/30,2015,6,42185,,-408.64842430000004
2015/7/1,2015,7,42186,-447.8256636741669,-409.4951893
2015/7/2,2015,7,42187,-447.3525974325002,-407.8119091
2015/7/3,2015,7,42188,-446.93518938583355,-418.98013239999995
2015/7/6,2015,7,42191,-446.4412095416668,-414.6535054
2015/7/7,2015,7,42192,-446.0234596633335,-424.8522225
2015/7/8,2015,7,42193,-445.6598236216668,-432.87612189999993
2015/7/9,2015,7,42194,-445.08103005000015,-411.1300922
2015/7/10,2015,7,42195,-444.4179107533335,-402.5775248
2015/7/13,2015,7,42198,-443.79944808416684,-409.7525682
2015/7/14,2015,7,42199,-443.28024190250017,-418.7708376
