Year,Month,Day,Day_num,Last_day_value,Today_value
2015,1,2015/1/5,42009,,16203
2015,1,2015/1/6,42010,16203,16203
2015,1,2015/1/7,42011,16203,16203
2015,1,2015/1/8,42012,16203,16203
2015,1,2015/1/9,42013,16203,16203
2015,1,2015/1/12,42016,16203,16203
2015,1,2015/1/13,42017,16203,16203
2015,1,2015/1/14,42018,16203,16203
2015,1,2015/1/15,42019,16203,16203
2015,1,2015/1/16,42020,16203,16203
2015,1,2015/1/19,42023,16203,16203
2015,1,2015/1/20,42024,16203,16203
2015,1,2015/1/21,42025,16203,16203
2015,1,2015/1/22,42026,16203,16203
2015,1,2015/1/23,42027,16203,16203
2015,1,2015/1/26,42030,16203,16203
2015,1,2015/1/27,42031,16203,16203
2015,1,2015/1/28,42032,16203,16203
2015,1,2015/1/29,42033,16203,16203
2015,1,2015/1/30,42034,16203,16203
2015,2,2015/2/2,42037,16203,9513
2015,2,2015/2/3,42038,9513,9513
2015,2,2015/2/4,42039,9513,9513
2015,2,2015/2/5,42040,9513,9513
2015,2,2015/2/6,42041,9513,9513
2015,2,2015/2/9,42044,9513,9513
2015,2,2015/2/10,42045,9513,9513
2015,2,2015/2/11,42046,9513,9513
2015,2,2015/2/12,42047,9513,9513
2015,2,2015/2/13,42048,9513,9513
2015,2,2015/2/16,42051,9513,9513
2015,2,2015/2/17,42052,9513,9513
2015,2,2015/2/25,42060,9513,9513
2015,2,2015/2/26,42061,9513,9513
2015,2,2015/2/27,42062,9513,9513
2015,3,2015/3/2,42065,9513,10691
2015,3,2015/3/3,42066,10691,10691
2015,3,2015/3/4,42067,10691,10691
2015,3,2015/3/5,42068,10691,10691
2015,3,2015/3/6,42069,10691,10691
2015,3,2015/3/9,42072,10691,10691
2015,3,2015/3/10,42073,10691,10691
2015,3,2015/3/11,42074,10691,10691
2015,3,2015/3/12,42075,10691,10691
2015,3,2015/3/13,42076,10691,10691
2015,3,2015/3/16,42079,10691,10691
2015,3,2015/3/17,42080,10691,10691
2015,3,2015/3/18,42081,10691,10691
2015,3,2015/3/19,42082,10691,10691
2015,3,2015/3/20,42083,10691,10691
2015,3,2015/3/23,42086,10691,10691
2015,3,2015/3/24,42087,10691,10691
2015,3,2015/3/25,42088,10691,10691
2015,3,2015/3/26,42089,10691,10691
2015,3,2015/3/27,42090,10691,10691
2015,3,2015/3/30,42093,10691,10691
2015,3,2015/3/31,42094,10691,10691
2015,4,2015/4/1,42095,10691,13502
2015,4,2015/4/2,42096,13502,13502
2015,4,2015/4/3,42097,13502,13502
2015,4,2015/4/7,42101,13502,13502
2015,4,2015/4/8,42102,13502,13502
2015,4,2015/4/9,42103,13502,13502
2015,4,2015/4/10,42104,13502,13502
2015,4,2015/4/13,42107,13502,13502
2015,4,2015/4/14,42108,13502,13502
2015,4,2015/4/15,42109,13502,13502
2015,4,2015/4/16,42110,13502,13502
2015,4,2015/4/17,42111,13502,13502
2015,4,2015/4/20,42114,13502,13502
2015,4,2015/4/21,42115,13502,13502
2015,4,2015/4/22,42116,13502,13502
2015,4,2015/4/23,42117,13502,13502
2015,4,2015/4/24,42118,13502,13502
2015,4,2015/4/27,42121,13502,13502
2015,4,2015/4/28,42122,13502,13502
2015,4,2015/4/29,42123,13502,13502
2015,4,2015/4/30,42124,13502,13502
2015,5,2015/5/4,42128,13502,14355
2015,5,2015/5/5,42129,14355,14355
2015,5,2015/5/6,42130,14355,14355
2015,5,2015/5/7,42131,14355,14355
2015,5,2015/5/8,42132,14355,14355
2015,5,2015/5/11,42135,14355,14355
2015,5,2015/5/12,42136,14355,14355
2015,5,2015/5/13,42137,14355,14355
2015,5,2015/5/14,42138,14355,14355
2015,5,2015/5/15,42139,14355,14355
2015,5,2015/5/18,42142,14355,14355
2015,5,2015/5/19,42143,14355,14355
2015,5,2015/5/20,42144,14355,14355
2015,5,2015/5/21,42145,14355,14355
2015,5,2015/5/22,42146,14355,14355
2015,5,2015/5/25,42149,14355,14355
2015,5,2015/5/26,42150,14355,14355
2015,5,2015/5/27,42151,14355,14355
2015,5,2015/5/28,42152,14355,14355
2015,5,2015/5/29,42153,14355,14355
2015,6,2015/6/1,42156,14355,15335
2015,6,2015/6/2,42157,15335,15335
2015,6,2015/6/3,42158,15335,15335
2015,6,2015/6/4,42159,15335,15335
2015,6,2015/6/5,42160,15335,15335
2015,6,2015/6/8,42163,15335,15335
2015,6,2015/6/9,42164,15335,15335
2015,6,2015/6/10,42165,15335,15335
2015,6,2015/6/11,42166,15335,15335
2015,6,2015/6/12,42167,15335,15335
2015,6,2015/6/15,42170,15335,15335
2015,6,2015/6/16,42171,15335,15335
2015,6,2015/6/17,42172,15335,15335
2015,6,2015/6/18,42173,15335,15335
2015,6,2015/6/19,42174,15335,15335
2015,6,2015/6/23,42178,15335,15335
2015,6,2015/6/24,42179,15335,15335
2015,6,2015/6/25,42180,15335,15335
2015,6,2015/6/26,42181,15335,15335
2015,6,2015/6/29,42184,15335,15335
2015,6,2015/6/30,42185,15335,15335
2015,7,2015/7/1,42186,15335,14249
2015,7,2015/7/2,42187,14249,14249
2015,7,2015/7/3,42188,14249,14249
2015,7,2015/7/6,42191,14249,14249
2015,7,2015/7/7,42192,14249,14249
2015,7,2015/7/8,42193,14249,14249
2015,7,2015/7/9,42194,14249,14249
2015,7,2015/7/10,42195,14249,14249
2015,7,2015/7/13,42198,14249,14249
2015,7,2015/7/14,42199,14249,14249
2015,7,2015/7/15,42200,14249,14249
2015,7,2015/7/16,42201,14249,14249
2015,7,2015/7/17,42202,14249,14249
2015,7,2015/7/20,42205,14249,14249
2015,7,2015/7/21,42206,14249,14249
2015,7,2015/7/22,42207,14249,14249
2015,7,2015/7/23,42208,14249,14249
2015,7,2015/7/24,42209,14249,14249
2015,7,2015/7/27,42212,14249,14249
2015,7,2015/7/28,42213,14249,14249
2015,7,2015/7/29,42214,14249,14249
2015,7,2015/7/30,42215,14249,14249
2015,7,2015/7/31,42216,14249,14249
2015,8,2015/8/3,42219,14249,9671
2015,8,2015/8/4,42220,9671,9671
2015,8,2015/8/5,42221,9671,9671
2015,8,2015/8/6,42222,9671,9671
2015,8,2015/8/7,42223,9671,9671
2015,8,2015/8/10,42226,9671,9671
2015,8,2015/8/11,42227,9671,9671
2015,8,2015/8/12,42228,9671,9671
2015,8,2015/8/13,42229,9671,9671
2015,8,2015/8/14,42230,9671,9671
2015,8,2015/8/17,42233,9671,9671
2015,8,2015/8/18,42234,9671,9671
2015,8,2015/8/19,42235,9671,9671
2015,8,2015/8/20,42236,9671,9671
2015,8,2015/8/21,42237,9671,9671
2015,8,2015/8/24,42240,9671,9671
2015,8,2015/8/25,42241,9671,9671
2015,8,2015/8/26,42242,9671,9671
2015,8,2015/8/27,42243,9671,9671
2015,8,2015/8/28,42244,9671,9671
2015,8,2015/8/31,42247,9671,9671
2015,9,2015/9/1,42248,9671,10892
2015,9,2015/9/2,42249,10892,10892
2015,9,2015/9/7,42254,10892,10892
2015,9,2015/9/8,42255,10892,10892
2015,9,2015/9/9,42256,10892,10892
2015,9,2015/9/10,42257,10892,10892
2015,9,2015/9/11,42258,10892,10892
2015,9,2015/9/14,42261,10892,10892
2015,9,2015/9/15,42262,10892,10892
2015,9,2015/9/16,42263,10892,10892
2015,9,2015/9/17,42264,10892,10892
2015,9,2015/9/18,42265,10892,10892
2015,9,2015/9/21,42268,10892,10892
2015,9,2015/9/22,42269,10892,10892
2015,9,2015/9/23,42270,10892,10892
2015,9,2015/9/24,42271,10892,10892
2015,9,2015/9/25,42272,10892,10892
2015,9,2015/9/28,42275,10892,10892
2015,9,2015/9/29,42276,10892,10892
2015,9,2015/9/30,42277,10892,10892
2015,10,2015/10/8,42285,10892,14435
2015,10,2015/10/9,42286,14435,14435
2015,10,2015/10/12,42289,14435,14435
2015,10,2015/10/13,42290,14435,14435
2015,10,2015/10/14,42291,14435,14435
2015,10,2015/10/15,42292,14435,14435
2015,10,2015/10/16,42293,14435,14435
2015,10,2015/10/19,42296,14435,14435
2015,10,2015/10/20,42297,14435,14435
2015,10,2015/10/21,42298,14435,14435
2015,10,2015/10/22,42299,14435,14435
2015,10,2015/10/23,42300,14435,14435
2015,10,2015/10/26,42303,14435,14435
2015,10,2015/10/27,42304,14435,14435
2015,10,2015/10/28,42305,14435,14435
2015,10,2015/10/29,42306,14435,14435
2015,10,2015/10/30,42307,14435,14435
2015,11,2015/11/2,42310,14435,11087
2015,11,2015/11/3,42311,11087,11087
2015,11,2015/11/4,42312,11087,11087
2015,11,2015/11/5,42313,11087,11087
2015,11,2015/11/6,42314,11087,11087
2015,11,2015/11/9,42317,11087,11087
2015,11,2015/11/10,42318,11087,11087
2015,11,2015/11/11,42319,11087,11087
2015,11,2015/11/12,42320,11087,11087
2015,11,2015/11/13,42321,11087,11087
2015,11,2015/11/16,42324,11087,11087
2015,11,2015/11/17,42325,11087,11087
2015,11,2015/11/18,42326,11087,11087
2015,11,2015/11/19,42327,11087,11087
2015,11,2015/11/20,42328,11087,11087
2015,11,2015/11/23,42331,11087,11087
2015,11,2015/11/24,42332,11087,11087
2015,11,2015/11/25,42333,11087,11087
2015,11,2015/11/26,42334,11087,11087
2015,11,2015/11/27,42335,11087,11087
2015,11,2015/11/30,42338,11087,11087
2015,12,2015/12/1,42339,11087,12282
2015,12,2015/12/2,42340,12282,12282
2015,12,2015/12/3,42341,12282,12282
2015,12,2015/12/4,42342,12282,12282
2015,12,2015/12/7,42345,12282,12282
2015,12,2015/12/8,42346,12282,12282
2015,12,2015/12/9,42347,12282,12282
2015,12,2015/12/10,42348,12282,12282
2015,12,2015/12/11,42349,12282,12282
2015,12,2015/12/14,42352,12282,12282
2015,12,2015/12/15,42353,12282,12282
2015,12,2015/12/16,42354,12282,12282
2015,12,2015/12/17,42355,12282,12282
2015,12,2015/12/18,42356,12282,12282
2015,12,2015/12/21,42359,12282,12282
2015,12,2015/12/22,42360,12282,12282
2015,12,2015/12/23,42361,12282,12282
2015,12,2015/12/24,42362,12282,12282
2015,12,2015/12/25,42363,12282,12282
2015,12,2015/12/28,42366,12282,12282
2015,12,2015/12/29,42367,12282,12282
2015,12,2015/12/30,42368,12282,12282
2015,12,2015/12/31,42369,12282,12282
2016,1,2016/1/4,42373,12282,17166
2016,1,2016/1/5,42374,17166,17166
2016,1,2016/1/6,42375,17166,17166
2016,1,2016/1/7,42376,17166,17166
2016,1,2016/1/8,42377,17166,17166
2016,1,2016/1/11,42380,17166,17166
2016,1,2016/1/12,42381,17166,17166
2016,1,2016/1/13,42382,17166,17166
2016,1,2016/1/14,42383,17166,17166
2016,1,2016/1/15,42384,17166,17166
2016,1,2016/1/18,42387,17166,17166
2016,1,2016/1/19,42388,17166,17166
2016,1,2016/1/20,42389,17166,17166
2016,1,2016/1/21,42390,17166,17166
2016,1,2016/1/22,42391,17166,17166
2016,1,2016/1/25,42394,17166,17166
2016,1,2016/1/26,42395,17166,17166
2016,1,2016/1/27,42396,17166,17166
2016,1,2016/1/28,42397,17166,17166
2016,1,2016/1/29,42398,17166,17166
2016,2,2016/2/1,42401,17166,10219
2016,2,2016/2/2,42402,10219,10219
2016,2,2016/2/3,42403,10219,10219
2016,2,2016/2/4,42404,10219,10219
2016,2,2016/2/5,42405,10219,10219
2016,2,2016/2/15,42415,10219,10219
2016,2,2016/2/16,42416,10219,10219
2016,2,2016/2/17,42417,10219,10219
2016,2,2016/2/18,42418,10219,10219
2016,2,2016/2/19,42419,10219,10219
2016,2,2016/2/22,42422,10219,10219
2016,2,2016/2/23,42423,10219,10219
2016,2,2016/2/24,42424,10219,10219
2016,2,2016/2/25,42425,10219,10219
2016,2,2016/2/26,42426,10219,10219
2016,2,2016/2/29,42429,10219,10219
2016,3,2016/3/1,42430,10219,11511
2016,3,2016/3/2,42431,11511,11511
2016,3,2016/3/3,42432,11511,11511
2016,3,2016/3/4,42433,11511,11511
2016,3,2016/3/7,42436,11511,11511
2016,3,2016/3/8,42437,11511,11511
2016,3,2016/3/9,42438,11511,11511
2016,3,2016/3/10,42439,11511,11511
2016,3,2016/3/11,42440,11511,11511
2016,3,2016/3/14,42443,11511,11511
2016,3,2016/3/15,42444,11511,11511
2016,3,2016/3/16,42445,11511,11511
2016,3,2016/3/17,42446,11511,11511
2016,3,2016/3/18,42447,11511,11511
2016,3,2016/3/21,42450,11511,11511
2016,3,2016/3/22,42451,11511,11511
2016,3,2016/3/23,42452,11511,11511
2016,3,2016/3/24,42453,11511,11511
2016,3,2016/3/25,42454,11511,11511
2016,3,2016/3/28,42457,11511,11511
2016,3,2016/3/29,42458,11511,11511
2016,3,2016/3/30,42459,11511,11511
2016,3,2016/3/31,42460,11511,11511
2016,4,2016/4/1,42461,11511,15523
2016,4,2016/4/5,42465,15523,15523
2016,4,2016/4/6,42466,15523,15523
2016,4,2016/4/7,42467,15523,15523
2016,4,2016/4/8,42468,15523,15523
2016,4,2016/4/11,42471,15523,15523
2016,4,2016/4/12,42472,15523,15523
2016,4,2016/4/13,42473,15523,15523
2016,4,2016/4/14,42474,15523,15523
2016,4,2016/4/15,42475,15523,15523
2016,4,2016/4/18,42478,15523,15523
2016,4,2016/4/19,42479,15523,15523
2016,4,2016/4/20,42480,15523,15523
2016,4,2016/4/21,42481,15523,15523
2016,4,2016/4/22,42482,15523,15523
2016,4,2016/4/25,42485,15523,15523
2016,4,2016/4/26,42486,15523,15523
2016,4,2016/4/27,42487,15523,15523
2016,4,2016/4/28,42488,15523,15523
2016,4,2016/4/29,42489,15523,15523
2016,5,2016/5/3,42493,15523,15461
2016,5,2016/5/4,42494,15461,15461
2016,5,2016/5/5,42495,15461,15461
2016,5,2016/5/6,42496,15461,15461
2016,5,2016/5/9,42499,15461,15461
2016,5,2016/5/10,42500,15461,15461
2016,5,2016/5/11,42501,15461,15461
2016,5,2016/5/12,42502,15461,15461
2016,5,2016/5/13,42503,15461,15461
2016,5,2016/5/16,42506,15461,15461
2016,5,2016/5/17,42507,15461,15461
2016,5,2016/5/18,42508,15461,15461
2016,5,2016/5/19,42509,15461,15461
2016,5,2016/5/20,42510,15461,15461
2016,5,2016/5/23,42513,15461,15461
2016,5,2016/5/24,42514,15461,15461
2016,5,2016/5/25,42515,15461,15461
2016,5,2016/5/26,42516,15461,15461
