Year,Month,Day,Day_num,Last_day_value,Today_value
2015,1,2015/1/5,42009,,451198098
2015,1,2015/1/6,42010,451198098,420962185
2015,1,2015/1/7,42011,420962185,320191232
2015,1,2015/1/8,42012,320191232,295003045
2015,1,2015/1/9,42013,295003045,349982672
2015,1,2015/1/12,42016,349982672,266567175
2015,1,2015/1/13,42017,266567175,187153965
2015,1,2015/1/14,42018,187153965,196012510
2015,1,2015/1/15,42019,196012510,237812338
2015,1,2015/1/16,42020,237812338,282681614
2015,1,2015/1/19,42023,282681614,329505275
2015,1,2015/1/20,42024,329505275,297843232
2015,1,2015/1/21,42025,297843232,337928210
2015,1,2015/1/22,42026,337928210,268853599
2015,1,2015/1/23,42027,268853599,280172172
2015,1,2015/1/26,42030,280172172,239766203
2015,1,2015/1/27,42031,239766203,287669179
2015,1,2015/1/28,42032,287669179,216220214
2015,1,2015/1/29,42033,216220214,211618860
2015,1,2015/1/30,42034,211618860,196479157
2015,2,2015/2/2,42037,196479157,195183699
2015,2,2015/2/3,42038,195183699,192846096
2015,2,2015/2/4,42039,192846096,191304349
2015,2,2015/2/5,42040,191304349,250430609
2015,2,2015/2/6,42041,250430609,192664186
2015,2,2015/2/9,42044,192664186,172353820
2015,2,2015/2/10,42045,172353820,159309088
2015,2,2015/2/11,42046,159309088,144613772
2015,2,2015/2/12,42047,144613772,156081691
2015,2,2015/2/13,42048,156081691,201089971
2015,2,2015/2/16,42051,201089971,165641343
2015,2,2015/2/17,42052,165641343,165328313
2015,2,2015/2/25,42060,165328313,165539351
2015,2,2015/2/26,42061,165539351,229328438
2015,2,2015/2/27,42062,229328438,222786438
2015,3,2015/3/2,42065,222786438,248176125
2015,3,2015/3/3,42066,248176125,261866489
2015,3,2015/3/4,42067,261866489,199663981
2015,3,2015/3/5,42068,199663981,217508805
2015,3,2015/3/6,42069,217508805,181518054
2015,3,2015/3/9,42072,181518054,233940411
2015,3,2015/3/10,42073,233940411,194267657
2015,3,2015/3/11,42074,194267657,188947825
2015,3,2015/3/12,42075,188947825,265664625
2015,3,2015/3/13,42076,265664625,246864768
2015,3,2015/3/16,42079,246864768,275438307
2015,3,2015/3/17,42080,275438307,371625666
2015,3,2015/3/18,42081,371625666,415190011
2015,3,2015/3/19,42082,415190011,391547630
2015,3,2015/3/20,42083,391547630,401817552
2015,3,2015/3/23,42086,401817552,391119922
2015,3,2015/3/24,42087,391119922,468581312
2015,3,2015/3/25,42088,468581312,379968851
2015,3,2015/3/26,42089,379968851,346756315
2015,3,2015/3/27,42090,346756315,298756064
2015,3,2015/3/30,42093,298756064,428297020
2015,3,2015/3/31,42094,428297020,436065635
2015,4,2015/4/1,42095,436065635,329512853
2015,4,2015/4/2,42096,329512853,339070487
2015,4,2015/4/3,42097,339070487,321303766
2015,4,2015/4/7,42101,321303766,415362654
2015,4,2015/4/8,42102,415362654,458676715
2015,4,2015/4/9,42103,458676715,439699902
2015,4,2015/4/10,42104,439699902,348190170
2015,4,2015/4/13,42107,348190170,434153036
2015,4,2015/4/14,42108,434153036,434432126
2015,4,2015/4/15,42109,434432126,472154131
2015,4,2015/4/16,42110,472154131,422603748
2015,4,2015/4/17,42111,422603748,552802663
2015,4,2015/4/20,42114,552802663,686439075
2015,4,2015/4/21,42115,686439075,490314991
2015,4,2015/4/22,42116,490314991,516213792
2015,4,2015/4/23,42117,516213792,497430954
2015,4,2015/4/24,42118,497430954,480152936
2015,4,2015/4/27,42121,480152936,513076548
2015,4,2015/4/28,42122,513076548,608638545
2015,4,2015/4/29,42123,608638545,395056980
2015,4,2015/4/30,42124,395056980,399727444
2015,5,2015/5/4,42128,399727444,377843853
2015,5,2015/5/5,42129,377843853,460419626
2015,5,2015/5/6,42130,460419626,376073702
2015,5,2015/5/7,42131,376073702,297759203
2015,5,2015/5/8,42132,297759203,302407967
2015,5,2015/5/11,42135,302407967,373838420
2015,5,2015/5/12,42136,373838420,377053891
2015,5,2015/5/13,42137,377053891,370730424
2015,5,2015/5/14,42138,370730424,337725152
2015,5,2015/5/15,42139,337725152,328431166
2015,5,2015/5/18,42142,328431166,269180489
2015,5,2015/5/19,42143,269180489,314785952
2015,5,2015/5/20,42144,314785952,363180748
2015,5,2015/5/21,42145,363180748,305054537
2015,5,2015/5/22,42146,305054537,455846718
2015,5,2015/5/25,42149,455846718,465736590
2015,5,2015/5/26,42150,465736590,487949359
2015,5,2015/5/27,42151,487949359,470798730
2015,5,2015/5/28,42152,470798730,571829047
2015,5,2015/5/29,42153,571829047,427878859
2015,6,2015/6/1,42156,427878859,417503741
2015,6,2015/6/2,42157,417503741,412973196
2015,6,2015/6/3,42158,412973196,414258270
2015,6,2015/6/4,42159,414258270,482767268
2015,6,2015/6/5,42160,482767268,545961196
2015,6,2015/6/8,42163,545961196,637313237
2015,6,2015/6/9,42164,637313237,570427263
2015,6,2015/6/10,42165,570427263,442165676
2015,6,2015/6/11,42166,442165676,392338755
2015,6,2015/6/12,42167,392338755,430131386
2015,6,2015/6/15,42170,430131386,475745703
2015,6,2015/6/16,42171,475745703,411675638
2015,6,2015/6/17,42172,411675638,397124187
2015,6,2015/6/18,42173,397124187,364395814
2015,6,2015/6/19,42174,364395814,358104744
2015,6,2015/6/23,42178,358104744,365087944
2015,6,2015/6/24,42179,365087944,434638723
2015,6,2015/6/25,42180,434638723,446135982
2015,6,2015/6/26,42181,446135982,446639790
2015,6,2015/6/29,42184,446639790,525662482
2015,6,2015/6/30,42185,525662482,527045280
2015,7,2015/7/1,42186,527045280,431721411
2015,7,2015/7/2,42187,431721411,457062194
2015,7,2015/7/3,42188,457062194,429300850
2015,7,2015/7/6,42191,429300850,648094530
2015,7,2015/7/7,42192,648094530,679385007
2015,7,2015/7/8,42193,679385007,581467097
2015,7,2015/7/9,42194,581467097,503870610
2015,7,2015/7/10,42195,503870610,500701802
2015,7,2015/7/13,42198,500701802,502092186
2015,7,2015/7/14,42199,502092186,454422009
2015,7,2015/7/15,42200,454422009,421956367
2015,7,2015/7/16,42201,421956367,330531345
2015,7,2015/7/17,42202,330531345,331107131
2015,7,2015/7/20,42205,331107131,352673472
2015,7,2015/7/21,42206,352673472,318374945
2015,7,2015/7/22,42207,318374945,318945997
2015,7,2015/7/23,42208,318945997,354471759
2015,7,2015/7/24,42209,354471759,392045373
2015,7,2015/7/27,42212,392045373,365054511
2015,7,2015/7/28,42213,365054511,383527216
2015,7,2015/7/29,42214,383527216,276972845
2015,7,2015/7/30,42215,276972845,271548665
2015,7,2015/7/31,42216,271548665,222376767
