Year,Month,Day,C,I,G,NX,American_GDP,GDP
2015,1,2015/1/5,-464.5798581,451198098,16203,601,2.68E+11,2.64E+11
2015,1,2015/1/6,-469.069098,420962185,16203,601,2.65E+11,2.71E+11
2015,1,2015/1/7,-473.9310867,320191232,16203,601,2.68E+11,2.72E+11
2015,1,2015/1/8,-474.9822079,295003045,16203,601,2.67E+11,2.65E+11
2015,1,2015/1/9,-476.5124469,349982672,16203,601,2.65E+11,2.64E+11
2015,1,2015/1/12,-480.5853208,266567175,16203,601,2.62E+11,2.52E+11
2015,1,2015/1/13,-482.1518404,187153965,16203,601,2.70E+11,2.67E+11
2015,1,2015/1/14,-483.9680885,196012510,16203,601,2.64E+11,2.51E+11
2015,1,2015/1/15,-481.0755794,237812338,16203,601,2.63E+11,2.61E+11
2015,1,2015/1/16,-480.8789146,282681614,16203,601,2.63E+11,2.72E+11
2015,1,2015/1/19,-491.958221,329505275,16203,601,2.63E+11,2.40E+11
2015,1,2015/1/20,-489.3019664,297843232,16203,601,2.58E+11,2.47E+11
2015,1,2015/1/21,-484.753836,337928210,16203,601,2.70E+11,2.63E+11
2015,1,2015/1/22,-485.9214246,268853599,16203,601,2.60E+11,2.65E+11
2015,1,2015/1/23,-486.3198302,280172172,16203,601,2.64E+11,2.71E+11
2015,1,2015/1/26,-484.3286515,239766203,16203,601,2.70E+11,2.69E+11
2015,1,2015/1/27,-486.9967413,287669179,16203,601,2.68E+11,2.65E+11
2015,1,2015/1/28,-489.823047,216220214,16203,601,2.53E+11,2.57E+11
2015,1,2015/1/29,-491.2578307,211618860,16203,601,2.58E+11,2.63E+11
2015,1,2015/1/30,-490.2018959,196479157,16203,601,2.62E+11,2.52E+11
2015,2,2015/2/2,-492.623811,195183699,9513,606,2.68E+11,2.45E+11
2015,2,2015/2/3,-488.9952733,192846096,9513,606,2.66E+11,2.58E+11
2015,2,2015/2/4,-490.042882,191304349,9513,606,2.64E+11,2.56E+11
2015,2,2015/2/5,-493.2985317,250430609,9513,606,2.69E+11,2.55E+11
2015,2,2015/2/6,-493.0294046,192664186,9513,606,2.65E+11,2.42E+11
2015,2,2015/2/9,-483.1784866,172353820,9513,606,2.72E+11,2.44E+11
2015,2,2015/2/10,-484.4787705,159309088,9513,606,2.67E+11,2.57E+11
2015,2,2015/2/11,-484.2293352,144613772,9513,606,2.68E+11,2.55E+11
2015,2,2015/2/12,-483.7191759,156081691,9513,606,2.73E+11,2.52E+11
2015,2,2015/2/13,-484.7680958,201089971,9513,606,2.71E+11,2.61E+11
2015,2,2015/2/16,-483.9140481,165641343,9513,606,2.71E+11,2.55E+11
2015,2,2015/2/17,-485.0803384,165328313,9513,606,2.77E+11,2.65E+11
2015,2,2015/2/25,-483.5492918,165539351,9513,606,2.72E+11,2.51E+11
2015,2,2015/2/26,-480.649034,229328438,9513,606,2.81E+11,2.69E+11
2015,2,2015/2/27,-476.2075245,222786438,9513,606,2.80E+11,2.57E+11
2015,3,2015/3/2,-476.5904821,248176125,10691,31,2.68E+11,2.59E+11
2015,3,2015/3/3,-481.4524905,261866489,10691,31,2.68E+11,2.52E+11
2015,3,2015/3/4,-480.077724,199663981,10691,31,2.72E+11,2.53E+11
2015,3,2015/3/5,-481.8060506,217508805,10691,31,2.65E+11,2.61E+11
2015,3,2015/3/6,-483.7199598,181518054,10691,31,2.75E+11,2.50E+11
2015,3,2015/3/9,-475.6620869,233940411,10691,31,2.76E+11,2.65E+11
2015,3,2015/3/10,-479.4058016,194267657,10691,31,2.58E+11,2.53E+11
2015,3,2015/3/11,-475.3550546,188947825,10691,31,2.66E+11,2.64E+11
2015,3,2015/3/12,-474.426802,265664625,10691,31,2.70E+11,2.59E+11
2015,3,2015/3/13,-477.2149621,246864768,10691,31,2.66E+11,2.69E+11
2015,3,2015/3/16,-473.0761042,275438307,10691,31,2.62E+11,2.71E+11
2015,3,2015/3/17,-469.786141,371625666,10691,31,2.61E+11,2.83E+11
2015,3,2015/3/18,-466.9632834,415190011,10691,31,2.71E+11,2.88E+11
2015,3,2015/3/19,-471.2252607,391547630,10691,31,2.64E+11,2.83E+11
2015,3,2015/3/20,-473.2482727,401817552,10691,31,2.76E+11,2.82E+11
2015,3,2015/3/23,-471.2043642,391119922,10691,31,2.78E+11,2.95E+11
2015,3,2015/3/24,-470.4470518,468581312,10691,31,2.62E+11,2.86E+11
2015,3,2015/3/25,-473.2110985,379968851,10691,31,2.59E+11,2.83E+11
2015,3,2015/3/26,-466.9953716,346756315,10691,31,2.60E+11,2.85E+11
2015,3,2015/3/27,-471.0663753,298756064,10691,31,2.69E+11,2.96E+11
2015,3,2015/3/30,-468.7273773,428297020,10691,31,2.69E+11,2.95E+11
2015,3,2015/3/31,-469.7066161,436065635,10691,31,2.66E+11,3.03E+11
2015,4,2015/4/1,-470.0671855,329512853,13502,341,2.50E+11,2.31E+11
2015,4,2015/4/2,-470.8922173,339070487,13502,341,2.54E+11,2.30E+11
2015,4,2015/4/3,-468.6701769,321303766,13502,341,2.54E+11,2.37E+11
2015,4,2015/4/7,-465.2575764,415362654,13502,341,2.63E+11,2.49E+11
2015,4,2015/4/8,-461.176382,458676715,13502,341,2.60E+11,2.52E+11
2015,4,2015/4/9,-466.0285027,439699902,13502,341,2.53E+11,2.38E+11
2015,4,2015/4/10,-465.5642361,348190170,13502,341,2.67E+11,2.42E+11
2015,4,2015/4/13,-461.8062157,434153036,13502,341,2.64E+11,2.59E+11
2015,4,2015/4/14,-459.5289578,434432126,13502,341,2.56E+11,2.47E+11
2015,4,2015/4/15,-460.1711961,472154131,13502,341,2.65E+11,2.55E+11
2015,4,2015/4/16,-439.0180153,422603748,13502,341,2.54E+11,2.54E+11
2015,4,2015/4/17,-432.9410821,552802663,13502,341,2.64E+11,2.56E+11
2015,4,2015/4/20,-431.8325444,686439075,13502,341,2.54E+11,2.64E+11
2015,4,2015/4/21,-407.8672658,490314991,13502,341,2.51E+11,2.71E+11
2015,4,2015/4/22,-401.4301999,516213792,13502,341,2.67E+11,2.74E+11
2015,4,2015/4/23,-409.3415508,497430954,13502,341,2.56E+11,2.65E+11
2015,4,2015/4/24,-407.1861652,480152936,13502,341,2.62E+11,2.68E+11
2015,4,2015/4/27,-409.7361323,513076548,13502,341,2.63E+11,2.83E+11
2015,4,2015/4/28,-417.2009903,608638545,13502,341,2.60E+11,2.79E+11
2015,4,2015/4/29,-415.3916234,395056980,13502,341,2.66E+11,2.69E+11
2015,4,2015/4/30,-412.1909401,399727444,13502,341,2.52E+11,2.67E+11
2015,5,2015/5/4,-409.9953736,377843853,14355,595,2.62E+11,2.80E+11
2015,5,2015/5/5,-424.2439136,460419626,14355,595,2.60E+11,2.58E+11
2015,5,2015/5/6,-422.7642525,376073702,14355,595,2.64E+11,2.60E+11
2015,5,2015/5/7,-420.7960652,297759203,14355,595,2.57E+11,2.63E+11
2015,5,2015/5/8,-411.4441574,302407967,14355,595,2.60E+11,2.66E+11
2015,5,2015/5/11,-407.9871809,373838420,14355,595,2.56E+11,2.71E+11
2015,5,2015/5/12,-411.0722579,377053891,14355,595,2.63E+11,2.72E+11
2015,5,2015/5/13,-409.0205227,370730424,14355,595,2.60E+11,2.74E+11
2015,5,2015/5/14,-414.116307,337725152,14355,595,2.59E+11,2.69E+11
2015,5,2015/5/15,-420.4836443,328431166,14355,595,2.56E+11,2.69E+11
2015,5,2015/5/18,-424.1347365,269180489,14355,595,2.61E+11,2.63E+11
2015,5,2015/5/19,-415.092963,314785952,14355,595,2.68E+11,2.64E+11
2015,5,2015/5/20,-411.1724631,363180748,14355,595,2.57E+11,2.74E+11
2015,5,2015/5/21,-405.9956807,305054537,14355,595,2.60E+11,2.83E+11
2015,5,2015/5/22,-388.7030445,455846718,14355,595,2.55E+11,2.77E+11
2015,5,2015/5/25,-377.4744815,465736590,14355,595,2.55E+11,2.86E+11
2015,5,2015/5/26,-378.3869329,487949359,14355,595,2.67E+11,3.00E+11
2015,5,2015/5/27,-386.9753648,470798730,14355,595,2.67E+11,2.91E+11
2015,5,2015/5/28,-403.6541482,571829047,14355,595,2.54E+11,2.79E+11
2015,5,2015/5/29,-401.0808978,427878859,14355,595,2.56E+11,2.75E+11
2015,6,2015/6/1,-392.759205,417503741,15335,466,2.60E+11,2.90E+11
2015,6,2015/6/2,-397.268516,412973196,15335,466,2.57E+11,2.93E+11
2015,6,2015/6/3,-400.975888,414258270,15335,466,2.63E+11,2.97E+11
2015,6,2015/6/4,-406.0294965,482767268,15335,466,2.64E+11,2.91E+11
2015,6,2015/6/5,-409.9566732,545961196,15335,466,2.53E+11,2.98E+11
2015,6,2015/6/8,-399.0358485,637313237,15335,466,2.54E+11,2.99E+11
2015,6,2015/6/9,-404.6922466,570427263,15335,466,2.51E+11,3.10E+11
2015,6,2015/6/10,-404.0211468,442165676,15335,466,2.57E+11,3.00E+11
2015,6,2015/6/11,-405.0135446,392338755,15335,466,2.55E+11,3.03E+11
2015,6,2015/6/12,-398.5262653,430131386,15335,466,2.62E+11,2.97E+11
2015,6,2015/6/15,-403.4409221,475745703,15335,466,2.59E+11,2.99E+11
2015,6,2015/6/16,-410.944289,411675638,15335,466,2.63E+11,2.84E+11
2015,6,2015/6/17,-409.5370848,397124187,15335,466,2.60E+11,2.97E+11
2015,6,2015/6/18,-422.7264897,364395814,15335,466,2.58E+11,2.78E+11
2015,6,2015/6/19,-432.0202024,358104744,15335,466,2.65E+11,2.71E+11
2015,6,2015/6/23,-414.5484419,365087944,15335,466,2.58E+11,2.67E+11
2015,6,2015/6/24,-404.9398275,434638723,15335,466,2.53E+11,2.75E+11
2015,6,2015/6/25,-414.3147738,446135982,15335,466,2.63E+11,2.61E+11
2015,6,2015/6/26,-424.4925805,446639790,15335,466,2.53E+11,2.48E+11
2015,6,2015/6/29,-420.0684206,525662482,15335,466,2.48E+11,2.33E+11
2015,6,2015/6/30,-408.6484243,527045280,15335,466,2.49E+11,2.51E+11
2015,7,2015/7/1,-409.4951893,431721411,14249,430,2.63E+11,3.13E+11
2015,7,2015/7/2,-407.8119091,457062194,14249,430,2.69E+11,3.12E+11
2015,7,2015/7/3,-418.9801324,429300850,14249,430,2.69E+11,2.98E+11
2015,7,2015/7/6,-414.6535054,648094530,14249,430,2.60E+11,3.06E+11
2015,7,2015/7/7,-424.8522225,679385007,14249,430,2.61E+11,2.97E+11
2015,7,2015/7/8,-432.8761219,581467097,14249,430,2.58E+11,2.76E+11
2015,7,2015/7/9,-411.1300922,503870610,14249,430,2.68E+11,2.97E+11
2015,7,2015/7/10,-402.5775248,500701802,14249,430,2.63E+11,3.02E+11
2015,7,2015/7/13,-409.7525682,502092186,14249,430,2.67E+11,3.08E+11
2015,7,2015/7/14,-418.7708376,454422009,14249,430,2.66E+11,3.09E+11
2015,7,2015/7/15,-417.2617044,421956367,14249,430,2.75E+11,2.93E+11
2015,7,2015/7/16,-416.4940874,330531345,14249,430,2.79E+11,2.91E+11
2015,7,2015/7/17,-438.8326761,331107131,14249,430,2.76E+11,3.04E+11
2015,7,2015/7/20,-442.0303683,352673472,14249,430,2.65E+11,3.10E+11
2015,7,2015/7/21,-445.1289257,318374945,14249,430,2.76E+11,3.20E+11
2015,7,2015/7/22,-449.6215633,318945997,14249,430,2.74E+11,3.02E+11
2015,7,2015/7/23,-447.0032279,354471759,14249,430,2.60E+11,3.13E+11
2015,7,2015/7/24,-447.7367362,392045373,14249,430,2.68E+11,3.20E+11
2015,7,2015/7/27,-466.1038708,365054511,14249,430,2.67E+11,2.92E+11
2015,7,2015/7/28,-461.5142114,383527216,14249,430,2.64E+11,2.93E+11
2015,7,2015/7/29,-459.2756767,276972845,14249,430,2.68E+11,3.01E+11
2015,7,2015/7/30,-455.1209887,271548665,14249,430,2.62E+11,2.81E+11
2015,7,2015/7/31,-454.2564711,222376767,14249,430,2.71E+11,2.89E+11
2015,8,2015/8/3,-451.2994522,245805030,9671,603,2.66E+11,2.89E+11
2015,8,2015/8/4,-448.5338639,220236556,9671,603,2.63E+11,2.87E+11
2015,8,2015/8/5,-453.6225201,200484269,9671,603,2.61E+11,2.93E+11
2015,8,2015/8/6,-456.0865913,147278694,9671,603,2.65E+11,2.88E+11
2015,8,2015/8/7,-453.9668236,183349153,9671,603,2.54E+11,2.94E+11
2015,8,2015/8/10,-448.3461937,306780540,9671,603,2.67E+11,3.05E+11
