Day,C,I,G,NX,American_GDP,GDP
2015/1/5,-464.5798581,451198098.0,16203.0,601.0,268000000000.0,264000000000.0
2015/1/6,-469.06909800000005,420962185.0,16203.0,601.0,265000000000.0,271000000000.0
2015/1/7,-473.9310867,320191232.0,16203.0,601.0,268000000000.0,272000000000.0
2015/1/8,-474.9822079,295003045.0,16203.0,601.0,267000000000.0,265000000000.0
2015/1/9,-476.51244689999993,349982672.0,16203.0,601.0,265000000000.0,264000000000.0
2015/1/12,-480.58532080000003,266567175.0,16203.0,601.0,262000000000.0,252000000000.0
2015/1/13,-482.1518404,187153965.0,16203.0,601.0,270000000000.0,267000000000.0
2015/1/14,-483.96808849999996,196012510.0,16203.0,601.0,264000000000.0,251000000000.0
2015/1/15,-481.0755794,237812338.0,16203.0,601.0,263000000000.0,261000000000.0
2015/1/16,-480.8789146000001,282681614.0,16203.0,601.0,263000000000.0,272000000000.0
2015/1/19,-491.958221,329505275.0,16203.0,601.0,263000000000.0,240000000000.0
2015/1/20,-489.30196639999997,297843232.0,16203.0,601.0,258000000000.0,247000000000.0
2015/1/21,-484.75383600000004,337928210.0,16203.0,601.0,270000000000.0,263000000000.0
2015/1/22,-485.9214246,268853599.0,16203.0,601.0,260000000000.0,265000000000.0
2015/1/23,-486.3198302,280172172.0,16203.0,601.0,264000000000.0,271000000000.0
2015/1/26,-484.3286515,239766203.0,16203.0,601.0,270000000000.0,269000000000.0
2015/1/27,-486.9967413,287669179.0,16203.0,601.0,268000000000.0,265000000000.0
2015/1/28,-489.823047,216220214.0,16203.0,601.0,253000000000.0,257000000000.0
2015/1/29,-491.2578307,211618860.0,16203.0,601.0,258000000000.0,263000000000.0
2015/1/30,-490.20189589999995,196479157.0,16203.0,601.0,262000000000.0,252000000000.0
2015/2/2,-492.62381100000005,195183699.0,9513.0,606.0,268000000000.0,245000000000.0
2015/2/3,-488.9952733,192846096.0,9513.0,606.0,266000000000.0,258000000000.0
2015/2/4,-490.042882,191304349.0,9513.0,606.0,264000000000.0,256000000000.0
2015/2/5,-493.29853169999996,250430609.0,9513.0,606.0,269000000000.0,255000000000.0
2015/2/6,-493.0294046,192664186.0,9513.0,606.0,265000000000.0,242000000000.0
2015/2/9,-483.17848660000004,172353820.0,9513.0,606.0,272000000000.0,244000000000.0
2015/2/10,-484.4787705,159309088.0,9513.0,606.0,267000000000.0,257000000000.0
2015/2/11,-484.2293352,144613772.0,9513.0,606.0,268000000000.0,255000000000.0
2015/2/12,-483.7191759,156081691.0,9513.0,606.0,273000000000.0,252000000000.0
2015/2/13,-484.7680958000001,201089971.0,9513.0,606.0,271000000000.0,261000000000.0
2015/2/16,-483.91404810000006,165641343.0,9513.0,606.0,271000000000.0,255000000000.0
2015/2/17,-485.08033839999996,165328313.0,9513.0,606.0,277000000000.0,265000000000.0
2015/2/25,-483.54929180000005,165539351.0,9513.0,606.0,272000000000.0,251000000000.0
2015/2/26,-480.649034,229328438.0,9513.0,606.0,281000000000.0,269000000000.0
2015/2/27,-476.20752450000003,222786438.0,9513.0,606.0,280000000000.0,257000000000.0
2015/3/2,-476.59048210000003,248176125.0,10691.0,31.0,268000000000.0,259000000000.0
2015/3/3,-481.4524905,261866489.0,10691.0,31.0,268000000000.0,252000000000.0
2015/3/4,-480.07772400000005,199663981.0,10691.0,31.0,272000000000.0,253000000000.0
2015/3/5,-481.8060506,217508805.0,10691.0,31.0,265000000000.0,261000000000.0
2015/3/6,-483.7199598,181518054.0,10691.0,31.0,275000000000.0,250000000000.0
2015/3/9,-475.6620869,233940411.0,10691.0,31.0,276000000000.0,265000000000.0
2015/3/10,-479.40580159999996,194267657.0,10691.0,31.0,258000000000.0,253000000000.0
2015/3/11,-475.3550546,188947825.0,10691.0,31.0,266000000000.0,264000000000.0
2015/3/12,-474.42680199999995,265664625.0,10691.0,31.0,270000000000.0,259000000000.0
2015/3/13,-477.21496210000004,246864768.0,10691.0,31.0,266000000000.0,269000000000.0
2015/3/16,-473.0761041999999,275438307.0,10691.0,31.0,262000000000.0,271000000000.0
2015/3/17,-469.78614100000004,371625666.0,10691.0,31.0,261000000000.0,283000000000.0
2015/3/18,-466.96328339999997,415190011.0,10691.0,31.0,271000000000.0,288000000000.0
2015/3/19,-471.2252607,391547630.0,10691.0,31.0,264000000000.0,283000000000.0
2015/3/20,-473.2482727,401817552.0,10691.0,31.0,276000000000.0,282000000000.0
2015/3/23,-471.2043642,391119922.0,10691.0,31.0,278000000000.0,295000000000.0
2015/3/24,-470.4470518,468581312.0,10691.0,31.0,262000000000.0,286000000000.0
2015/3/25,-473.21109850000005,379968851.0,10691.0,31.0,259000000000.0,283000000000.0
2015/3/26,-466.9953716,346756315.0,10691.0,31.0,260000000000.0,285000000000.0
2015/3/27,-471.06637530000006,298756064.0,10691.0,31.0,269000000000.0,296000000000.0
2015/3/30,-468.7273773,428297020.0,10691.0,31.0,269000000000.0,295000000000.0
2015/3/31,-469.7066161,436065635.0,10691.0,31.0,266000000000.0,303000000000.0
2015/4/1,-470.06718550000005,329512853.0,13502.0,341.0,250000000000.0,231000000000.0
2015/4/2,-470.8922173,339070487.0,13502.0,341.0,254000000000.0,230000000000.0
2015/4/3,-468.67017689999994,321303766.0,13502.0,341.0,254000000000.0,237000000000.0
2015/4/7,-465.25757639999995,415362654.0,13502.0,341.0,263000000000.0,249000000000.0
2015/4/8,-461.17638200000005,458676715.0,13502.0,341.0,260000000000.0,252000000000.0
2015/4/9,-466.0285027,439699902.0,13502.0,341.0,253000000000.0,238000000000.0
2015/4/10,-465.5642361000001,348190170.0,13502.0,341.0,267000000000.0,242000000000.0
2015/4/13,-461.80621569999994,434153036.0,13502.0,341.0,264000000000.0,259000000000.0
2015/4/14,-459.5289578,434432126.0,13502.0,341.0,256000000000.0,247000000000.0
2015/4/15,-460.17119610000003,472154131.0,13502.0,341.0,265000000000.0,255000000000.0
2015/4/16,-439.0180153,422603748.0,13502.0,341.0,254000000000.0,254000000000.0
2015/4/17,-432.9410821000001,552802663.0,13502.0,341.0,264000000000.0,256000000000.0
2015/4/20,-431.8325444,686439075.0,13502.0,341.0,254000000000.0,264000000000.0
2015/4/21,-407.86726580000004,490314991.0,13502.0,341.0,251000000000.0,271000000000.0
2015/4/22,-401.4301999,516213792.0,13502.0,341.0,267000000000.0,274000000000.0
2015/4/23,-409.3415508,497430954.0,13502.0,341.0,256000000000.0,265000000000.0
2015/4/24,-407.1861652,480152936.0,13502.0,341.0,262000000000.0,268000000000.0
2015/4/27,-409.7361323,513076548.0,13502.0,341.0,263000000000.0,283000000000.0
2015/4/28,-417.2009903,608638545.0,13502.0,341.0,260000000000.0,279000000000.0
2015/4/29,-415.39162339999996,395056980.0,13502.0,341.0,266000000000.0,269000000000.0
2015/4/30,-412.19094010000003,399727444.0,13502.0,341.0,252000000000.0,267000000000.0
2015/5/4,-409.9953736,377843853.0,14355.0,595.0,262000000000.0,280000000000.0
2015/5/5,-424.2439136,460419626.0,14355.0,595.0,260000000000.0,258000000000.0
2015/5/6,-422.76425250000005,376073702.0,14355.0,595.0,264000000000.0,260000000000.0
2015/5/7,-420.7960652,297759203.0,14355.0,595.0,257000000000.0,263000000000.0
2015/5/8,-411.44415739999994,302407967.0,14355.0,595.0,260000000000.0,266000000000.0
2015/5/11,-407.9871809,373838420.0,14355.0,595.0,256000000000.0,271000000000.0
2015/5/12,-411.0722579,377053891.0,14355.0,595.0,263000000000.0,272000000000.0
2015/5/13,-409.0205227,370730424.0,14355.0,595.0,260000000000.0,274000000000.0
2015/5/14,-414.116307,337725152.0,14355.0,595.0,259000000000.0,269000000000.0
2015/5/15,-420.4836443,328431166.0,14355.0,595.0,256000000000.0,269000000000.0
2015/5/18,-424.13473650000003,269180489.0,14355.0,595.0,261000000000.0,263000000000.0
2015/5/19,-415.092963,314785952.0,14355.0,595.0,268000000000.0,264000000000.0
2015/5/20,-411.1724631,363180748.0,14355.0,595.0,257000000000.0,274000000000.0
2015/5/21,-405.9956807,305054537.0,14355.0,595.0,260000000000.0,283000000000.0
2015/5/22,-388.7030445,455846718.0,14355.0,595.0,255000000000.0,277000000000.0
2015/5/25,-377.47448149999997,465736590.0,14355.0,595.0,255000000000.0,286000000000.0
2015/5/26,-378.3869329,487949359.0,14355.0,595.0,267000000000.0,300000000000.0
2015/5/27,-386.9753648,470798730.0,14355.0,595.0,267000000000.0,291000000000.0
2015/5/28,-403.6541482,571829047.0,14355.0,595.0,254000000000.0,279000000000.0
2015/5/29,-401.0808978,427878859.0,14355.0,595.0,256000000000.0,275000000000.0
2015/6/1,-392.759205,417503741.0,15335.0,466.0,260000000000.0,290000000000.0
2015/6/2,-397.26851600000003,412973196.0,15335.0,466.0,257000000000.0,293000000000.0
2015/6/3,-400.975888,414258270.0,15335.0,466.0,263000000000.0,297000000000.0
2015/6/4,-406.0294965,482767268.0,15335.0,466.0,264000000000.0,291000000000.0
