Day,C1,I,G,NX,new_cases,new_deaths,GDP
2015/1/2,-15.77676034,76270000,1214.892,-435.9,0,0,2.61E+11
2015/1/5,-16.49633038,116160000,1214.892,-435.9,0,0,2.68E+11
2015/1/6,-16.54855084,101870000,1214.892,-435.9,0,0,2.65E+11
2015/1/7,-13.48959019,91030000,1214.892,-435.9,0,0,2.68E+11
2015/1/8,-10.82468074,114890000,1214.892,-435.9,0,0,2.67E+11
2015/1/9,-12.40596842,93390000,1214.892,-435.9,0,0,2.65E+11
2015/1/12,-12.34954477,92500000,1214.892,-435.9,0,0,2.62E+11
2015/1/13,-12.65100814,99360000,1214.892,-435.9,0,0,2.7E+11
2015/1/14,-14.53931372,109180000,1214.892,-435.9,0,0,2.64E+11
2015/1/15,-14.10647882,94520000,1214.892,-435.9,0,0,2.63E+11
2015/1/16,-13.4545341,140480000,1214.892,-435.9,0,0,2.63E+11
2015/1/20,-13.37990131,119600000,1214.892,-435.9,0,0,2.58E+11
2015/1/21,-13.69953767,95530000,1214.892,-435.9,0,0,2.7E+11
2015/1/22,-11.37137166,111980000,1214.892,-435.9,0,0,2.6E+11
2015/1/23,-12.30808344,97110000,1214.892,-435.9,0,0,2.64E+11
2015/1/26,-12.4731471,87220000,1214.892,-435.9,0,0,2.7E+11
2015/1/27,-15.8844941,135940000,1214.892,-435.9,0,0,2.68E+11
2015/1/28,-17.60800826,115980000,1214.892,-435.9,0,0,2.53E+11
2015/1/29,-16.54668786,111690000,1214.892,-435.9,0,0,2.58E+11
2015/1/30,-20.26758035,168560000,1214.892,-435.9,0,0,2.62E+11
2015/2/2,-18.23186744,108090000,1214.892,-385.4,0,0,2.68E+11
2015/2/3,-17.05606242,112860000,1214.892,-385.4,0,0,2.66E+11
2015/2/4,-16.65448357,102560000,1214.892,-385.4,0,0,2.64E+11
2015/2/5,-15.69418866,79890000,1214.892,-385.4,0,0,2.69E+11
2015/2/6,-16.2693437,93610000,1214.892,-385.4,0,0,2.65E+11
2015/2/9,-17.89800072,81590000,1214.892,-385.4,0,0,2.72E+11
2015/2/10,-15.76614717,89930000,1214.892,-385.4,0,0,2.67E+11
2015/2/11,-15.23807472,89890000,1214.892,-385.4,0,0,2.68E+11
2015/2/12,-15.40282436,117160000,1214.892,-385.4,0,0,2.73E+11
2015/2/13,-16.04177002,85230000,1214.892,-385.4,0,0,2.71E+11
2015/2/17,-16.5223014,98760000,1214.892,-385.4,0,0,2.77E+11
2015/2/18,-15.45270767,75090000,1214.892,-385.4,0,0,2.72E+11
2015/2/19,-18.15877421,79130000,1214.892,-385.4,0,0,2.62E+11
2015/2/20,-17.68680792,111390000,1214.892,-385.4,0,0,2.65E+11
2015/2/23,-17.03321928,83670000,1214.892,-385.4,0,0,2.78E+11
2015/2/24,-16.90518947,79310000,1214.892,-385.4,0,0,2.7E+11
2015/2/25,-17.65374682,80480000,1214.892,-385.4,0,0,2.72E+11
2015/2/26,-17.80135959,81500000,1214.892,-385.4,0,0,2.81E+11
2015/2/27,-17.68289608,101110000,1214.892,-385.4,0,0,2.8E+11
2015/3/2,-17.26805584,89790000,1214.892,-521.6,0,0,2.68E+11
2015/3/3,-18.09782614,83830000,1214.892,-521.6,0,0,2.68E+11
2015/3/4,-19.59174197,80900000,1214.892,-521.6,0,0,2.72E+11
2015/3/5,-18.82451897,75840000,1214.892,-521.6,0,0,2.65E+11
2015/3/6,-21.15847821,113350000,1214.892,-521.6,0,0,2.75E+11
2015/3/9,-20.78776926,85820000,1214.892,-521.6,0,0,2.76E+11
2015/3/10,-22.98602978,120450000,1214.892,-521.6,0,0,2.58E+11
2015/3/11,-24.42182466,102120000,1214.892,-521.6,0,0,2.66E+11
2015/3/12,-22.25279104,111550000,1214.892,-521.6,0,0,2.7E+11
2015/3/13,-23.0703314,113620000,1214.892,-521.6,0,0,2.66E+11
2015/3/16,-20.61599156,101760000,1214.892,-521.6,0,0,2.62E+11
2015/3/17,-22.01954405,82560000,1214.892,-521.6,0,0,2.61E+11
2015/3/18,-21.3431663,130950000,1214.892,-521.6,0,0,2.71E+11
2015/3/19,-22.5374014,107820000,1214.892,-521.6,0,0,2.64E+11
2015/3/20,-19.99215446,333870000,1214.892,-521.6,0,0,2.76E+11
2015/3/23,-19.66001244,98030000,1214.892,-521.6,0,0,2.78E+11
2015/3/24,-20.38032485,87190000,1214.892,-521.6,0,0,2.62E+11
2015/3/25,-22.33626973,106560000,1214.892,-521.6,0,0,2.59E+11
2015/3/26,-22.28407456,117740000,1214.892,-521.6,0,0,2.6E+11
2015/3/27,-22.45378038,103220000,1214.892,-521.6,0,0,2.69E+11
2015/3/30,-21.12421204,104040000,1214.892,-521.6,0,0,2.69E+11
2015/3/31,-22.13947635,119470000,1214.892,-521.6,0,0,2.66E+11
2015/4/1,-23.60217883,103360000,1219.564,-433.7,0,0,2.5E+11
2015/4/2,-23.26777754,87370000,1219.564,-433.7,0,0,2.54E+11
2015/4/6,-22.35211765,100850000,1219.564,-433.7,0,0,2.65E+11
2015/4/7,-23.18748749,72150000,1219.564,-433.7,0,0,2.63E+11
2015/4/8,-22.70160735,76820000,1219.564,-433.7,0,0,2.6E+11
2015/4/9,-22.60829318,86740000,1219.564,-433.7,0,0,2.53E+11
2015/4/10,-22.56135026,116410000,1219.564,-433.7,0,0,2.67E+11
2015/4/13,-23.07030276,120090000,1219.564,-433.7,0,0,2.64E+11
2015/4/14,-22.676694,82830000,1219.564,-433.7,0,0,2.56E+11
2015/4/15,-22.95905136,113610000,1219.564,-433.7,0,0,2.65E+11
2015/4/16,-23.36200621,89520000,1219.564,-433.7,0,0,2.54E+11
2015/4/17,-25.14679561,138860000,1219.564,-433.7,0,0,2.64E+11
2015/4/20,-24.44080777,103160000,1219.564,-433.7,0,0,2.54E+11
2015/4/21,-24.26362375,95180000,1219.564,-433.7,0,0,2.51E+11
2015/4/22,-23.71186231,91260000,1219.564,-433.7,0,0,2.67E+11
2015/4/23,-25.11538806,100240000,1219.564,-433.7,0,0,2.56E+11
2015/4/24,-24.88438818,119130000,1219.564,-433.7,0,0,2.62E+11
2015/4/27,-25.73080974,121110000,1219.564,-433.7,0,0,2.63E+11
2015/4/28,-26.05349545,124930000,1219.564,-433.7,0,0,2.6E+11
2015/4/29,-27.25601169,102080000,1219.564,-433.7,0,0,2.66E+11
2015/4/30,-27.00537202,129180000,1219.564,-433.7,0,0,2.52E+11
2015/5/1,-25.28410837,91700000,1219.564,-434.4,0,0,2.6E+11
2015/5/4,-24.68066639,86010000,1219.564,-434.4,0,0,2.62E+11
2015/5/5,-25.80696075,95340000,1219.564,-434.4,0,0,2.6E+11
2015/5/6,-25.9322516,100430000,1219.564,-434.4,0,0,2.64E+11
2015/5/7,-25.92363311,80920000,1219.564,-434.4,0,0,2.57E+11
2015/5/8,-24.51922478,94960000,1219.564,-434.4,0,0,2.6E+11
2015/5/11,-25.29302972,86050000,1219.564,-434.4,0,0,2.56E+11
2015/5/12,-24.97828356,89270000,1219.564,-434.4,0,0,2.63E+11
2015/5/13,-25.53615599,85180000,1219.564,-434.4,0,0,2.6E+11
2015/5/14,-23.92832937,91580000,1219.564,-434.4,0,0,2.59E+11
2015/5/15,-23.20520827,108220000,1219.564,-434.4,0,0,2.56E+11
2015/5/18,-23.01092043,79080000,1219.564,-434.4,0,0,2.61E+11
2015/5/19,-25.38729573,87200000,1219.564,-434.4,0,0,2.68E+11
2015/5/20,-26.05456865,80190000,1219.564,-434.4,0,0,2.57E+11
2015/5/21,-26.17493156,84270000,1219.564,-434.4,0,0,2.6E+11
2015/5/22,-27.01275182,78890000,1219.564,-434.4,0,0,2.55E+11
2015/5/26,-28.35211121,109440000,1219.564,-434.4,0,0,2.67E+11
2015/5/27,-27.74450616,96400000,1219.564,-434.4,0,0,2.67E+11
2015/5/28,-27.72209351,67510000,1219.564,-434.4,0,0,2.54E+11
2015/5/29,-28.93319895,139810000,1219.564,-434.4,0,0,2.56E+11
2015/6/1,-29.0712656,85640000,1219.564,-462.6,0,0,2.6E+11
2015/6/2,-29.34298292,77550000,1219.564,-462.6,0,0,2.57E+11
2015/6/3,-29.42217193,73120000,1219.564,-462.6,0,0,2.63E+11
2015/6/4,-30.68935555,93470000,1219.564,-462.6,0,0,2.64E+11
2015/6/5,-32.36318017,89140000,1219.564,-462.6,0,0,2.53E+11
2015/6/8,-32.59633994,86300000,1219.564,-462.6,0,0,2.54E+11
2015/6/9,-31.91645082,90550000,1219.564,-462.6,0,0,2.51E+11
2015/6/10,-30.95959957,96980000,1219.564,-462.6,0,0,2.57E+11
2015/6/11,-30.87870454,89490000,1219.564,-462.6,0,0,2.55E+11
2015/6/12,-31.69792748,83760000,1219.564,-462.6,0,0,2.62E+11
2015/6/15,-32.97713387,91920000,1219.564,-462.6,0,0,2.59E+11
2015/6/16,-31.69155604,77510000,1219.564,-462.6,0,0,2.63E+11
2015/6/17,-30.64254783,92410000,1219.564,-462.6,0,0,2.6E+11
2015/6/18,-29.50412342,94460000,1219.564,-462.6,0,0,2.58E+11
2015/6/19,-30.01271084,258300000,1219.564,-462.6,0,0,2.65E+11
2015/6/22,-29.70174664,77780000,1219.564,-462.6,0,0,2.54E+11
2015/6/23,-30.23551674,75970000,1219.564,-462.6,0,0,2.58E+11
2015/6/24,-30.67759516,104980000,1219.564,-462.6,0,0,2.53E+11
2015/6/25,-31.31713574,78990000,1219.564,-462.6,0,0,2.63E+11
2015/6/26,-31.13552538,158120000,1219.564,-462.6,0,0,2.53E+11
2015/6/29,-32.78042983,116340000,1219.564,-462.6,0,0,2.48E+11
2015/6/30,-33.32948273,126460000,1219.564,-462.6,0,0,2.49E+11
