,Predictions,GDP_per_day
0,354551330000.0,373342870734.6013
1,362114580000.0,369259795401.8347
2,365943400000.0,374359188715.9739
3,366991970000.0,367558682432.2463
4,366038940000.0,383446747340.5582
5,368360620000.0,387264506725.4564
6,370306580000.0,381935309536.21704
7,376958350000.0,391358314356.58704
8,378568470000.0,395915857678.1848
9,379636600000.0,395605232417.8508
10,383982570000.0,398200160523.4212
11,384323160000.0,393055162893.0681
12,384318470000.0,410639078989.8283
13,388274230000.0,401551618008.1405
14,390671800000.0,409688150575.8338
15,393856200000.0,415737010656.03296
16,392279130000.0,415724076289.6548
17,398055770000.0,400451889621.274
18,396623870000.0,418985396922.0115
19,394985240000.0,413647993633.7632
20,394149500000.0,415652258514.0092
21,401666380000.0,413908303941.8442
22,399530070000.0,408414639752.3288
23,400007330000.0,431017452371.5888
24,402090460000.0,427378761483.49054
25,406192850000.0,419944085175.3648
26,413241870000.0,431055513144.2954
27,411653700000.0,418506659528.1662
28,409807700000.0,397237475855.8902
29,406958180000.0,412687863720.83264
30,397763500000.0,396698385151.6874
31,390835570000.0,405575499517.6227
32,394554500000.0,429392785966.4103
33,395032430000.0,416469110276.1498
34,403475230000.0,424268882740.256
35,409091640000.0,426351311725.4765
36,405069700000.0,436328310560.0028
37,411305440000.0,435786286266.677
38,415035900000.0,434579512908.27216
39,418858760000.0,422702424016.0197
40,417022770000.0,437675820247.6214
41,416638760000.0,421002138695.16986
42,413495070000.0,414144123583.5269
43,414056120000.0,447035701719.3919
44,410329740000.0,429744217344.2047
45,414074770000.0,420689436013.9241
46,421439600000.0,431373167505.1379
47,413465020000.0,430961733070.8045
48,413243180000.0,430228588165.3785
49,417373700000.0,438086418964.664
50,418041700000.0,412805851726.9917
51,416523880000.0,426100966401.1405
52,414203940000.0,404493207699.3423
53,403872320000.0,416420062896.5608
54,405123530000.0,403451511750.5094
55,397506150000.0,390508636909.0913
56,396420740000.0,381811773218.416
57,385249770000.0,378576255252.4625
58,377989630000.0,394424803466.2739
59,376331570000.0,392757596145.89
60,379297300000.0,387894992418.3176
61,384125670000.0,399484555709.93896
62,384484100000.0,386588595324.1807
63,384002160000.0,397312400477.65814
64,386468970000.0,383315905620.9957
65,381979160000.0,386952114448.2913
66,382629480000.0,394855775930.6257
67,379518550000.0,377253047764.7965
68,380556280000.0,375362166341.3319
69,378480300000.0,376611741520.93896
70,371279530000.0,382000814182.1513
71,371833540000.0,380674309847.2477
72,373316900000.0,382052765258.9797
73,375380200000.0,382134576872.65
74,375597200000.0,387209700393.9436
75,376863130000.0,380535832558.3781
76,377237400000.0,387858058640.0776
77,378231000000.0,381845324250.0704
78,376875020000.0,382091984076.5701
79,378064700000.0,385537481403.5495
80,376322060000.0,399343463586.9276
81,379235070000.0,392438108133.8436
82,383114120000.0,378280729033.0216
83,384984800000.0,388520389445.8478
84,380012630000.0,388097758187.5202
85,377393100000.0,391975264679.3325
86,382333320000.0,418416945314.2979
87,387157700000.0,416841929942.69257
88,395463260000.0,398887910267.5252
89,402823200000.0,394620920153.3749
90,396647000000.0,409297759111.3318
91,390944980000.0,418397145325.0017
92,394930850000.0,410285524492.3944
93,402978370000.0,396927738212.4511
94,401998200000.0,390871916675.7013
95,393599520000.0,402113360160.57056
96,387335550000.0,397900497803.5079
97,387885600000.0,399066240596.0924
98,391726800000.0,380651964333.8674
99,387800000000.0,375015354339.8111
100,382199230000.0,377704739186.92224
101,373444770000.0,376503003511.9929
102,372300970000.0,392641911840.12897
103,375435260000.0,395516503502.7756
104,379912950000.0,395513945750.0661
105,387016160000.0,393638236285.4127
106,387591770000.0,391422130899.1668
107,386824570000.0,387517538004.7534
108,384629180000.0,395040267248.0236
109,383849070000.0,383353957189.9633
110,382678100000.0,388027933293.10986
111,383059070000.0,396942751412.6416
112,381257200000.0,389913343541.7241
113,384392430000.0,391236216786.91376
114,386243230000.0,392782124333.4353
115,384206370000.0,393820258517.83777
116,385297000000.0,378096235065.8003
117,383726420000.0,389280522436.8457
118,381627830000.0,373763807378.5544
119,376666720000.0,366655778558.3442
120,375297870000.0,362318230134.27704
121,366608840000.0,370485183692.30426
122,363854100000.0,363508462586.9151
123,364019970000.0,376336274136.88336
124,367193030000.0,368653934541.0802
125,367154400000.0,383373282207.909
126,372365820000.0,373383627722.84937
127,372106700000.0,373190033740.7673
128,374923100000.0,386401726769.0757
129,373007250000.0,376172149912.4188
130,374931650000.0,379363860173.04425
131,377268200000.0,389958516794.6667
132,376347300000.0,381112425415.72205
133,379736520000.0,390248794061.34515
134,382829720000.0,394111181189.1064
135,382455800000.0,377501569962.7677
136,384397200000.0,378305771638.4728
137,381124740000.0,379348046223.9941
138,375525300000.0,392602368600.6155
139,378227850000.0,383505255698.7491
140,380808130000.0,388158440816.0356
141,383791960000.0,391586689424.4063
142,382014620000.0,389396682696.7136
143,383886560000.0,403588151981.2701
144,386443540000.0,406909267356.6941
145,390796050000.0,392719596192.9036
146,394939000000.0,414215200514.0355
147,395563270000.0,397924751425.2571
148,393646080000.0,405013879931.0464
149,399092700000.0,387869619485.0435
150,391898760000.0,391094222347.4471
151,390520700000.0,393520966311.31335
152,385423200000.0,394825066937.1201
153,387486970000.0,403995969793.7183
154,390168670000.0,389834910763.7747
155,391395100000.0,381402400651.31396
156,389748850000.0,379785030069.8333
157,381318660000.0,398708585382.0685
158,380327030000.0,446413802831.4428
159,392908800000.0,450897881471.7111
160,415901880000.0,460487010119.46375
161,439308880000.0,453270479528.786
162,443195980000.0,454768359765.0925
163,445307400000.0,465274840823.3984
164,444115320000.0,450679838354.617
165,445533720000.0,456118535010.9625
166,446960240000.0,443735268191.8792
167,440102980000.0,441271691218.0642
168,438224030000.0,439402973894.2946
169,431406150000.0,446875239004.6424
170,431113830000.0,453932952261.2677
171,433918740000.0,460570007681.2031
172,440658500000.0,446586025903.7225
173,443536830000.0,448525154104.1953
174,442164840000.0,447763106388.2432
175,436259650000.0,438150486902.39386
176,435437040000.0,457617960406.8217
177,435344540000.0,459534593038.3269
178,437770220000.0,454970135488.2144
179,446839620000.0,465052503051.8457
180,447893730000.0,468231975107.2188
181,449681100000.0,468523919611.4789
182,455643700000.0,458772312509.0476
183,455544240000.0,462680914254.6106
184,453033620000.0,450963056347.3436
185,447986140000.0,440282672022.9403
186,444311700000.0,448048811980.03503
187,436911140000.0,440695363101.8129
188,433303650000.0,449604786129.8043
189,435991840000.0,458498567250.8729
190,437199960000.0,447946884868.0948
191,442203770000.0,453158158428.6798
192,443704640000.0,444474582002.7898
193,439040700000.0,462772456361.2958
194,441320700000.0,461709048103.5103
195,443005080000.0,461367199575.4149
196,451000070000.0,441071902947.8176
197,447222900000.0,442763951158.6892
198,440709150000.0,449636857934.84265
199,433180900000.0,448390167768.557
200,435882520000.0,446365722695.2825
201,438218750000.0,448558678966.2288
202,437349650000.0,461168155352.868
203,439350820000.0,454413681092.1572
204,443345900000.0,448083235155.3816
205,445549770000.0,444064538860.1552
206,439739550000.0,471095558460.1781
207,440156320000.0,471409193556.5562
208,447094100000.0,464300540684.5482
209,457425850000.0,471192398370.3918
210,456175650000.0,465820670337.5876
211,453905940000.0,460644285646.2783
212,455178780000.0,452525243334.1353
213,449946900000.0,468795208043.9434
214,447733660000.0,451310466492.6923
215,446445030000.0,466678819664.9339
216,451091660000.0,470494967962.27075
217,448820580000.0,468688325514.9917
218,456457880000.0,468831557018.98944
219,457156130000.0,361863469651.0015
220,437483600000.0,375361571226.348
221,406276340000.0,367108306790.0453
222,366251670000.0,375120735290.5783
223,370405870000.0,370213633234.0813
224,368625000000.0,381796720167.365
225,372281870000.0,377440181107.17926
226,372818600000.0,368808569479.2913
227,375272050000.0,365608238447.6601
228,370976520000.0,372574846694.81024
229,367689140000.0,360490662246.6739
230,366585800000.0,366940288019.28656
231,367086630000.0,384024808538.1534
232,366753250000.0,378311017499.4741
233,372949060000.0,360972729901.3095
234,375072620000.0,355382754734.4281
235,367186480000.0,326672087830.4788
236,355028140000.0,340967804758.03986
237,347223600000.0,340727779758.7333
238,340582070000.0,339855658364.184
239,345157570000.0,344871079290.5133
240,345932370000.0,347367614250.8007
241,347314620000.0,360012478073.55914
