trade_date,601933.SH,600887.SH,600827.SH,600779.SH,600616.SH,600519.SH,600300.SH,600251.SH,600132.SH,002714.SZ,002385.SZ,002304.SZ,000895.SZ,000876.SZ,000858.SZ,000568.SZ,CPI,Confidence Rate
2015/1/5,9.11,29.76,18.16,10.21,9.57,202.52,5.24,18.57,16.5,44.1,13.78,86.96,32.72,14.6,23.65,21.9,100.8,105.7
2015/1/6,9.09,29.88,18.21,10.09,9.6,197.83,5.3,18.68,16.58,47.64,14.1,86.95,33.97,14.73,23.76,21.58,100.8,105.7
2015/1/7,9.05,28.97,18.68,10.29,9.72,192.94,5.26,18.62,16.67,50.02,13.86,84.9,34.14,14.65,23.48,21.59,100.8,105.7
2015/1/8,8.92,28.64,17.99,10.49,9.57,191.76,5.3,18.64,16.58,52,13.97,84.62,33.64,14.81,23.93,21.64,100.8,105.7
2015/1/9,8.69,28.15,17.29,10.64,9.57,190.31,5.39,18.3,16.68,53.01,13.87,82.65,32.88,14.6,23.72,21.42,100.8,105.7
2015/1/12,8.57,28.17,16.3,11.09,9.25,186.43,5.2,17.73,16.21,51.2,14,83.5,33.35,14.29,23.04,19.37,100.8,105.7
2015/1/13,8.66,28.36,16.47,10.72,9.35,184.88,5.18,17.96,16.3,51.51,13.91,83.35,32.91,14.49,22.97,19.1,100.8,105.7
2015/1/14,8.56,27.53,16.3,10.33,9.22,183.18,5.18,18.24,16.38,55.45,14.28,79.45,32.07,14.29,22.33,19.24,100.8,105.7
2015/1/15,8.86,27.79,16.51,10.38,9.36,186.07,5.22,18.51,16.45,54.02,14.4,79.59,32.45,14.74,22.86,19.34,100.8,105.7
2015/1/16,8.85,28.04,16.56,10.3,9.49,186.11,5.23,18.58,16.48,55.65,14.52,79.94,33.05,15.13,23.37,19.45,100.8,105.7
2015/1/19,8.39,26.4,15.46,9.32,9.08,175.48,4.99,17.66,15.84,55.76,14.39,75.7,31.48,14.48,21.55,18.32,100.8,105.7
2015/1/20,8.55,27.09,15.83,9.54,9.25,178.08,5.09,18.67,16.13,54.73,15.2,75.6,32.37,15.18,22.11,18.66,100.8,105.7
2015/1/21,8.78,27.81,16.27,9.8,9.43,182.36,5.21,18.94,16.35,55.01,15.92,79.24,33.19,15.45,22.77,19.14,100.8,105.7
2015/1/22,9.04,27.77,16.75,9.87,9.6,181.23,5.27,19.33,16.43,53.95,16.28,78.32,32.99,15.49,22.94,19.26,100.8,105.7
2015/1/23,8.89,27.66,17.03,9.68,9.74,181.02,5.34,19.09,16.43,53.39,16.04,76.36,32.82,15.1,22.41,19.22,100.8,105.7
2015/1/26,9.3,28.55,18.01,9.88,10,182.8,5.44,19.42,16.74,54.11,16.4,78.78,33.75,15.55,22.69,19.53,100.8,105.7
2015/1/27,9.22,28.19,17.65,10.02,10,180.11,5.51,19.34,16.67,53.41,17.58,78.23,33.26,15.75,23.03,19.59,100.8,105.7
