Day,Close,volume
2015/1/5,3641.54,451198098
2015/1/6,3641.06,420962185
2015/1/7,3643.79,320191232
2015/1/8,3559.26,295003045
2015/1/9,3546.72,349982672
2015/1/12,3513.58,266567175
2015/1/13,3514.04,187153965
2015/1/14,3502.42,196012510
2015/1/15,3604.12,237812338
2015/1/16,3635.15,282681614
2015/1/19,3355.16,329505275
2015/1/20,3396.22,297843232
2015/1/21,3548.89,337928210
2015/1/22,3567.61,268853599
2015/1/23,3571.73,280172172
2015/1/26,3607.99,239766203
2015/1/27,3574.93,287669179
2015/1/28,3525.32,216220214
2015/1/29,3481.8,211618860
2015/1/30,3434.39,196479157
2015/2/2,3353.96,195183699
2015/2/3,3437.45,192846096
2015/2/4,3401.77,191304349
2015/2/5,3366.95,250430609
2015/2/6,3312.42,192664186
2015/2/9,3345.92,172353820
2015/2/10,3406.94,159309088
2015/2/11,3434.12,144613772
2015/2/12,3442.87,156081691
2015/2/13,3469.83,201089971
2015/2/16,3499.48,165641343
2015/2/17,3522.32,165328313
2015/2/25,3478.73,165539351
2015/2/26,3566.29,229328438
2015/2/27,3572.84,222786438
2015/3/2,3601.26,248176125
2015/3/3,3507.9,261866489
2015/3/4,3530.82,199663981
2015/3/5,3496.34,217508805
2015/3/6,3478.52,181518054
2015/3/9,3537.75,233940411
2015/3/10,3520.61,194267657
2015/3/11,3524.65,188947825
2015/3/12,3592.84,265664625
2015/3/13,3617.66,246864768
2015/3/16,3705.67,275438307
2015/3/17,3757.12,371625666
2015/3/18,3846.05,415190011
2015/3/19,3839.74,391547630
2015/3/20,3892.57,401817552
2015/3/23,3972.06,391119922
2015/3/24,3973.05,468581312
2015/3/25,3940.41,379968851
2015/3/26,3950,346756315
2015/3/27,3971.697,298756064
2015/3/30,4088.18,428297020
2015/3/31,4051.2,436065635
2015/4/1,4123.9,329512853
2015/4/2,4124.78,339070487
2015/4/3,4170.54,321303766
2015/4/7,4260.04,415362654
2015/4/8,4295.8,458676715
2015/4/9,4262.14,439699902
2015/4/10,4344.42,348190170
2015/4/13,4421.07,434153036
2015/4/14,4438.18,434432126
2015/4/15,4380.51,472154131
2015/4/16,4513.55,422603748
2015/4/17,4596.14,552802663
2015/4/20,4521.92,686439075
2015/4/21,4619.16,490314991
2015/4/22,4739.81,516213792
2015/4/23,4740.89,497430954
2015/4/24,4702.64,480152936
2015/4/27,4807.59,513076548
2015/4/28,4741.86,608638545
2015/4/29,4774.33,395056980
2015/4/30,4749.89,399727444
2015/5/4,4787.74,377843853
2015/5/5,4596.84,460419626
2015/5/6,4553.33,376073702
2015/5/7,4470.09,297759203
2015/5/8,4558.4,302407967
2015/5/11,4690.53,373838420
2015/5/12,4747.42,377053891
2015/5/13,4718.44,370730424
2015/5/14,4700.78,337725152
2015/5/15,4617.47,328431166
2015/5/18,4575.14,269180489
2015/5/19,4731.22,314785952
2015/5/20,4754.92,363180748
2015/5/21,4840.98,305054537
2015/5/22,4951.33,455846718
2015/5/25,5099.5,465736590
2015/5/26,5198.92,487949359
2015/5/27,5181.43,470798730
2015/5/28,4834.01,571829047
2015/5/29,4840.83,427878859
2015/6/1,5076.18,417503741
2015/6/2,5161.87,412973196
2015/6/3,5143.59,414258270
2015/6/4,5181.42,482767268
2015/6/5,5230.55,545961196
2015/6/8,5353.75,637313237
2015/6/9,5317.46,570427263
2015/6/10,5309.11,442165676
2015/6/11,5306.59,392338755
2015/6/12,5335.12,430131386
2015/6/15,5221.17,475745703
2015/6/16,5064.82,411675638
2015/6/17,5138.83,397124187
2015/6/18,4930.55,364395814
2015/6/19,4637.05,358104744
2015/6/23,4786.09,365087944
2015/6/24,4880.13,434638723
2015/6/25,4706.52,446135982
2015/6/26,4336.19,446639790
2015/6/29,4191.55,525662482
2015/6/30,4473,527045280
2015/7/1,4253.02,431721411
2015/7/2,4108,457062194
2015/7/3,3885.92,429300850
2015/7/6,3998.54,648094530
2015/7/7,3928,679385007
2015/7/8,3663.04,581467097
2015/7/9,3897.63,503870610
2015/7/10,4106.56,500701802
2015/7/13,4211.81,502092186
2015/7/14,4112.15,454422009
