,0
0,0.0626
1,0.0368
2,0.0274
3,0.064
4,0.0226
5,0.0364
6,0.0167
7,0.0454
8,0.0054
9,0.0333
10,0.0216
11,0.0093
12,0.0359
13,0.0003
14,0.016
15,0.0182
16,0.0202
17,0.0684
18,0.0602
19,0.0073
20,0.0108
21,0.0075
22,0.0457
23,0.0086
24,0.0069
25,0.063
26,0.0969
27,0.0103
28,0.0676
29,0.0576
30,0.0969
31,0.0833
32,0.0645
33,0.0864
34,0.95
35,0.1227
36,0.0418
37,0.0087
38,0.0232
39,0.0175
40,0.0572
41,0.0711
42,0.0036
43,0.0081
44,0.0085
45,0.0223
46,0.0166
47,0.0241
48,0.0307
49,0.0498
50,0.0446
51,0.2468
52,0.0807
53,0.0216
54,0.009
55,0.0066
56,0.0049
57,0.021
58,0.0088
59,0.0778
60,0.0048
61,0.0194
62,0.0247
63,0.0106
64,0.0214
65,0.0196
66,0.0879
67,0.0506
68,0.0456
69,0.0087
70,0.057
71,0.0487
72,0.0239
73,0.0031
74,0.1004
75,0.1088
76,0.0093
77,0.0617
78,0.254
79,0.2805
80,0.0119
81,0.1996
82,0.011
83,0.0415
84,0.1176
85,0.0083
86,0.35
87,0.0017
88,0.0278
89,0.0451
90,0.0038
91,0.0041
92,0.0159
93,0.0175
94,0.0018
95,0.0522
96,0.0107
97,0.0769
98,0.0479
99,0.0146
100,0.0006
101,0.0887
102,0.0814
103,0.1328
104,0.023
105,0.0538
106,0.004
107,0.0085
108,0.0091
109,0.1008
110,0.0236
111,0.0091
112,0.0232
113,0.0834
114,0.0253
115,0.0638
116,0.0216
117,0.0383
118,0.0146
119,0.0085
120,0.0772
121,0.041
122,0.0339
123,0.0087
124,0.0082
125,0.031
126,0.0251
127,0.0103
128,0.0117
129,0.0087
130,0.1056
131,0.0498
132,0.0269
133,0.0137
134,0.0363
135,0.0147
136,0.0041
137,0.041
138,0.0097
139,0.0068
140,0.1034
141,0.0439
142,0.0088
143,0.0216
144,0.0216
145,0.009
146,0.0217
147,0.0358
148,0.0538
149,0.0882
150,0.0096
151,0.0186
152,0.0102
153,0.0059
154,0.001
155,0.012
156,0.0853
157,0.049
158,0.025
159,0.0031
160,0.0094
161,0.0122
162,0.0087
163,0.0714
164,0.01
165,0.0861
166,0.0261
167,0.0289
168,0.0197
169,0.0085
170,0.0147
171,0.08
172,0.0165
173,0.0089
174,0.0479
175,0.0872
176,0.014
177,0.0219
178,0.0195
179,0.0863
180,0.0187
181,0.0248
182,0.0516
183,0.0086
184,0.0451
185,0.0603
186,0.0385
187,0.0652
