Area,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
Afghanistan,Total Population - Both sexes,1000 persons,7752.118,7840.156,7935.997,8039.694,8151.317,8270.991,8398.875,8535.163,8680.101,8833.946,8996.973,9169.41,9351.441,9543.205,9744.781,9956.32,10174.836,10399.926,10637.063,10893.776,11173.642,11475.445,11791.215,12108.963,12412.95,12689.16,12943.093,13171.306,13341.198,13411.056,13356.511,13171.673,12882.528,12537.73,12204.292,11938.208,11736.179,11604.534,11618.005,11868.877,12412.308,13299.017,14485.546,15816.603,17075.727,18110.657,18853.437,19357.126,19737.765,20170.844,20779.953,21606.988,22600.77,23680.871,24726.684,25654.277,26433.049,27100.536,27722.276,28394.813,29185.507,30117.413,31161.376,32269.589,33370.794,34413.603,35383.032,36296.113,37171.921,38041.754,38928.346,39835.428,40754.388,41681.231,42608.716,43531.519,44449.091,45363.557,46275.304,47185.167,48093.578,49000.192,49904.006,50803.996,51698.847,52587.408,53468.953,54342.906,55208.546,56065.151,56912.009,57748.478,58573.852,59387.205,60187.568,60974.113,61746.117,62503.155,63245.029,63971.68,64682.974,65378.505,66057.69,66720.056,67365.06,67992.202,68601.074,69191.264,69762.274,70313.576,70844.694,71355.256,71844.948,72313.406,72760.289,73185.295,73588.198,73968.841,74327.017,74662.572,74975.407,75265.442,75532.715,75777.329,75999.482,76199.346,76377.118,76532.931,76666.939,76779.299,76870.225,76940.011,76989.046,77017.758,77026.661,77016.257,76987.007,76939.41,76874.093,76791.72,76692.974,76578.45,76448.747,76304.424,76146.06,75974.256,75789.684,75593.009,75384.981,75166.352,74937.964
Afghanistan,Total Population - Male,1000 persons,4099.243,4134.756,4174.45,4218.336,4266.484,4318.945,4375.8,4437.157,4503.156,4573.914,4649.573,4730.25,4816.05,4907.03,5003.245,5104.765,5210.122,5319.123,5434.458,5559.836,5697.024,5845.351,6000.895,6157.843,6308.583,6446.273,6573.732,6689.144,6776.023,6813.205,6788.273,6698.73,6557.673,6388.704,6224.263,6091.889,5988.52,5918.156,5922.669,6054.345,6344.617,6821.673,7461.092,8176.785,8848.711,9392.627,9770.493,10012.241,10184.272,10386.589,10689.508,11117.754,11642.106,12214.634,12763.726,13239.684,13623.896,13938.97,14225.725,14544.055,14935.756,15415.361,15964.874,16554.278,17138.803,17686.166,18186.994,18651.985,19093.043,19529.727,19976.265,20434.981,20900.542,21370.629,21840.937,22308.331,22772.561,23234.943,23695.674,24155.17,24613.64,25070.887,25526.394,25979.603,26429.846,26876.517,27319.205,27757.638,28191.408,28620.148,29043.466,29461.026,29872.461,30277.283,30674.976,31065.109,31447.316,31821.361,32187.123,32544.597,32893.674,33234.157,33565.757,33888.239,34201.356,34504.862,34798.585,35082.309,35355.755,35618.617,35870.653,36111.681,36341.567,36560.171,36767.342,36962.959,37146.965,37319.334,37480.009,37628.99,37766.272,37891.874,38005.895,38108.542,38200.131,38280.905,38351.049,38410.68,38459.839,38498.553,38526.92,38545.101,38553.376,38552.021,38541.382,38521.777,38493.465,38456.731,38411.948,38359.512,38299.808,38233.156,38159.87,38080.223,37994.477,37902.92,37805.856,37703.619,37596.553,37485.029,37369.44
Afghanistan,Total Population - Female,1000 persons,3652.874,3705.395,3761.546,3821.348,3884.832,3952.047,4023.073,4098,4176.941,4260.033,4347.394,4439.156,4535.392,4636.17,4741.527,4851.553,4964.718,5080.813,5202.606,5333.936,5476.63,5630.099,5790.327,5951.12,6104.377,6242.891,6369.361,6482.15,6565.176,6597.855,6568.227,6472.949,6324.845,6149.028,5980.043,5846.315,5747.657,5686.382,5695.339,5814.528,6067.694,6477.343,7024.451,7639.816,8227.017,8718.035,9082.951,9344.885,9553.498,9784.258,10090.449,10489.238,10958.668,11466.237,11962.963,12414.59,12809.162,13161.572,13496.556,13850.751,14249.755,14702.05,15196.504,15715.314,16232.001,16727.437,17196.034,17644.126,18078.879,18512.03,18952.076,19400.447,19853.843,20310.603,20767.777,21223.192,21676.545,22128.617,22579.631,23029.995,23479.936,23929.303,24377.614,24824.382,25268.993,25710.898,26149.735,26585.279,27017.135,27445.009,27868.542,28287.454,28701.386,29109.927,29512.59,29908.999,30298.803,30681.797,31057.897,31427.085,31789.302,32144.341,32491.936,32831.822,33163.714,33487.336,33802.492,34108.964,34406.523,34694.959,34974.041,35243.579,35503.374,35753.234,35992.952,36222.328,36441.231,36649.504,36847.003,37033.587,37209.132,37373.572,37526.832,37668.781,37799.34,37918.438,38026.065,38122.25,38207.102,38280.746,38343.309,38394.91,38435.674,38465.741,38485.284,38494.485,38493.545,38482.683,38462.146,38432.209,38393.168,38345.293,38288.875,38224.203,38151.583,38071.343,37983.823,37889.393,37788.419,37681.331,37568.521
Afghanistan,Rural population,1000 persons,7286.991,7352.856,7425.363,7504.561,7590.37,7682.763,7781.641,7886.997,7998.664,8116.554,8240.554,8370.731,8507.016,8649.566,8798.496,8954.064,9113.479,9276.202,9446.519,9630.541,9830.69,10045.261,10267.199,10487.151,10692.696,10872.864,11033.148,11170.461,11255.639,11251.885,11129.292,10891.902,10563.504,10190.525,9834.677,9544.582,9321.752,9166.105,9117.52,9293.948,9655.167,10230.49,10995.568,11858.09,12690.115,13401.971,13952.791,14373.573,14733.655,15137.497,15657.474,16318.324,17086.91,17909.063,18692.107,19378.962,19961.972,20464.923,20929.119,21415.593,21966.187,22594.126,23280.663,23997.856,24703.798,25368.923,25985.093,26558.609,27099.874,27626.382,28150.604,28674.023,29191.512,29701.149,30199.465,30683.762,31153.57,31609.269,32049.876,32474.347,32881.648,33270.867,33641.099,33991.382,34320.722,34628.216,34913.055,35174.475,35411.646,35623.832,35810.485,35971.542,36107.678,36221.721,36314.614,36386.218,36436.477,36465.547,36473.78,36461.658,36429.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Urban population,1000 persons,465.127,486.654,509.617,534.035,560.077,587.818,617.389,648.81,682.282,717.891,755.797,796.033,838.852,884.388,932.865,984.35,1038.852,1096.428,1157.827,1223.887,1295.433,1372.564,1454.741,1540.671,1628.845,1717.422,1807.151,1897.077,1982.095,2054.81,2119.078,2162.052,2186.141,2198.744,2212.438,2238.468,2279.289,2336.656,2423.368,2483.661,2593.947,2763.167,2985.663,3237.009,3482.604,3697.57,3870.093,4008.032,4130.344,4266.179,4436.282,4648.139,4893.013,5155.788,5426.872,5691.836,5931.478,6151.869,6364.912,6588.738,6836.98,7114.473,7416.295,7733.832,8054.222,8367.571,8670.939,8971.472,9273.302,9582.625,9904.337,10239.684,10587.583,10948.055,11320.521,11704.638,12100.876,12510.046,12932.441,13368.312,13817.897,14281.457,14759.23,15251.394,15758.064,16279.334,16815.273,17365.885,17931.018,18510.406,19103.637,19710.141,20328.618,20955.421,21588.764,22228.097,22872.875,23522.644,24177.043,24835.782,25498.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Total Population - Both sexes,1000 persons,1263.174,1287.5,1316.093,1348.112,1382.898,1419.994,1459.12,1500.181,1543.255,1588.513,1636.09,1685.936,1737.686,1790.573,1843.634,1896.171,1947.83,1998.74,2049.21,2099.729,2150.707,2202.189,2254.056,2306.29,2358.846,2411.732,2464.983,2518.685,2572.85,2627.505,2682.69,2737.026,2790.275,2844.871,2904.14,2969.672,3044.212,3124.894,3200.977,3257.925,3286.073,3280.395,3245.886,3195.199,3146.519,3112.936,3098.7,3099.752,3110.682,3122.697,3129.243,3129.704,3126.187,3118.023,3104.892,3086.81,3063.021,3033.998,3002.678,2973.048,2948.023,2928.592,2914.096,2903.79,2896.305,2890.513,2886.438,2884.169,2882.74,2880.917,2877.797,2872.933,2866.374,2858.43,2849.657,2840.464,2830.85,2820.633,2809.861,2798.631,2786.974,2774.956,2762.535,2749.56,2735.798,2721.082,2705.362,2688.715,2671.236,2653.089,2634.384,2615.17,2595.442,2575.253,2554.64,2533.645,2512.295,2490.631,2468.687,2446.491,2424.061,2401.401,2378.561,2355.549,2332.395,2309.101,2285.692,2262.158,2238.515,2214.764,2190.895,2166.919,2142.808,2118.54,2094.101,2069.447,2044.57,2019.454,1994.064,1968.343,1942.26,1915.802,1888.965,1861.74,1834.075,1805.975,1777.455,1748.518,1719.224,1689.611,1659.73,1629.63,1599.333,1568.93,1538.499,1508.105,1477.808,1447.634,1417.676,1388.001,1358.697,1329.788,1301.302,1273.239,1245.593,1218.363,1191.538,1165.112,1139.106,1113.51,1088.336
Albania,Total Population - Male,1000 persons,648.22,660.991,675.879,692.491,710.501,729.678,749.897,771.095,793.316,816.61,841.06,866.61,893.102,920.151,947.31,974.227,1000.739,1026.912,1052.868,1078.809,1104.899,1131.158,1157.554,1184.1,1210.869,1237.893,1265.219,1292.864,1320.788,1348.94,1377.288,1404.951,1431.805,1459.31,1489.534,1523.437,1562.939,1606.32,1646.547,1674.093,1682.757,1668.923,1636.156,1594.152,1556.685,1533.506,1528.212,1537.362,1555.189,1572.74,1583.506,1586.178,1582.936,1574.841,1563.966,1551.975,1538.721,1523.893,1508.919,1495.558,1485.068,1478.059,1474.211,1472.67,1472.095,1471.456,1470.548,1469.588,1468.376,1466.785,1464.714,1462.011,1458.612,1454.621,1450.237,1445.592,1440.696,1435.496,1430.032,1424.317,1418.371,1412.23,1405.881,1399.252,1392.258,1384.835,1376.956,1368.666,1360.015,1351.08,1341.93,1332.585,1323.04,1313.325,1303.447,1293.45,1283.333,1273.097,1262.775,1252.364,1241.861,1231.285,1220.632,1209.902,1199.095,1188.19,1177.203,1166.123,1154.938,1143.648,1132.25,1120.728,1109.069,1097.261,1085.269,1073.08,1060.68,1048.064,1035.212,1022.091,1008.689,995.009,981.047,966.816,952.293,937.492,922.423,907.109,891.584,875.896,860.087,844.176,828.191,812.181,796.183,780.25,764.401,748.657,733.055,717.631,702.405,687.397,672.626,658.068,643.736,629.622,615.722,602.012,588.501,575.174,562.017
Albania,Total Population - Female,1000 persons,614.944,626.508,640.211,655.622,672.397,690.313,709.218,729.085,749.94,771.896,795.031,819.316,844.573,870.42,896.339,921.948,947.097,971.831,996.346,1020.929,1045.805,1071.028,1096.504,1122.184,1147.983,1173.84,1199.762,1225.821,1252.064,1278.566,1305.409,1332.067,1358.479,1385.557,1414.608,1446.234,1481.262,1518.572,1554.425,1583.82,1603.313,1611.474,1609.731,1601.044,1589.833,1579.417,1570.487,1562.385,1555.51,1549.96,1545.74,1543.523,1543.247,1543.176,1540.927,1534.835,1524.3,1510.1,1493.764,1477.486,1462.961,1450.542,1439.88,1431.118,1424.212,1419.068,1415.879,1414.581,1414.359,1414.128,1413.086,1410.923,1407.766,1403.797,1399.42,1394.876,1390.162,1385.128,1379.831,1374.314,1368.601,1362.722,1356.666,1350.308,1343.539,1336.251,1328.41,1320.051,1311.223,1302.004,1292.455,1282.588,1272.4,1261.932,1251.18,1240.189,1228.962,1217.535,1205.918,1194.129,1182.191,1170.115,1157.928,1145.647,1133.304,1120.906,1108.481,1096.042,1083.579,1071.112,1058.654,1046.192,1033.734,1021.286,1008.836,996.365,983.897,971.393,958.858,946.255,933.575,920.802,907.926,894.924,881.784,868.486,855.025,841.403,827.634,813.711,799.642,785.453,771.148,756.753,742.314,727.856,713.408,698.978,684.617,670.382,656.293,642.39,628.688,615.171,601.858,588.734,575.814,563.102,550.604,538.336,526.321
Albania,Rural population,1000 persons,1003.869,1010.645,1016.436,1023.453,1030.967,1038.512,1052.235,1071.504,1091.461,1112.188,1133.697,1164.229,1198.718,1233.922,1269.163,1303.967,1338.094,1371.628,1404.776,1437.257,1467.991,1498.85,1529.743,1560.67,1591.577,1622.471,1653.365,1684.337,1715.37,1746.48,1776.005,1804.665,1832.278,1860.451,1891.335,1925.949,1965.997,2009.561,2049.704,2077.214,2086.075,2073.348,2033.508,1983.942,1936.056,1897.862,1871.645,1854.74,1843.604,1832.914,1818.833,1797.423,1762.229,1724.344,1683.584,1640.246,1593.892,1545.166,1496.108,1449.427,1406.665,1368.297,1333.585,1302.236,1272.79,1244.341,1216.737,1190.155,1164.388,1139.266,1114.672,1090.487,1066.667,1043.276,1020.417,998.161,976.498,955.382,934.8,914.735,895.174,876.116,857.57,839.54,822.025,805.034,788.573,772.664,757.351,742.008,726.709,711.475,696.319,681.265,666.337,651.555,636.931,622.48,608.216,594.158,580.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Urban population,1000 persons,259.305,276.852,299.653,324.646,351.911,381.458,406.854,428.645,451.761,476.296,502.359,521.671,538.926,556.612,574.43,592.158,609.691,627.065,644.375,662.396,682.607,703.185,724.101,745.333,766.886,788.758,810.971,833.535,856.48,879.806,905.234,930.664,956.036,982.173,1010.257,1040.849,1075.01,1111.775,1147.363,1176.442,1195.379,1202.083,1207.079,1205.641,1204.539,1208.874,1220.583,1238.301,1260.155,1282.662,1303.137,1324.985,1356.8,1386.661,1414.163,1438.933,1460.439,1478.741,1495.543,1513.208,1533.86,1558.362,1586.454,1616.742,1647.985,1679.011,1709.611,1740.032,1769.975,1799.162,1827.362,1854.317,1879.873,1904.065,1927.019,1948.831,1969.454,1988.766,2006.714,2023.226,2038.245,2051.748,2063.726,2074.176,2083.07,2090.417,2096.209,2100.469,2103.221,2105.172,2106.349,2106.784,2106.493,2105.513,2103.911,2101.72,2098.974,2095.708,2091.963,2087.803,2083.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
