Area,Year,Gini_Index
Afghanistan,2008,29.0
Afghanistan,2012,33.0
Afghanistan,2017,31.0
Albania,1996,27.01
Albania,2002,31.74
Albania,2005,30.6
Albania,2008,29.98
Albania,2012,28.96
Algeria,1988,40.19
Algeria,1995,35.33
Algeria,2012,27.62
Andorra,2001,26.46
Andorra,2002,26.76
Andorra,2003,27.21
Andorra,2016,27.96
Angola,1995,45.0
Angola,2001,51.96
Angola,2009,46.10285714285715
Argentina,1953,40.6
Argentina,1959,45.5
Argentina,1961,45.15384615384615
Argentina,1963,37.199999999999996
Argentina,1965,35.3
Argentina,1969,37.3
Argentina,1970,38.6
Argentina,1972,34.349999999999994
Argentina,1974,34.275
Argentina,1975,35.400000000000006
Argentina,1976,35.2
Argentina,1977,40.3
Argentina,1978,43.4
Argentina,1979,41.3
Argentina,1980,40.105
Argentina,1981,42.75
Argentina,1982,40.2
Argentina,1983,40.4
Argentina,1985,39.8
Argentina,1986,41.830000000000005
Argentina,1987,44.12
Argentina,1988,44.800000000000004
Argentina,1989,47.6
Argentina,1990,46.6
Argentina,1991,45.39
Argentina,1992,44.567142857142855
Argentina,1993,43.85333333333333
Argentina,1994,45.924
Argentina,1995,47.325
Argentina,1996,47.584
Argentina,1997,48.262
Argentina,1998,48.99
Argentina,1999,49.8975
Argentina,2000,50.55200000000001
Argentina,2001,51.535000000000004
Argentina,2002,52.0225
Argentina,2003,49.98833333333334
Argentina,2004,46.54
Argentina,2005,45.8875
Argentina,2006,45.4125
Argentina,2007,45.05
Argentina,2008,43.235
Argentina,2009,44.031666666666666
Argentina,2010,42.21
Argentina,2011,41.2625
Argentina,2012,39.9675
Argentina,2013,39.7025
Argentina,2014,40.1125
Argentina,2015,39.004999999999995
Argentina,2016,40.769999999999996
Argentina,2017,39.545
Argentina,2018,39.6
Armenia,1986,26.9
Armenia,1988,28.0
Armenia,1989,25.85
Armenia,1990,26.9
Armenia,1991,29.6
Armenia,1992,35.5
Armenia,1993,36.6
Armenia,1994,32.1
Armenia,1995,38.1
Armenia,1996,48.980000000000004
Armenia,1998,46.0
Armenia,1999,36.22
Armenia,2000,48.6
Armenia,2001,35.36
Armenia,2002,35.34
Armenia,2003,45.24333333333334
Armenia,2004,41.504999999999995
Armenia,2005,39.695
Armenia,2006,34.855000000000004
Armenia,2007,32.52659420333333
Armenia,2008,33.079927536666666
Armenia,2009,33.22326087
Armenia,2010,34.11326087
Armenia,2011,34.19992753666667
Armenia,2012,29.6
Armenia,2013,30.58
Armenia,2014,31.48
Armenia,2015,32.36
Armenia,2016,32.55
Armenia,2017,33.62
Australia,1942,29.15
Australia,1943,34.9
Australia,1944,28.6
Australia,1945,29.049999999999997
Australia,1946,28.6
Australia,1947,30.85
Australia,1948,31.15
Australia,1949,31.799999999999997
Australia,1950,36.5
Australia,1951,28.75
Australia,1952,28.8
Australia,1953,27.5
Australia,1954,27.75
Australia,1955,28.150000000000002
Australia,1956,27.75
Australia,1957,26.9
Australia,1958,27.55
Australia,1959,27.799999999999997
Australia,1960,27.799999999999997
Australia,1961,27.9
Australia,1962,32.76666666666667
Australia,1963,28.049999999999997
Australia,1964,27.3
Australia,1965,27.25
Australia,1966,27.6
Australia,1967,29.675
Australia,1968,30.8
Australia,1969,29.333333333333332
Australia,1970,28.0
Australia,1971,27.85
Australia,1972,25.35
Australia,1973,26.0
Australia,1974,25.1
Australia,1975,22.35
Australia,1976,29.5
Australia,1977,23.25
Australia,1978,27.400000000000002
Australia,1979,28.333333333333332
Australia,1980,23.950000000000003
Australia,1981,31.04777777777777
Australia,1982,24.5
Australia,1983,25.1
Australia,1984,25.1
Australia,1985,31.0
Australia,1986,35.857142857142854
Australia,1987,27.95
Australia,1988,30.6
Australia,1989,32.43571428571428
Australia,1990,37.6625
Australia,1991,30.05
Australia,1992,30.65
Australia,1993,30.85
Australia,1994,30.4
Australia,1995,37.232
Australia,1996,34.825
Australia,1997,34.775000000000006
Australia,1998,39.199999999999996
Australia,1999,33.15
Australia,2000,36.88333333333333
