Area,Item,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",January,,32.16851,34.961716,37.997457,41.296793,44.882612,48.779789,53.967956,56.689401,73.872511,86.232258,71.506529,82.548897,86.835669,91.234802,99.530273,102.473425,103.618233,108.52005,114.527725,114.054183,120.880724
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",February,,32.777112,35.623164,38.716338,42.078095,45.731755,49.702663,54.276349,57.096058,72.801196,80.977247,70.892457,81.811943,85.98531,91.436457,99.229332,100.599141,103.967168,108.701492,113.437296,113.597099,120.900114
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",March,,33.240363,36.126712,39.263682,42.673034,46.378419,50.702816,54.428001,57.698882,74.007483,76.301187,70.930123,80.724417,86.372804,90.847713,99.972543,99.388333,104.236245,114.689456,112.827883,115.785785,121.659358
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",April,,33.617027,36.536735,39.709955,43.158692,46.906866,50.744713,54.275887,58.36787,86.46703,73.539116,71.43515,81.243046,87.272065,92.947918,101.823335,99.195658,104.779901,114.595556,111.659316,117.371378,121.204778
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",May,,33.916989,36.862017,40.062762,43.541429,47.32215,51.431153,54.487909,59.66634,96.096788,73.119733,72.128023,81.736597,87.642347,92.221944,102.05127,99.034873,104.226511,115.40368,111.214302,119.044418,121.392216
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",June,,34.143119,37.10709,40.328418,43.829457,47.634502,51.733646,54.351095,60.730628,90.03591,72.736207,73.517066,81.644128,86.088601,92.056003,100.984044,98.768367,104.808678,116.211191,110.406413,116.870769,120.376508
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",July,,34.31767,37.297489,40.536046,44.055809,47.881194,51.822372,54.398358,61.262464,90.852275,72.414344,74.317204,82.898881,85.07109,93.327834,102.708045,98.098591,105.922016,113.711408,109.761771,114.926413,120.028757
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",August,,34.487927,37.483078,40.738313,44.276207,48.121299,51.950139,54.824912,61.808052,93.325431,73.722047,76.754263,83.926463,85.933351,94.517208,101.236754,98.432503,106.205681,112.432266,109.569272,115.357437,119.994349
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",September,,34.718351,37.732961,41.00933,44.570188,48.440238,52.646325,55.295747,63.869151,94.62247,74.274004,77.863797,82.929758,85.821027,93.627996,100.011634,99.585059,106.567225,112.298027,110.133214,114.68503,119.663082
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",October,,35.048221,38.091474,41.398973,44.993664,48.900483,53.146534,55.775428,64.557971,92.505396,74.140887,78.690878,85.272024,87.098044,94.770904,100.397224,100.28584,106.861882,112.670435,111.711655,114.891168,
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",November,,35.051083,38.091517,41.395802,44.986884,48.889704,53.166593,55.895772,67.709522,89.843432,73.72598,81.315496,85.906316,89.786655,97.297536,100.337452,101.411791,108.06266,113.102032,112.497627,116.204666,
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",December,,34.960763,37.9998,41.302769,44.89255,48.794011,53.436398,56.05514,69.744564,88.351798,72.360493,81.654469,86.510321,90.43749,99.139436,102.061351,102.857706,108.916832,113.832502,113.490296,119.067918,
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",January,,38.479151,40.783597,43.226052,45.814782,48.558545,51.466628,57.194445,59.234352,70.922681,80.061567,72.718948,82.578129,88.694631,94.222356,100.623813,101.615244,102.93944,106.828299,111.399176,111.854068,116.048714
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",February,,38.649853,40.981785,43.436104,46.037972,47.2864,52.066366,57.356151,59.284438,70.216204,76.585182,72.067121,81.855235,88.053479,94.466759,99.43203,99.722354,102.792566,106.978465,110.781443,111.158106,115.427847
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",March,,38.832957,41.18092,43.647162,46.263355,46.014256,52.751868,57.099675,59.56219,70.661315,73.887302,71.999715,81.556551,88.387823,94.049981,99.361874,98.802058,102.757308,110.112777,110.315571,112.273034,115.660819
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",April,,39.021762,41.381009,43.859234,46.490926,46.725035,52.807693,57.075523,59.906548,77.678564,72.255812,72.378888,82.323493,88.927759,95.581528,100.04778,98.732254,103.168609,110.025714,109.503432,113.482998,115.952503
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",May,,39.213656,41.58206,44.072327,46.720677,47.470032,53.336233,56.977522,60.675108,83.172104,71.809776,72.950445,82.675016,89.207022,95.342153,100.577408,98.601702,102.885413,110.550427,109.389123,114.723779,116.244052
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",June,,39.407412,41.78408,44.286449,46.952596,48.715013,53.661817,56.657096,61.483046,80.320323,71.934466,74.02727,82.871629,88.442101,95.188455,100.563583,98.540871,103.361505,111.083512,109.274869,113.680537,116.535601
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",July,,39.602377,41.987079,44.501609,47.186663,48.983789,53.880904,56.564892,62.135874,81.364589,71.671557,74.717181,84.152338,88.000358,96.026126,102.137308,98.399716,104.246779,109.574935,109.420839,112.448783,116.82715
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",August,,39.798172,42.191063,44.717813,47.422843,49.345232,54.073369,57.13841,63.087644,83.272413,72.535319,76.42519,85.001855,88.749616,96.878902,101.215804,99.137825,104.520865,109.251477,109.354686,112.552075,117.1187
