电影标识,电影名,链接,类型,国家,上映日期,年,月,日,片长,评分,总评分人数,短评数,长评数
34852765,卫星,https://movie.douban.com/subject/34852765/,恐怖,俄罗斯,2020-04-23,2020,04,23,105,6.0,751,265,3
30373716,副本：义体置换,https://movie.douban.com/subject/30373716/,动画,美国,2020-03-19,2020,03,19,74,6.8,4562,1399,17
4830483,喋血战士,https://movie.douban.com/subject/4830483/,动作,中国大陆 ,2020-03-13,2020,03,13,109,5.6,11920,3471,36
2364086,隐形人,https://movie.douban.com/subject/2364086/,惊悚,澳大利亚 ,2020-02-28,2020,02,28,124,7.3,118636,35552,442
34806231,假面骑士时王：盖茨王权,https://movie.douban.com/subject/34806231/,动作,日本,2020-02-28,2020,02,28,64,6.7,869,284,1
30403681,AI崩坏,https://movie.douban.com/subject/30403681/,剧情,日本,2020-01-31,2020,01,31,,5.7,314,125,4
30264504,异界,https://movie.douban.com/subject/30264504/,其它,俄罗斯,2020-01-30,2020,01,30,111,6.3,12908,4166,59
26981442,深海异兽,https://movie.douban.com/subject/26981442/,剧情,美国,2020-01-07,2020,01,07,95,5.9,13660,4142,52
30242270,莫斯科陷落2,https://movie.douban.com/subject/30242270/,灾难,俄罗斯,2020-01-01,2020,01,01,129,5.7,1076,348,5
22265687,星球大战9：天行者崛起,https://movie.douban.com/subject/22265687/,动作,美国,2019-12-18,2019,12,18,142,6.4,71166,24830,578
30394535,被光抓走的人,https://movie.douban.com/subject/30394535/,剧情,中国大陆,2019-12-13,2019,12,13,131,6.9,143488,47209,1499
27000084,变身特工,https://movie.douban.com/subject/27000084/,喜剧,美国,2020-01-03,2020,01,03,102,7.5,47292,14945,102
30481964,艾特所有人,https://movie.douban.com/subject/30481964/,悬疑,中国大陆,2019-11-28,2019,11,28,88,6.1,527,178,4
27109633,终结者：黑暗命运,https://movie.douban.com/subject/27109633/,动作,美国 ,2019-11-01,2019,11,01,128,6.9,133601,41118,1465
34861255,无重力男子,https://movie.douban.com/subject/34861255/,剧情,意大利,2019-10-21,2019,10,21,107,5.8,682,200,7
27066172,8号警报,https://movie.douban.com/subject/27066172/,剧情,加拿大,2019-10-03,2019,10,03,98,5.7,4421,1059,9
26628382,小羊肖恩2：末日农场,https://movie.douban.com/subject/26628382/,喜剧,英国 ,2019-12-28,2019,12,28,87,7.7,14215,5131,49
3097572,双子杀手,https://movie.douban.com/subject/3097572/,剧情,美国 ,2019-10-18,2019,10,18,117,6.9,276152,83263,1662
30151474,月影杀痕,https://movie.douban.com/subject/30151474/,悬疑,美国,2019-09-21,2019,09,21,115,6.1,3896,1097,27
30401194,你好世界,https://movie.douban.com/subject/30401194/,剧情,日本,2019-09-20,2019,09,20,97,7.3,6546,2322,85
34852765,卫星,https://movie.douban.com/subject/34852765/,恐怖,俄罗斯,2020-04-23,2020,04,23,105,6.0,751,265,3
30373716,副本：义体置换,https://movie.douban.com/subject/30373716/,动画,美国,2020-03-19,2020,03,19,74,6.8,4562,1399,17
4830483,喋血战士,https://movie.douban.com/subject/4830483/,动作,中国大陆 ,2020-03-13,2020,03,13,109,5.6,11920,3471,36
